bill_id,date,action
435548,2013-02-05,"Read for the first time and referred to the Senate committee on Judiciary"
435548,2013-03-07,"Read for the second time and placed on the calendar"
435548,2013-05-07,"Indefinitely Postponed"
435553,2013-02-05,"Read for the first time and referred to the Senate committee on Finance and Taxation Education"
435553,2013-02-07,"Read for the second time and placed on the calendar 1 amendment"
435553,2013-05-07,"Indefinitely Postponed"
435553,2013-05-07,"Finance and Taxation Education first Amendment Offered"
435556,2013-02-05,"Read for the first time and referred to the Senate committee on Health"
435561,2013-02-05,"Read for the first time and referred to the Senate committee on Judiciary"
435561,2013-02-14,"Read for the second time and placed on the calendar"
435561,2013-03-20,"Third Reading Passed"
435561,2013-03-20,"Rules Committee Petition to Cease Debate adopted Roll Call 246"
435561,2013-03-20,"Motion to Read a Third Time and Pass adopted Roll Call 247"
435561,2013-03-20,"Read for the first time and referred to the House of Representatives committee on Constitution, Campaigns and Elections"
435561,2013-04-04,"Read for the second time and placed on the calendar"
435561,2013-05-20,"Third Reading Passed"
435561,2013-05-20,"Motion to Previous Question adopted Roll Call 1274"
435561,2013-05-20,"Motion to Read a Third Time and Pass adopted Roll Call 1275"
435561,2013-05-20,"Passed Second House"
435561,2013-05-20,"Signature Requested"
435561,2013-05-20,"Bracy intended to vote ""Nay"""
435561,2013-05-20,Enrolled
435561,2013-05-20,"Assigned Act No. 2013-269."
435561,2013-05-20,"Delivered to Secretary of State at 11:59 p.m. on May 20, 2013"
435565,2013-02-05,"Read for the first time and referred to the Senate committee on Governmental Affairs"
435565,2013-02-07,"Read for the second time and placed on the calendar"
435565,2013-04-16,"Third Reading Passed"
435565,2013-04-16,"Smitherman Amendment Offered"
435565,2013-04-16,"Smitherman motion to Adopt adopted Roll Call 454"
435565,2013-04-16,"Motion to Read a Third Time and Pass adopted Roll Call 455"
435565,2013-04-18,Engrossed
435565,2013-04-18,"Read for the first time and referred to the House of Representatives committee on County and Municipal Government"
435565,2013-04-24,"Read for the second time and placed on the calendar 1 amendment"
435565,2013-04-24,"Pending third reading on day 25 Favorable from County and Municipal Government with 1 amendment"
435565,2013-04-24,"County and Municipal Government first Amendment Offered"
435571,2013-02-05,"Read for the first time and referred to the Senate committee on Finance and Taxation General Fund"
435576,2013-02-05,"Read for the first time and referred to the Senate committee on Finance and Taxation General Fund"
435576,2013-02-07,"Read for the second time and placed on the calendar"
435576,2013-04-23,"Third Reading Passed"
435576,2013-04-23,"Orr first Substitute Offered"
435576,2013-04-23,"Rules Committee Petition to Cease Debate adopted Roll Call 522"
435576,2013-04-23,"Orr motion to Adopt adopted Roll Call 523"
435576,2013-04-23,"Motion to Read a Third Time and Pass adopted Roll Call 524"
435576,2013-04-24,Engrossed
435576,2013-04-24,"Read for the first time and referred to the House of Representatives committee on State Government"
435576,2013-05-02,"Read for the second time and placed on the calendar"
435576,2013-05-02,"Pending third reading on day 28 Favorable from State Government"
435581,2013-02-05,"Read for the first time and referred to the Senate committee on Judiciary"
435581,2013-03-07,"Read for the second time and placed on the calendar"
435581,2013-05-07,"Indefinitely Postponed"
435585,2013-02-05,"Read for the first time and referred to the Senate committee on Finance and Taxation Education"
435585,2013-03-20,"Read for the second time and placed on the calendar 2 amendments"
435585,2013-05-07,"Indefinitely Postponed"
435585,2013-05-07,"Finance and Taxation Education second Amendment Offered"
435585,2013-05-07,"Pending third reading on day 16 Favorable from Finance and Taxation Education with 2 amendments"
435589,2013-02-05,"Read for the first time and referred to the Senate committee on Judiciary"
435593,2013-02-05,"Read for the first time and referred to the Senate committee on Constitution, Campaign Finance, Ethics, and Elections"
435593,2013-02-14,"Read for the second time and placed on the calendar"
435593,2013-05-07,"Indefinitely Postponed"
435600,2013-02-05,"Read for the first time and referred to the Senate committee on Constitution, Campaign Finance, Ethics, and Elections"
435605,2013-02-05,"Read for the first time and referred to the Senate committee on Finance and Taxation General Fund"
435605,2013-02-07,"Read for the second time and placed on the calendar with 1 substitute and"
435605,2013-05-07,"Indefinitely Postponed"
435605,2013-05-07,"Pending third reading on day 4 Favorable from Finance and Taxation General Fund with 1 substitute"
435610,2013-02-05,"Read for the first time and referred to the Senate committee on Judiciary"
435610,2013-02-07,"Read for the second time and placed on the calendar 1 amendment"
435610,2013-05-07,"Indefinitely Postponed"
435610,2013-05-07,"Pending third reading on day 4 Favorable from Judiciary with 1 amendment"
435614,2013-02-05,"Read for the first time and referred to the Senate committee on Judiciary"
435614,2013-02-07,"Read for the second time and placed on the calendar 1 amendment"
435614,2013-05-07,"Indefinitely Postponed"
435614,2013-05-07,"Pending third reading on day 4 Favorable from Judiciary with 1 amendment"
435618,2013-02-05,"Read for the first time and referred to the Senate committee on Energy and Natural Resources"
435622,2013-02-05,"Read for the first time and referred to the Senate committee on Finance and Taxation Education"
435622,2013-02-07,"Read for the second time and placed on the calendar 1 amendment"
435622,2013-05-07,"Indefinitely Postponed"
435622,2013-05-07,"Finance and Taxation Education first Amendment Offered"
435628,2013-02-05,"Read for the first time and referred to the Senate committee on Commerce, Transportation, and Utilities"
435628,2013-02-06,"Read for the second time and placed on the calendar with 1 substitute and"
435628,2013-02-07,"Third Reading Passed"
435628,2013-02-07,"Commerce, Transportation, and Utilities first Substitute Offered"
435628,2013-02-07,"Figures motion to Adopt adopted Roll Call 22"
435628,2013-02-07,"Motion to Read a Third Time and Pass adopted Roll Call 23"
435628,2013-02-07,Engrossed
435628,2013-02-07,"Read for the first time and referred to the House of Representatives committee on Public Safety and Homeland Security"
435628,2013-02-21,"Read for the second time and placed on the calendar"
435628,2013-05-07,"Third Reading Passed"
435628,2013-05-07,"Motion to Read a Third Time and Pass adopted Roll Call 1096"
435628,2013-05-07,"Passed Second House"
435628,2013-05-07,Enrolled
435628,2013-05-07,"Signature Requested"
435628,2013-05-07,"Assigned Act No. 2013-190."
