sponsor_id,name
3354,"John Knight"
3356,"Tammy Irons"
3357,"Laura Hall"
3358,"Artis McCampbell"
3360,"Barbara Boyd"
3361,"Joseph Mitchell"
3370,"Pebblin Warren"
3371,"Ralph Howard"
3372,"Thad McClammy"
3374,"Christopher England"
3375,"Oliver Robinson"
3379,"Mike Millican"
3380,"Marcel Black"
3381,"Alan Harper"
3382,"Thomas Jackson"
3385,"Lesley Vance"
3386,"William Beasley"
3387,"Stephen Hurst"
3388,"James Buskey"
3389,"Mary Moore"
3391,"Merika Coleman-Evans"
3392,"Richard Lindsey"
3400,"John Robinson"
3401,"Patricia Todd"
3402,"Johnny Morrow"
3405,"Robert Ward"
3406,"Craig Ford"
3407,"Todd Greeson"
3408,"Randy Davis"
3410,"Mike Hill"
3411,"Mac McCutcheon"
3415,"Victor Gaston"
3416,"Mike Ball"
3417,"Paul DeMarco"
3418,"Jack Williams"
3419,"Dickie Drake"
3420,"Gerald Allen"
3421,"Joseph Hubbard"
3423,"Harry Shiver"
3424,"Joe Faust"
3425,"Chad Fincher"
3426,"Alan Baker"
3427,"Steve McMillan"
3428,"James Ison"
3429,"Jim McClendon"
3430,"Randy Wood"
3432,"Steve Clouse"
3434,"Harry Bridges"
3435,"Howard Sanderford"
3437,"Phillip Williams"
3438,"Micky Hammon"
3439,"Gregory Wren"
3442,"Alvin Holmes"
3445,"Allen Treadaway"
3446,"Arthur Payne"
3447,"Charles Newton"
3448,"Richard Laird"
3449,"Ronald Johnson"
3450,"Alan Boothe"
3453,"Mary McClurkin"
3454,"John Rogers"
3455,"Elaine Beech"
3456,"Roderick Scott"
3457,"Lawrence McAdory"
3458,"George Bandy"
3459,"K.L. Brown"
3461,"J.T. Waggoner"
3462,"Del Marsh"
3464,"Trip Pittman"
3465,"Rodger Smitherman"
3467,"Paul Sanford"
3469,"Rusty Glover"
3470,"Hank Sanders"
3472,"Quinton Ross"
3473,"Roger Bedford"
3479,"Linda Coleman"
3480,"Priscilla Dunn"
3481,"Arthur Orr"
3482,"Bobby Singleton"
3485,"George Keahey"
3489,"Scott Beason"
3490,"Vivian Figures"
3491,"Jimmy Holley"
3493,"Harri Smith"
12485,"Kerry Rich"
12486,"Terri Collins"
12487,"William Roberts"
12488,"Lynn Greer"
12489,"Dan Williams"
12490,"Paul Lee"
12492,"Greg Reed"
12493,"Shadrack McGill"
12495,"Dick Brewbaker"
12496,"Paul Bussman"
12497,"Bill Holtzclaw"
12498,"Phil Williams"
12499,"Clay Scofield"
12500,"April Weaver"
12501,"Barry Moore"
12502,"Ed Henry"
12503,"Mike Hubbard"
12504,"Wes Long"
12505,"Richard Baughn"
12506,"Becky Nordgren"
12507,"Mac Buttram"
12508,"Kurt Wallace"
12509,"Donnie Chesteen"
12511,"John Merrill"
12512,"Ken Johnson"
12513,"Jim Patterson"
12515,"Gerald Dial"
12516,"Bryan Taylor"
12517,"Jerry Fielding"
12520,"Wayne Johnson"
12521,"Thomas Whatley"
12523,"Daniel Boman"
12525,"Mike Jones"
12526,"Paul Beckman"
12530,"William Poole"
12541,"Slade Blackwell"
12542,"Napoleon Bracy"
12543,"Berry Forte"
12544,"David Colston"
12545,"Mark Tuggle"
12546,"Darrio Melton"
12547,"Greg Burdine"
12548,"Allen Farley"
12549,"Dexter Grimsley"
12550,"Juandalynn Givan"
13150,"David Sessions"
13766,"Jim Carns"
15745,"David Standridge"
15746,"Mack Butler"
15984,"Bill Hightower"
16021,"Randall Shedd"
16069,"Dimitri Polizos"
16140,"Adline Clarke"
16211,"Mike Holmes"
16212,"Margie Wilcox"
16241,"Anthony Johnson"
