bill_id,sponsor_id
560565,12515
560595,12541
560623,3465
560651,12515
560680,12499
560708,12541
562080,12495
562081,12495
562082,3420
562083,3420
562860,3491
562861,12498
563562,3405
563563,12492
563564,12492
563565,3405
563565,3461
563565,3462
563565,3464
563565,3469
563565,3481
563565,3491
563565,12492
563565,12495
563565,12496
563565,12498
563565,12499
563565,12517
563565,15984
564048,12515
564049,3420
564049,3461
564049,3462
564049,3469
564049,3481
564049,12492
564049,12517
564049,15984
564050,3481
564051,3386
564051,3405
564051,3420
564051,3465
564051,3472
564051,3479
564051,3481
564051,3482
564051,3490
564051,12492
564051,12515
564051,12516
564051,12521
564690,12498
564691,3420
568135,3405
568473,12500
568474,12508
568475,3427
568476,12506
568477,12508
568478,12508
568478,12526
568479,12506
568480,3442
568481,12506
568482,12487
568483,12508
568484,3417
568485,3417
568487,12525
568488,3417
568489,12525
568490,12500
568491,3429
568492,3387
568493,3375
568494,12506
568495,12506
568496,12506
568497,12506
568498,12525
569232,3481
569232,12515
569235,3467
569499,3361
569500,3453
569502,3430
569504,3361
569505,3430
569508,3361
569509,3430
569510,3415
569547,12530
569548,12500
569548,12506
569549,12525
569635,12521
569638,3405
569642,12515
569642,12521
569962,12521
569964,3472
569966,3472
569967,12521
570344,3479
570347,3462
570349,12495
570351,3420
570398,3434
570399,3401
570400,3419
570400,3429
570400,3430
570400,15746
570402,3401
570403,12520
570404,3401
570405,3401
571185,3462
571185,12495
571189,3482
571478,3374
571479,12486
571480,3358
571480,3450
571482,3430
571483,3435
571483,3448
571483,12487
571483,12488
571483,12504
571483,12505
571483,12507
571483,12508
571483,12525
571485,3435
571485,3448
571485,12487
571485,12488
571485,12504
571485,12505
571485,12507
571485,12508
571485,12525
571486,3410
571487,12486
571489,3430
571490,3410
571492,12490
571492,12502
571493,3374
571495,3450
571496,3434
571979,12515
571980,3493
571980,12521
571981,12495
571981,12521
571982,3386
571982,12515
571982,12521
571983,3420
572019,3481
572341,12526
572342,3435
572343,3449
572344,3449
572345,3387
572345,3425
572346,3358
572346,3374
572346,12506
572346,12511
572422,12541
573319,12516
573329,12499
573339,12517
573452,12541
573460,12541
574816,12505
574817,3416
574819,3435
574821,12530
574822,16069
574824,12530
574826,12530
574827,3401
574829,3402
574832,12511
574834,3379
574834,3387
574834,3408
574834,3410
574834,3411
574834,3416
574834,3418
574834,3419
574834,3423
574834,3424
574834,3426
574834,3427
574834,3429
574834,3435
574834,3437
574834,3438
574834,3445
574834,3453
574834,3459
574834,12485
574834,12486
574834,12487
574834,12488
574834,12489
574834,12501
574834,12502
574834,12503
574834,12504
574834,12505
574834,12506
574834,12507
574834,12508
574834,12509
574834,12511
574834,12512
574834,12513
574834,12520
574834,12525
574834,12526
574834,12545
574834,12548
574834,13150
574834,13766
574834,15745
574834,15746
574834,16021
574835,3432
574837,12505
574839,3445
574840,3410
574842,12505
574844,3401
575037,12541
575038,3405
575038,3420
575038,3461
575038,3462
575038,3464
575038,3469
575038,3481
575038,3489
575038,3491
575038,12492
575038,12498
575038,12499
575038,12515
575038,12517
575038,12521
575038,15984
575039,3461
575039,3462
575039,3464
575039,3469
575039,3481
575039,12492
575039,12495
575039,12498
575039,12499
575039,12515
575039,12516
575039,12517
575039,15984
575040,3473
575041,3356
575043,3491
575043,12515
575044,3420
575044,3461
575044,3462
575044,3464
575044,3467
575044,3469
575044,3481
575044,3489
575044,3491
575044,12492
575044,12495
575044,12498
575044,12499
575044,12515
575044,12516
575044,12517
575044,15984
575045,3467
575046,3491
575047,3461
575047,12496
575049,12499
575050,12498
575050,12515
575050,12521
575051,3481
575052,3481
575053,3469
577374,15745
