bill_number,bill_id,title
HB1,884498,"Wireless communications providers, location information of customer required upon request of law enforcement on certain circumstances, Kelsey Smith Act"
HB2,884496,"Baldwin Co., sheriff, credit and debit card purchases, provided for"
HB3,884502,"Baldwin Co., leasing tax, distrib. further provided for, Community Captial Fund estab., Sec. 45-2-244.183 am'd."
HB4,884510,"Hunting, nighttime hours, definition, technical corrections of Act 2016-153, Sec. 9-11-230.1 added; Sec. 9-11-235 am'd."
HB5,884534,"Geneva Co., co. commission, excise tax on motor fuel, const. amend."
HB6,884538,"Lottery, authorized, Alabama Lottery Corporation, created, distrib. of revenues for college scholarships, Sec. 65, Constitution of Alabama of 1901 am'd., const. amend."
HB7,884533,"Alabama Lottery and Alabama Lottery Corporation estab., gaming regulated at racetracks where pari-mutuel wagering currently legal, and one other loctation, state gross receipts tax and local gross receipts tax levied, tax on vendors of gaming equipment levied, disposition of proceeds provided, Alabama Gaming Commission created to regulate and administer gaming, Governor authorized to negotiate a compact with Poarch Band of Creek Indians, Lottery Trust Fund estab., proceeds allocated to college scholarships, Legislature required to pass enabling legislation, constitutional amendment"
HB8,884531,"Etowah Co., bingo authorized to be played on devices authorized by Indian Gaming Regulatory Act, gross receipts tax levied, tax on vendors, distributions by three committees, Etowah County Gaming Commission estab., const. amend."
HB9,884521,"Education budget, other current expense funds, redirection allowed by local bds of ed if local budget nutrition program funds protected, Act 2016-199, 2016 Reg. Sess., am'd."
HB10,884516,"Schools, public K-12, teachers and certain employees authorize to accept gifts from students under certain conditions, Sec. 36-25-1 am'd."
HB11,884511,"Legislative member, indicted on felony charge, suspended from leadership position, imposed"
HB12,884536,"Lottery, authorized, Lottery Commission established, distrib. of revenue to General Fund, authorized for sale of lottery tickets, effects of amendment limited, const. amend."
HB13,884527,"Lotteries, Legislature authorized to provide by general law, const. amend"
HB14,884532,"Fiduciaries, Revised Uniform Fiduciary Access to Digital Assets Act, adopted, fiduciaries, duties with regard to computer files, web domains, virtual currency and other digital assets"
HB15,884520,"Legislative, Budget Isolation Resolution adopted before November 8, 2016, ratified and confirmed, vote of 3/5 present and voting, a quorum being present, Amendment 448 (Section 71.01, Recompiled Constitution of 1901, as amended), am'd, const. amend."
HB16,884529,"Autauga Co., judge of probate, age for retirement of probate judge extended to 74, const. amend."
HB17,884507,"Chilton Co., sex offenders, adult, certain residential limitations repealed, Sec. 45-11-82 repealed"
HB18,884518,"Randolph Co., industrial development council, act establishing repealed, funds of council, distrib. to co. commission, payment of indebtedness of council, Act 2001-425, 2001 Reg. Sess., repealed"
HB19,884509,"Elections, write-in votes, procedures to count, duties to judge of probate in co. elections, Secretary of State for state election, Secs. 17-6-28, 17-12-1 am'd."
HB20,884501,"Coastal areas, shoreline restoration, living shoreline techniques, use of sand and sediment by riparian property owners without fee or charge by Conservation and Natural Resources Dept. and Environmental Management Dept."
HB21,884503,"Elected officials, authorized to designate another person to serve on certain agencies, bds, commissions, and other entities"
HB22,884524,"Banking Dept., approp. from the Banking Assessment Fees Fund for fiscal year ending September 30, 2017."
HB23,884508,"Natural gas, compressed and liquefied, used as motor vehicle fuel, decals from Liquefied Petroleum Gas Board extended to May 1, 2017, suspension of motor fuel tax extended, Sec. 40-17-167 am'd."
HB24,884519,"Lawrence Co., revenue commissioner, office budgetary operations merged, expenses financed on pro rata share basis from state, county, and municipal ad valorem tax"
HB25,884504,"Montgomery Co., alcoholic beverages sold in state ABC stores, sales and use tax, add, distrib. for district attorney"
HB26,884505,"Southside, alcoholic beverages Sunday sales, referendum"
HB27,884512,"Medicaid, prescription drugs, supplemental tax of 15 cents per prescription by Act 2015-537, refunds as tax credit against original prescription drug taxes due, commencing October 1, 2016, Act 2015-537, 2015 Second Sp. Sess., repealed"
HB28,884522,"Bingo, State Gaming Commission, established to regulate in certain counties, existing constitutional amendments repealed, additional taxes levied, compact with Indian gaming facilities required, const. amend."
HB29,884517,"Alabama Lottery and Alabama Lottery Corporation estab., gaming regulated at racetracks where pari-mutuel wagering currently legal, state gross receipts tax and local gross receipts tax levied, tax on vendors of gaming equipment levied, disposition of proceeds provided, Alabama Lottery and Gaming Commission created to regulate and administer gaming, Governor authorized to negotiate a compact with Poarch Band of Indians, constitutional amendment"
HB30,884535,"Municipalities, municipal governing body, salary, expense increases, introduced at least 30 day before adoption"
HB31,884506,"Elected or appointed officials, except for judges, maximum age limitation repealed, general law providing an age restriction prohibited, const. amend."
HB32,884515,"Individual convicted of a felony, prevented from lobbying, Sec. 36-25-18 am'd."
