bill_number,bill_id,title
HB1001,221241,"An Act For The Arkansas House Of Representatives Of The Eighty-eighth General Assembly Appropriation For The 2010-2011 Fiscal Year."
HB1002,221242,"To Create The Arkansas Capital Gains Reduction Act Of 2011."
HB1003,221243,"To Make It A Felony To Exceed The Speed Of Ninety Miles Per Hour While Being Pursued By A Law Enforcement Vehicle."
HB1004,221244,"To Prohibit The Payment Of Attorney's Fees Of Privately Retained Attorneys For Indigent Persons."
HB1005,221245,"To Change The State Nickname Back To ""the Land Of Opportunity""."
HB1006,221246,"To Amend Arkansas Law Concerning Sales Of Real Property Under Judicial Decrees And Declaring An Emergency."
HB1007,221247,"To Require Sex Offenders To Verify Registration In Person At A Local Law Enforcement Agency And To Require Electronic Filing Of The Verification."
HB1008,221248,"To Require United States Citizenship Or Lawful Presence In The United States For A Person To Be Eligible For In-state Tuition."
HB1009,221249,"Provide For Public Notification Of Sex Offenders Registered In Another State."
HB1010,221250,"To Provide For Civil Liability For Parents Of Children Who Deface Property With Graffiti."
HB1011,221251,"To Require A Party's Signature On A Decree Of Divorce Before The Court May Enter The Decree Of Divorce When That Party Is Represented By Counsel."
HB1012,221252,"To Exempt Sales And Use Tax On The Manufacturer's Or Dealer's Rebate Of A Motor Vehicle."
HB1013,221253,"An Act To Allow The Contractors Licensing Board To Take Action Against A Contractor For Knowingly Employing A Worker Without Legal Authorization To Work In The United States."
HB1014,221254,"The Nick Bacon Remembrance Act: To Allow A Veteran Designation On Driver's Licenses And Identification Cards; To Declare An Emergency."
HB1015,221255,"To Mandate An Additional Fine For Any Person Convicted Of A Felony Sex Offense."
HB1016,221256,"To Provide Additional Income Tax Relief To Head Of Household Taxpayers With Two (2) Or More Dependents."
HB1017,221257,"Concerning Websites To Ascertain The Expenditure Data Of State-supported Institutions Of Higher Education."
HB1018,221258,"To Define Terminate As That Term Applies To Eligibility For Retirement Under The Arkansas Public Employees' Retirement System."
HB1019,221259,"To Declare An Emergency And To Restrict The Amount Of Retirement Credit Service Earned By A Local Elected Public Official."
HB1020,221260,"Concerning The Membership Of The Drug Court Advisory Committee And Declaring An Emergency."
HB1021,221261,"To Amend Â§ 5-13-211 To Include All Certified Law Enforcement Officers."
HB1022,221262,"Concerning Lobbyist Registration By A Former Member Of The General Assembly."
HB1023,221263,"To Exempt From Income Tax A Limited Amount Of Retirement Benefits Received For Service In The Armed Forces."
HB1024,221264,"Relating To The Leaves Of Absence And Reemployment Of Military Personnel Called To Active Duty."
HB1025,221265,"To Provide An Income Tax Credit For A Parent Who Chooses To Stay At Home With His Or Her Young Child."
HB1026,221266,"An Act To Clarify The Operations Of Regional Solid Waste Districts Regarding Fees And Grants."
HB1027,221267,"To Promote The Conservation Of Energy And Natural Resources In Privately Owned Homes."
HB1028,221268,"To Provide For Jurisdictional Cooperation Regarding Arrests, Searches, And Seizures By Federal Employees."
HB1029,221269,"An Act To Establish A Prescription Drug Monitoring Program."
HB1030,221270,"To Establish An Income Tax Credit For Education Expenses Of Dependents."
HB1031,221271,"To Provide A Sales Tax Exemption For Utilities Used By Manufacturers In The Manufacturing Process; To Repeal The Lower Tax Rate For Utilities Used In Manufacturing; And To Declare An Emergency."
HB1032,221272,"To Allow School Districts To Adopt Curriculum Standards For An Academic Study Of The Bible Course As Directed By This Act."
HB1033,221273,"To Create A Back-to-school Tax-free Holiday By Exempting Items Of Clothing From Sales And Use Tax During A Limited Time Period."
HB1034,221274,"To Clarify The Definition Of Food And Food Ingredients To Include Dietary Supplements For Sales And Use Tax Purposes."
HB1035,221275,"To Exempt Repair Or Replacement Parts For Farm Equipment And Machinery From The Gross Receipts And Use Tax."
HB1036,221276,"To Exempt From Sales And Use Tax The Retail Sale Of Renewable Resource Equipment."
HB1037,221277,"To Provide An Income Tax Credit For A Business Or Individual That Purchases Renewable Resource Equipment."
HB1038,221278,"To Reduce The Individual Income Tax Rate And Increase The Sales And Use Tax Rate."
HB1039,221279,"Providing For The Review Of State Agency Performance By The Joint Performance Review Committee To Ensure Efficient And Effective Agency Operations."
HB1040,221280,"To Prevent Retired Members Of A State Retirement System From Returning To Work For The State Following Retirement Except Under Certain Circumstances."
HB1041,221281,"To Provide For Cities And Counties To Obtain Local Sales And Use Tax Information."
HB1042,221282,"To Require The Department Of Finance And Administration To Publish A Monthly List Containing Sales And Use Tax Permit Numbers, Names, And Addresses For Each Taxpayer That Has Reported Tax For That Month."
HB1043,221283,"To Enact The Reusable Shopping Bag Act; To Prohibit A Store From Providing A Single-use Carryout Bag To A Customer; To Encourage The Use Of Reusable Bags."
HB1044,221284,"To Provide That Motor Vehicle Accident Reports Shall Not Be Used For Commercial Purposes For Ninety (90) Days After The Accident."
HB1045,221285,"Regarding A Person Filing Instruments Affecting Title Or Interest In Real Property And Declaring An Emergency."
HB1046,221286,"To Provide That Cash Funds Received By Constitutional Officers Or State Agencies As A Result Of An Award By The Court Or Settlement Agreement Are Subject To Appropriation By The General Assembly."
HB1047,221287,"To Increase Public Access To School District Reports."
HB1048,221288,"Institutions Of Higher Education Common Course Numbering System."
HB1049,221289,"To Improve The Safety Of Highways And Roads By Prohibiting Wireless Telephone Use In School Zones."
HB1050,221290,"To Promote Energy Efficiency And Conservation."
HB1051,221291,"The Defensive Carry Restoration Act Regarding The Defensive Carry Of Firearms."
HB1052,221292,"To Decrease The Sales And Use Tax On Natural Gas And Electricity Used By Manufacturers And To Declare An Emergency."
HB1053,221293,"An Act To Ensure Freedom Of Choice In Health Care For All Arkansans; And To Prevent Involuntary Enrollments In Health Care Insurance Programs."
HB1054,221294,"To Require The Department Of Workforce Services To Conduct Reemployment Interviews To Determine Eligibility For Unemployment Benefits."
HB1055,221295,"To Exclude From The Arkansas Veterinary Practice Act The Services Of Animal Husbandry And To Allow The Practice Of Acupuncture, Chiropractic, And Dentistry On Various Farm Animals Under The Supervision Of A Veterinarian."
HB1056,221296,"To Provide Additional Income Tax Relief To Head Of Household Taxpayers With Two (2) Or More Dependents."
HB1057,221297,"An Act To Require Employee Contributions To The Unemployment Compensation Fund."
HB1058,221298,"An Act To Amend Various Provisions Of The Department Of Workforce Services Law Concerning Unemployment Benefits."
HB1059,221299,"To Allow A Court To Extend The Duration Of A Temporary Guardianship In Certain Situations."
HB1060,221300,"To Clarify The Power Of Regional Solid Waste Management Boards To Charge And Collect A Fee For Management Of Solid Waste And To Declare An Emergency."
HB1061,221301,"The Athlete Agent Reform Act Of 2011."
HB1062,221302,"To Amend Arkansas Law To Impose Surcharges Upon Commercial Mobile Radio Service Providers To Support The Telecommunications Equipment Fund And Declaring An Emergency."
HB1063,221303,"The General Appropriation Act For The Ordinary Expenses Of The Executive, Judicial And Legislative Branches For The 2011-2012 Fiscal Year."
