sponsor_id,name
8609,"Barry Hyde"
8610,"Joint Budget Committee"
8611,"Tiffany Rogers"
8617,"Andrea Lea"
8618,"Robert Moore"
8619,"Senate Efficiency"
8620,"Mary Salmon"
8621,"Randy Laverty"
8622,"Tracy Steele"
10645,"Kathy Webb"
10646,"Ed Garner"
10647,"Billy Gaskill"
10648,"John Edwards"
10649,"David Sanders"
10650,"Eddie Cheatham"
10651,"Justin Harris"
10652,"Jon Woods"
10653,"Garry Smith"
10654,"Jim Nickels"
10655,"Duncan Baird"
10656,"Allen Kerr"
10657,"Jane English"
10658,"Robert Altes"
10659,"Donna Hutchinson"
10660,"Les Carnine"
10661,"Fred Allen"
10662,"Lane Jean"
10663,"David Meeks"
10664,"Uvalde Lindsey"
10665,"Marshall Wright"
10666,"Buddy Lovell"
10667,"Stephen Meeks"
10668,"Sheilla Lampkin"
10669,"Butch Wilkins"
10670,"Tracy Pennartz"
10671,"David Johnson"
10672,"Ruth Whitaker"
10673,"Harmon Jeffress"
10674,"Larry Teague"
10675,"Johnny Key"
10676,"Paul Bookout"
10677,"Jake Files"
10769,"Homer Lenderman"
10770,"Randy Stewart"
10771,"Betty Overbey"
10772,"Linda Chesterfield"
11148,"Keith Ingram"
11279,"Sue Madison"
11280,"Jeremy Hutchinson"
11281,"Gilbert Baker"
11359,"Clark Hall"
11360,"Mark Perry"
11361,"Bruce Westerman"
11362,"David Branscum"
11363,"Bill Sample"
11364,"Jimmy Jeffress"
11365,"Jerry Taylor"
11366,"Cecile Bledsoe"
11367,"David Wyatt"
11506,"Mike Patterson"
11683,"Loy Mauch"
11684,"Nate Bell"
11685,"Andy Mayberry"
11686,"Gary Deffenbaugh"
11687,"Linda Collins-Smith"
11688,"Linda Tyler"
11689,"Johnnie Roebuck"
11690,"Tim Summers"
11691,"Mark Biviano"
11692,"Percy Malone"
11693,"Joyce Elliott"
11694,"Steve Harrelson"
11695,"Eddie Williams"
11723,"Jerry Brown"
11743,"Tommy Thompson"
11830,"Efrem Elliott"
11831,"Jonathan Dismang"
11832,"David Burnett"
11875,"Henry Wilkins"
11876,"Bill Pritchard"
11877,"Jim Luker"
11895,"Robert Dale"
11913,"Robert Thompson"
11914,"Tommy Baker"
11959,"Michael Lamoureux"
11991,"Greg Leding"
11994,"Karen Hopper"
12000,"Toni Bradford"
12013,"Jon Hubbard"
12014,"Kelley Linck"
12016,"Mike Fletcher"
12018,"Bruce Holland"
12020,"Jason Rapert"
12047,"Kim Hendren"
12052,"Jonathan Barnett"
12053,"Darrin Williams"
12071,"James McLean"
12072,"Larry Cowling"
12073,"John Catlett"
12101,"Missy Irvin"
12103,"Lori Benedict"
12108,"Jon Eubanks"
12109,"John Vines"
12110,"Matthew Shepherd"
12111,"Ann Clemmer"
12158,"Charles Collins"
12159,"Bryan King"
12162,"Debra Hobbs"
12170,"Bobby Pierce"
12186,"Kim Hammer"
12235,"David Fielding"
12236,"Stephanie Flowers"
12239,"Davy Carter"
12242,"Mary Hickerson"
12247,"Jack Crumbly"
12414,"Jeremy Gillam"
12415,"Mary L. Slinkard"
12416,"David Powers"
12446,"Leslee Post"
12450,"Nate Steel"
12464,"Frederick Love"
12467,"Walls McCrary"
12468,"Terry Rice"
12470,"Reginald Murdock"
12471,"James Ratliff"
12474,"House Committee"
12479,"James Word"
12480,"John Burris"
12481,"John Walker"
12483,"Gary Stubblefield"
12527,"Tommy Wren"
12564,"Josh Johnston"
12574,"Senate Committee on Education"
12575,"Stephanie Malone"
12578,"Jeff Wardlaw"
12719,"Bruce Cozart"
