bill_number,bill_id,title
HB1002,396331,"An Act For The Southern Arkansas University - Lignite Research Appropriation For The 2011-2012 Fiscal Year."
HB1003,396332,"An Act For The Arkansas Agriculture Department - Arkansas Forestry Commission Appropriation For The 2011-2012 Fiscal Year."
HB1004,396333,"An Act For The Arkansas Agriculture Department - Arkansas Forestry Commission Appropriation For The 2011-2012 Fiscal Year."
HB1005,396334,"The General Appropriation Act For The Ordinary Expenses Of The Executive, Judicial And Legislative Branches For The 2012-2013 Fiscal Year."
HB1006,396335,"An Act For The State Board Of Finance - Rural Medical Clinics Reappropriation."
HB1007,396336,"An Act For The Land Department Reappropriation."
HB1008,396337,"An Act For The Department Of Health Reappropriation."
HB1009,396338,"An Act For The State Military Department Reappropriation."
HB1010,396339,"An Act For The Arkansas Science And Technology Authority Reappropriation."
HB1011,396340,"An Act For The Department Of Education - And Its Various Divisions Reappropriation."
HB1012,396341,"An Act For The Department Of Parks And Tourism Reappropriation."
HB1013,396342,"An Act For The Arkansas Building Authority Reappropriation."
HB1014,396343,"An Act For The Department Of Veterans' Affairs Reappropriation."
HB1015,396344,"An Act For The Arkansas Department Of Emergency Management Reappropriation."
HB1016,396345,"An Act For The Arkansas Natural Resources Commission Reappropriation."
HB1017,396346,"An Act For The Arkansas Natural Resources Commission Reappropriation."
HB1018,396347,"An Act For The Department Of Rural Services Reappropriation."
HB1019,396348,"An Act For The Economic Development Commission Reappropriation."
HB1020,396349,"An Act For The Arkansas Commission On Law Enforcement Standards And Training Reappropriation."
HB1021,396350,"An Act For The Arkansas Crime Information Center Reappropriation."
HB1022,396351,"An Act For The Department Of Correction Reappropriation."
HB1023,396352,"An Act For The Department Of Community Correction Reappropriation."
HB1024,396353,"An Act For The Riverside Vocational Technical School Reappropriation."
HB1025,396354,"An Act For The Northwest Technical Institute Reappropriation."
HB1026,396355,"An Act For The Northwest Technical Institute Reappropriation."
HB1027,396356,"An Act For The Institutions Of Higher Education Reappropriation."
