bill_id,roll_call_id,date,description,yea,nay,nv
396331,163087,2012-02-28,"Read the third time and failed.",73,10,2
396331,164256,2012-02-29,"Read the third time and failed.",64,21,1
396481,159923,2012-02-23,"Amendment No. 1 read and adopted and the bill ordered engrossed.",89,1,0
396481,162530,2012-02-27,"Read the third time and failed.",71,20,0
396481,164666,2012-02-29,"Read the third time and failed.",66,20,0
396482,161458,2012-02-23,"Amendment No. 1 read and adopted and the bill ordered engrossed.",84,5,1
396488,160744,2012-02-22,"Read and adopted and ordered transmitted to the Senate.",91,1,5
396488,160745,2012-02-23,"Resolution read and concurred in.",34,0,0
396493,155645,2012-02-16,"Read and adopted and ordered transmitted to the Senate.",81,15,0
396493,166488,2012-02-29,"Motion to Suspend the Rules to consider HCR 1009 failed to pass",21,12,0
396619,159335,2012-02-22,"Read the third time and adopted.",33,0,0
396619,159336,2012-02-23,"Read the third time, concurred in, ordered transmitted to the Senate.",81,2,10
396866,159378,2012-02-23,"Read the third time and adopted.",33,0,0
397829,154595,2012-02-15,"Read and adopted and ordered transmitted to the Senate.",94,0,0
398062,162431,2012-02-27,"Read the third time and passed.",34,0,0
398062,163478,2012-02-28,"Read the third time and failed.",47,28,4
400363,158781,2012-02-22,"Amendment No. 1 read and adopted and the bill ordered engrossed.",84,7,2
400363,159830,2012-02-23,"Read the third time and failed.",63,27,1
396334,155134,2012-02-14,"Read the third time and passed and ordered transmitted to the Senate.",95,0,0
396334,155135,2012-02-15,"Read the third time and passed.",34,0,0
396335,155147,2012-02-15,"Read the third time and passed and ordered transmitted to the Senate.",91,0,3
396335,155148,2012-02-16,"Read the third time and passed.",34,0,0
396336,155169,2012-02-15,"Read the third time and passed and ordered transmitted to the Senate.",91,0,3
396336,155170,2012-02-16,"Read the third time and passed.",34,0,0
396337,155179,2012-02-15,"Read the third time and passed and ordered transmitted to the Senate.",91,0,3
396337,155180,2012-02-16,"Read the third time and passed.",34,0,0
396338,155194,2012-02-15,"Read the third time and passed and ordered transmitted to the Senate.",91,0,3
396338,155195,2012-02-16,"Read the third time and passed.",34,0,0
396339,155197,2012-02-15,"Read the third time and passed and ordered transmitted to the Senate.",91,0,3
396339,155198,2012-02-16,"Read the third time and passed.",34,0,0
396340,155222,2012-02-15,"Read the third time and passed and ordered transmitted to the Senate.",91,0,3
396340,155223,2012-02-16,"Read the third time and passed.",34,0,0
396341,155231,2012-02-15,"Read the third time and passed and ordered transmitted to the Senate.",91,0,3
396341,155232,2012-02-16,"Read the third time and passed.",34,0,0
396342,155246,2012-02-15,"Read the third time and passed and ordered transmitted to the Senate.",91,0,3
396342,155247,2012-02-16,"Read the third time and passed.",34,0,0
396343,155249,2012-02-15,"Read the third time and passed and ordered transmitted to the Senate.",91,0,3
396343,155250,2012-02-16,"Read the third time and passed.",34,0,0
396344,155269,2012-02-15,"Read the third time and passed and ordered transmitted to the Senate.",91,0,3
396344,155270,2012-02-16,"Read the third time and passed.",34,0,0
396345,155289,2012-02-15,"Read the third time and passed and ordered transmitted to the Senate.",91,0,3
396345,155290,2012-02-16,"Read the third time and passed.",34,0,0
396346,155292,2012-02-15,"Read the third time and passed and ordered transmitted to the Senate.",91,0,3
396346,155293,2012-02-16,"Read the third time and passed.",34,0,0
396347,155304,2012-02-15,"Read the third time and passed and ordered transmitted to the Senate.",91,0,3
396347,155305,2012-02-16,"Read the third time and passed.",34,0,0
396348,155328,2012-02-15,"Read the third time and passed and ordered transmitted to the Senate.",91,0,3
396348,155329,2012-02-16,"Read the third time and passed.",34,0,0
396349,155330,2012-02-15,"Read the third time and passed and ordered transmitted to the Senate.",91,0,3
396349,155331,2012-02-16,"Read the third time and passed.",34,0,0
396350,155353,2012-02-15,"Read the third time and passed and ordered transmitted to the Senate.",91,0,3
396350,155354,2012-02-16,"Read the third time and passed.",34,0,0
396351,164164,2012-02-28,"Read the third time and passed and ordered transmitted to the Senate.",96,0,1
396351,164165,2012-02-29,"Read the third time and passed.",34,0,0
396352,155378,2012-02-15,"Read the third time and passed and ordered transmitted to the Senate.",84,3,4
396352,155379,2012-02-16,"Read the third time and passed.",34,0,0
396353,155403,2012-02-15,"Read the third time and passed and ordered transmitted to the Senate.",91,0,3
396353,155404,2012-02-16,"Read the third time and passed.",34,0,0
396354,155407,2012-02-15,"Read the third time and passed and ordered transmitted to the Senate.",91,0,3
396354,155408,2012-02-16,"Read the third time and passed.",34,0,0
396355,155414,2012-02-15,"Read the third time and passed and ordered transmitted to the Senate.",91,0,3
396355,155415,2012-02-16,"Read the third time and passed.",34,0,0
396356,155424,2012-02-15,"Read the third time and passed and ordered transmitted to the Senate.",91,0,1
396356,155425,2012-02-16,"Read the third time and passed.",34,0,0
396357,155143,2012-02-15,"Read the third time and passed and ordered transmitted to the Senate.",94,0,0
396357,155144,2012-02-16,"Read the third time and passed.",34,0,0
396358,155140,2012-02-15,"Read the third time and passed and ordered transmitted to the Senate.",94,0,0
396358,155141,2012-02-16,"Read the third time and passed.",34,0,0
