sponsor_id,name
8610,"Joint Budget Committee"
10649,"David Sanders"
10650,"Eddie Cheatham"
10654,"Jim Nickels"
10656,"Allen Kerr"
10657,"Jane English"
10660,"Les Carnine"
10669,"Butch Wilkins"
10771,"Betty Overbey"
11363,"Bill Sample"
11366,"Cecile Bledsoe"
11685,"Andy Mayberry"
11695,"Eddie Williams"
11743,"Tommy Thompson"
11831,"Jonathan Dismang"
11913,"Robert Thompson"
12101,"Missy Irvin"
12158,"Charles Collins"
12242,"Mary Hickerson"
12414,"Jeremy Gillam"
12575,"Stephanie Malone"
12578,"Jeff Wardlaw"
12719,"Bruce Cozart"
14928,"Randy Alexander"
14936,"Harold Copenhaver"
14941,"Eddie Armstrong"
14943,"Charlene Fite"
14944,"Bill Gossage"
14953,"Mark Lowery"
14956,"George McGill"
14960,"Chris Richey"
14963,"Brent Talley"
14968,"Ronald Caldwell"
14972,"Bart Hester"
14973,"Jimmy Hickey"
14974,"Jim Hendren"
16218,"John Cooper"
