bill_id,date,action
609574,2014-01-30,Filed
609574,2014-02-10,"Read the first time, rules suspended, read the second time and referred to the Committee on JOINT BUDGET COMMITTEE"
609574,2014-02-10,"Returned by the Committee with the recommendation that it do pass as amended 1"
609574,2014-02-11,"Placed on second reading for the purpose of amendment."
609574,2014-02-11,"Amendment No. 1 read and adopted and the bill ordered engrossed."
609574,2014-02-11,"REPORTED CORRECTLY ENGROSSED"
609574,2014-02-12,"Received from the House."
609574,2014-02-12,"Read the third time and passed and ordered transmitted to the Senate."
609574,2014-02-12,"EMERGENCY CLAUSE ADOPTED"
609574,2014-02-12,"Read the first time, rules suspended, read the second time and placed on the calendar."
609574,2014-02-13,"Considered in the Committee of the Whole, and recommended do pass."
609574,2014-02-13,"Read the third time and passed."
609574,2014-02-13,"EMERGENCY CLAUSE ADOPTED"
609574,2014-02-13,"Returned to the House as passed."
609574,2014-02-13,"Returned From the Senate as passed."
609574,2014-02-13,"TO BE ENROLLED"
609574,2014-02-13,"Correctly enrolled and ordered transmitted to the Governor's Office."
609574,2014-02-14,"Notification that HB1002 is now Act 1"
609575,2014-01-29,Filed
609575,2014-02-10,"Read the first time, rules suspended, read the second time and referred to the Committee on HOUSE RULES"
609575,2014-03-19,"Died in House Committee at Sine Die adjournment."
610310,2014-01-31,Filed
610310,2014-02-10,"Read the first time, rules suspended, read the second time and referred to the Committee on JOINT BUDGET COMMITTEE"
610310,2014-02-20,"Returned by the Committee Do Pass"
610310,2014-02-25,"RULES SUSPENDED"
610310,2014-02-25,"Considered in the Committee of the Whole, and recommended do pass."
610310,2014-02-25,"Read the third time and passed and ordered transmitted to the Senate."
610310,2014-02-25,"EMERGENCY CLAUSE ADOPTED"
610310,2014-02-25,"Received from the House."
610310,2014-02-25,"Read the first time, rules suspended, read the second time and placed on the calendar."
610310,2014-02-26,"Rules suspended."
610310,2014-02-26,"Read the third time and passed."
610310,2014-02-26,"EMERGENCY CLAUSE ADOPTED"
610310,2014-02-26,"Returned to the House as Passed."
610310,2014-02-26,"Returned From the Senate as passed."
610310,2014-02-26,"TO BE ENROLLED"
610310,2014-02-26,"Correctly enrolled and ordered transmitted to the Governor's Office."
610310,2014-02-28,"Notification that HB1020 is now Act 214"
610317,2014-01-31,Filed
610317,2014-02-10,"Read the first time, rules suspended, read the second time and referred to the Committee on JOINT BUDGET COMMITTEE"
610317,2014-02-12,"Returned by the Committee Do Pass"
610317,2014-02-13,"RULES SUSPENDED"
610317,2014-02-13,"Considered in the Committee of the Whole, and recommended do pass."
610317,2014-02-13,"Read the third time and passed and ordered transmitted to the Senate."
610317,2014-02-13,"EMERGENCY CLAUSE ADOPTED"
610317,2014-02-13,"Received from the House."
610317,2014-02-13,"Read the first time, rules suspended, read the second time and placed on the calendar."
610317,2014-02-18,"Considered in the Committee of the Whole, and recommended do pass."
610317,2014-02-18,"Rules suspended."
610317,2014-02-18,"Read the third time and passed."
610317,2014-02-18,"EMERGENCY CLAUSE ADOPTED"
610317,2014-02-18,"Returned to the House as Passed."
610317,2014-02-18,"Returned From the Senate as passed."
610317,2014-02-18,"TO BE ENROLLED"
610317,2014-02-19,"Correctly enrolled and ordered transmitted to the Governor's Office."
610317,2014-02-20,"Notification that HB1019 is now Act 47"
610329,2014-01-31,Filed
610329,2014-02-10,"Read the first time, rules suspended, read the second time and referred to the Committee on JOINT BUDGET COMMITTEE"
610329,2014-02-12,"Returned by the Committee Do Pass"
610329,2014-02-13,"RULES SUSPENDED"
610329,2014-02-13,"Considered in the Committee of the Whole, and recommended do pass."
610329,2014-02-13,"Read the third time and passed and ordered transmitted to the Senate."
610329,2014-02-13,"EMERGENCY CLAUSE ADOPTED"
610329,2014-02-13,"Received from the House."
610329,2014-02-13,"Read the first time, rules suspended, read the second time and placed on the calendar."
610329,2014-02-18,"Considered in the Committee of the Whole, and recommended do pass."
610329,2014-02-18,"Rules suspended."
610329,2014-02-18,"Read the third time and passed."
610329,2014-02-18,"EMERGENCY CLAUSE ADOPTED"
610329,2014-02-18,"Returned to the House as Passed."
610329,2014-02-18,"Returned From the Senate as passed."
610329,2014-02-18,"TO BE ENROLLED"
610329,2014-02-19,"Correctly enrolled and ordered transmitted to the Governor's Office."
610329,2014-02-20,"Notification that HB1015 is now Act 43"
610338,2014-01-31,Filed
610338,2014-02-10,"Read the first time, rules suspended, read the second time and referred to the Committee on JOINT BUDGET COMMITTEE"
610338,2014-02-25,"Returned by the Committee Do Pass"
610338,2014-02-26,"RULES SUSPENDED"
610338,2014-02-26,"Considered in the Committee of the Whole, and recommended do pass."
610338,2014-02-26,"Read the third time and passed and ordered transmitted to the Senate."
610338,2014-02-26,"EMERGENCY CLAUSE ADOPTED"
610338,2014-02-26,"Received from the House."
610338,2014-02-26,"Read the first time, rules suspended, read the second time and placed on the calendar."
610338,2014-02-27,"Rules suspended."
610338,2014-02-27,"Read the third time and passed."
610338,2014-02-27,"EMERGENCY CLAUSE ADOPTED"
610338,2014-02-27,"Returned to the House as Passed."
610338,2014-02-27,"Returned From the Senate as passed."
610338,2014-02-27,"TO BE ENROLLED"
610338,2014-02-27,"Correctly enrolled and ordered transmitted to the Governor's Office."
610338,2014-02-28,"Notification that HB1014 is now Act 213"
610346,2014-01-31,Filed
610346,2014-02-10,"Read the first time, rules suspended, read the second time and referred to the Committee on JOINT BUDGET COMMITTEE"
610346,2014-02-12,"Returned by the Committee Do Pass"
610346,2014-02-13,"RULES SUSPENDED"
610346,2014-02-13,"Considered in the Committee of the Whole, and recommended do pass."
610346,2014-02-13,"Read the third time and passed and ordered transmitted to the Senate."
610346,2014-02-13,"EMERGENCY CLAUSE ADOPTED"
610346,2014-02-13,"Received from the House."
610346,2014-02-13,"Read the first time, rules suspended, read the second time and placed on the calendar."
610346,2014-02-18,"Considered in the Committee of the Whole, and recommended do pass."
610346,2014-02-18,"Rules suspended."
610346,2014-02-18,"Read the third time and passed."
610346,2014-02-18,"EMERGENCY CLAUSE ADOPTED"
610346,2014-02-18,"Returned to the House as Passed."
610346,2014-02-18,"Returned From the Senate as passed."
610346,2014-02-18,"TO BE ENROLLED"
610346,2014-02-19,"Correctly enrolled and ordered transmitted to the Governor's Office."
610346,2014-02-20,"Notification that HB1011 is now Act 40"
610359,2014-01-31,Filed
610359,2014-02-10,"Read the first time, rules suspended, read the second time and referred to the Committee on JOINT BUDGET COMMITTEE"
