sponsor_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district
8610,"Joint Budget Committee",,,,,,0,,3,Jnt,
8613,"Bruce Maloch",Bruce,,Maloch,,,1,D,2,Sen,SD-012
8619,"Senate Efficiency",,,,,,0,,2,Sen,
10649,"David Sanders",David,J.,Sanders,,,2,R,2,Sen,SD-015
10650,"Eddie Cheatham",Eddie,L.,Cheatham,,,1,D,2,Sen,SD-026
10651,"Justin Harris",Justin,T.,Harris,,,2,R,1,Rep,HD-081
10652,"Jon Woods",Jon,,Woods,,,2,R,2,Sen,SD-007
10657,"Jane English",Jane,,English,,,2,R,2,Sen,SD-034
10662,"Lane Jean",Lane,,Jean,,,2,R,1,Rep,HD-002
10663,"David Meeks",David,,Meeks,,,2,R,1,Rep,HD-070
10664,"Uvalde Lindsey",Uvalde,,Lindsey,,,1,D,2,Sen,SD-004
10665,"Marshall Wright",Marshall,,Wright,,,1,D,1,Rep,HD-049
10667,"Stephen Meeks",Stephen,,Meeks,,,2,R,1,Rep,HD-067
10668,"Sheilla Lampkin",Sheilla,E.,Lampkin,,,1,D,1,Rep,HD-009
10671,"David Johnson",David,,Johnson,,,1,D,2,Sen,SD-032
10674,"Larry Teague",Larry,R.,Teague,,,1,D,2,Sen,SD-010
10677,"Jake Files",Jake,C.,Files,,,2,R,2,Sen,SD-008
10771,"Betty Overbey",Betty,Warren,Overbey,,,1,D,1,Rep,HD-069
10772,"Linda Chesterfield",Linda,Pondexter,Chesterfield,,,1,D,2,Sen,SD-030
11148,"Keith Ingram",Keith,M.,Ingram,,,1,D,2,Sen,SD-024
11280,"Jeremy Hutchinson",Jeremy,,Hutchinson,,,2,R,2,Sen,SD-033
11362,"David Branscum",David,L.,Branscum,,,2,R,1,Rep,HD-083
11363,"Bill Sample",Bill,,Sample,,,2,R,2,Sen,SD-014
11366,"Cecile Bledsoe",Cecile,Herndon,Bledsoe,,,2,R,2,Sen,SD-003
11684,"Nate Bell",Nate,,Bell,,,2,R,1,Rep,HD-020
11686,"Gary Deffenbaugh",Gary,,Deffenbaugh,,,2,R,1,Rep,HD-079
11687,"Linda Collins-Smith",Linda,,Collins-Smith,,,2,R,2,Sen,SD-019
11693,"Joyce Elliott",Joyce,,Elliott,,,1,D,2,Sen,SD-031
11695,"Eddie Williams",Eddie,Joe,Williams,,,2,R,2,Sen,SD-029
11831,"Jonathan Dismang",Jonathan,,Dismang,,,2,R,2,Sen,SD-028
11832,"David Burnett",David,,Burnett,,,1,D,2,Sen,SD-022
11991,"Greg Leding",Greg,,Leding,,,1,D,1,Rep,HD-086
12014,"Kelley Linck",Kelley,,Linck,,,2,R,1,Rep,HD-099
12020,"Jason Rapert",Jason,,Rapert,,,2,R,2,Sen,SD-035
12047,"Kim Hendren",Kim,D.,Hendren,,,2,R,1,Rep,HD-092
12101,"Missy Irvin",Missy,Thomas,Irvin,,,2,R,2,Sen,SD-018
12108,"Jon Eubanks",Jon,S.,Eubanks,,,2,R,1,Rep,HD-074
12109,"John Vines",John,T.,Vines,,,1,D,1,Rep,HD-025
12110,"Matthew Shepherd",Matthew,J.,Shepherd,,,2,R,1,Rep,HD-006
12158,"Charles Collins",Charles,S.,Collins,,Charlie,2,R,1,Rep,HD-084
12159,"Bryan King",Bryan,B.,King,,,2,R,2,Sen,SD-005
12170,"Bobby Pierce",Bobby,J.,Pierce,,,1,D,2,Sen,SD-027
12186,"Kim Hammer",Kim,,Hammer,,,2,R,1,Rep,HD-028
12235,"David Fielding",David,,Fielding,,,1,D,1,Rep,HD-005
12236,"Stephanie Flowers",Stephanie,,Flowers,,,1,D,2,Sen,SD-025
12242,"Mary Hickerson",Mary,P.,Hickerson,,Prissy,2,R,1,Rep,HD-001
12414,"Jeremy Gillam",Jeremy,,Gillam,,,2,R,1,Rep,HD-045
12464,"Frederick Love",Frederick,J.,Love,,Fred,1,D,1,Rep,HD-029
12468,"Terry Rice",Terry,W.,Rice,,,2,R,2,Sen,SD-009
12470,"Reginald Murdock",Reginald,,Murdock,,,1,D,1,Rep,HD-048
12471,"James Ratliff",James,,Ratliff,,,1,D,1,Rep,HD-060
12481,"John Walker",John,W.,Walker,,,1,D,1,Rep,HD-034
12483,"Gary Stubblefield",Gary,,Stubblefield,,,2,R,2,Sen,SD-006
12578,"Jeff Wardlaw",Jeff,R.,Wardlaw,,,1,D,1,Rep,HD-008
12719,"Bruce Cozart",Bruce,,Cozart,,,2,R,1,Rep,HD-024
