bill_id,date,action
119375,2010-01-11,Prefiled
119376,2010-01-25,"Introduced in House and read first time"
119376,2010-01-25,"Assigned to House PERER Committee"
119376,2010-01-25,"Assigned to House RULES Committee"
119376,2010-01-26,"House read second time"
119376,2010-01-26,"Referred to House PERER Committee"
119377,2010-01-13,"Introduced in House and read first time"
119377,2010-01-13,"Assigned to House GOV Committee"
119377,2010-01-13,"Assigned to House RULES Committee"
119377,2010-01-14,"House read second time"
119377,2010-01-14,"Referred to House GOV Committee"
119377,2010-01-26,"House GOV Committee action: Do Pass Amended, voting: (8-0-0-1-0)"
119377,2010-01-13,"Referred to House RULES Committee"
119377,2010-02-15,"House RULES Committee action: constitutional and in proper form, voting: (7-0-0-1-0)"
119377,2010-02-16,"House minority caucus: Do pass"
119377,2010-02-16,"House majority caucus: Do pass"
119377,2010-02-18,"House Committee of the Whole action: Do Pass Amended"
119377,2010-02-23,"House third reading , voting: (53-4-3-0)"
119377,2010-02-23,"Transmit to Senate"
119377,2010-02-24,"Introduced in Senate and read first time"
119377,2010-03-02,"Assigned to Senate HEALTH Committee"
119377,2010-03-02,"Assigned to Senate APPROP Committee"
119377,2010-03-02,"Assigned to Senate RULES Committee"
119377,2010-03-02,"Senate read second time"
119377,2010-03-02,"Referred to Senate HEALTH Committee"
119377,2010-03-17,"Senate HEALTH Committee action: Do Pass, voting: (7-0-0-0)"
119377,2010-03-02,"Referred to Senate APPROP Committee"
119377,2010-03-16,"Senate APPROP Committee action: Do Pass, voting: (7-2-0-0)"
119377,2010-03-02,"Referred to Senate RULES Committee"
119377,2010-03-29,"Senate RULES Committee action: Proper For Consideration"
119377,2010-03-30,"Senate minority caucus: Do pass"
119377,2010-03-30,"Senate majority caucus: Do pass"
119377,2010-03-29,"Senate Consent Calendar March 29, 2010 @ 4:03 PM"
119377,2010-04-01,"Senate third reading , voting: (21-7-2-0)"
119377,2010-04-05,"Transmit to House"
119377,2010-04-05,"Transmitted to Governor"
119377,2010-04-09,"Governor Signed"
119378,2010-02-02,"Introduced in Senate and read first time"
