bill_id,date,action
415545,2010-03-08,"Introduced in Senate and read first time"
415545,2010-03-08,"Assigned to Senate APPROP Committee"
415545,2010-03-08,"Assigned to Senate RULES Committee"
415545,2010-03-09,"Senate read second time"
415545,2010-03-09,"Referred to Senate APPROP Committee"
415545,2010-03-09,"Senate APPROP Committee action: Do Pass, voting: (6-3-0-0)"
415545,2010-03-08,"Referred to Senate RULES Committee"
415545,2010-03-11,"Senate RULES Committee action: Proper For Consideration"
415545,2010-03-11,"Senate minority caucus: Do pass"
415545,2010-03-11,"Senate majority caucus: Do pass"
415545,2010-03-11,"Senate Committee of the Whole action: Do Pass"
415560,2010-03-08,"Introduced in Senate and read first time"
415560,2010-03-08,"Assigned to Senate APPROP Committee"
415560,2010-03-08,"Assigned to Senate RULES Committee"
415560,2010-03-09,"Senate read second time"
415560,2010-03-09,"Referred to Senate APPROP Committee"
415560,2010-03-09,"Senate APPROP Committee action: Do Pass, voting: (6-3-0-0)"
415560,2010-03-08,"Referred to Senate RULES Committee"
415560,2010-03-11,"Senate RULES Committee action: Proper For Consideration"
415560,2010-03-11,"Senate minority caucus: Do pass"
415560,2010-03-11,"Senate majority caucus: Do pass"
415560,2010-03-11,"Senate Committee of the Whole action: Do Pass"
415574,2010-03-08,"Introduced in Senate and read first time"
415574,2010-03-08,"Assigned to Senate APPROP Committee"
415574,2010-03-08,"Assigned to Senate RULES Committee"
415574,2010-03-09,"Senate read second time"
415574,2010-03-09,"Referred to Senate APPROP Committee"
415574,2010-03-09,"Senate APPROP Committee action: Do Pass, voting: (5-3-1-0)"
415574,2010-03-08,"Referred to Senate RULES Committee"
415574,2010-03-11,"Senate RULES Committee action: Proper For Consideration"
415574,2010-03-11,"Senate minority caucus: Do pass"
415574,2010-03-11,"Senate majority caucus: Do pass"
415574,2010-03-11,"Senate Committee of the Whole action: Do Pass"
415587,2010-03-08,"Introduced in Senate and read first time"
415587,2010-03-08,"Assigned to Senate APPROP Committee"
