bill_id,date,action
221377,2010-12-15,Prefiled
221378,2011-01-11,"Introduced in House and read first time"
221378,2011-01-11,"Assigned to House ED Committee"
221378,2011-01-11,"Assigned to House RULES Committee"
221378,2011-01-12,"House read second time"
221378,2011-01-12,"Referred to House ED Committee"
221378,2011-02-14,"House ED Committee action: Do Pass Amended, voting: (7-3-0-0-0)"
221378,2011-01-11,"Referred to House RULES Committee"
221378,2011-02-21,"House RULES Committee action: constitutional and in proper form, voting: (9-0-0-0-0)"
221378,2011-02-22,"House minority caucus: Do pass"
221378,2011-02-22,"House majority caucus: Do pass"
221378,2011-03-02,"House Committee of the Whole action: Do Pass Amended"
221378,2011-03-03,"House third reading , voting: (40-18-2-0)"
221378,2011-03-03,"Transmit to Senate"
221378,2011-03-07,"Introduced in Senate and read first time"
221378,2011-03-07,"Assigned to Senate GR Committee"
221378,2011-03-07,"Assigned to Senate RULES Committee"
221378,2011-03-08,"Senate read second time"
221378,2011-03-08,"Referred to Senate GR Committee"
221378,2011-03-23,"Senate GR Committee action: Do Pass Amended, voting: (3-1-3-0)"
221378,2011-03-07,"Referred to Senate RULES Committee"
221378,2011-03-28,"Senate RULES Committee action: Proper For Consideration"
221378,2011-03-29,"Senate minority caucus: Do pass"
221378,2011-03-29,"Senate majority caucus: Do pass"
221378,2011-03-31,"Senate Committee of the Whole action: Do Pass Amended"
221378,2011-04-07,"Senate third reading , voting: (21-7-2-0)"
221378,2011-04-08,"Transmit to House"
221378,2011-04-12,"House majority caucus: Do pass"
221378,2011-04-12,"House minority caucus: Do pass"
221378,2011-04-13,"House Concurrence , voting: (0-0-0-0)"
221378,2011-04-13,"House final reading , voting: (40-17-3-0)"
221378,2011-04-14,"Transmitted to Governor"
221378,2011-04-19,"Governor Signed"
221379,2011-01-11,"Introduced in House and read first time"
221379,2011-01-11,"Assigned to House TRANS Committee"
221379,2011-01-11,"Assigned to House RULES Committee"
221379,2011-01-12,"House read second time"
221379,2011-01-12,"Referred to House TRANS Committee"
221379,2011-02-10,"House TRANS Committee action: Do Pass Amended, voting: (9-0-0-0-0)"
221379,2011-01-11,"Referred to House RULES Committee"
221379,2011-02-21,"House RULES Committee action: constitutional and in proper form, voting: (9-0-0-0-0)"
221379,2011-02-22,"House minority caucus: Do pass"
221379,2011-02-22,"House majority caucus: Do pass"
221379,2011-02-24,"House Committee of the Whole action: Do Pass Amended"
221379,2011-02-28,"House third reading , voting: (52-6-2-0)"
221379,2011-02-28,"Transmit to Senate"
221379,2011-03-01,"Introduced in Senate and read first time"
221379,2011-03-01,"Assigned to Senate PSHS Committee"
221379,2011-03-01,"Assigned to Senate RULES Committee"
221379,2011-03-02,"Senate read second time"
221379,2011-03-02,"Referred to Senate PSHS Committee"
221379,2011-03-09,"Senate PSHS Committee action: Do Pass, voting: (4-2-0-0)"
221379,2011-03-01,"Referred to Senate RULES Committee"
221379,2011-03-14,"Senate RULES Committee action: Proper For Consideration"
221379,2011-03-22,"Senate minority caucus: Do pass"
221379,2011-03-22,"Senate majority caucus: Do pass"
221379,2011-03-14,"Senate Consent Calendar March 14, 2011 @ 1:10 PM with Objections"
221379,2011-03-24,"Senate Committee of the Whole action: Do Pass Amended"
