bill_id,date,action
348996,2012-01-11,"Introduced in Senate and read first time"
348996,2012-01-11,"Assigned to Senate GR Committee"
348996,2012-01-11,"Assigned to Senate RULES Committee"
348996,2012-01-12,"Senate read second time"
348996,2012-01-12,"Referred to Senate GR Committee"
348998,2012-01-09,"Introduced in Senate and read first time"
348998,2012-01-09,"Assigned to Senate GR Committee"
348998,2012-01-09,"Assigned to Senate RULES Committee"
348998,2012-01-10,"Senate read second time"
348998,2012-01-10,"Referred to Senate GR Committee"
348998,2012-01-11,"Senate GR Committee action: Do Pass, voting: (4-1-0-0)"
348998,2012-01-09,"Referred to Senate RULES Committee"
348998,2012-01-17,"Senate RULES Committee action: Proper For Consideration"
348998,2012-01-17,"Senate minority caucus: Do pass"
348998,2012-01-17,"Senate majority caucus: Do pass"
348998,2012-01-17,"Senate Consent Calendar January 17, 2012 @ 2:02 PM with Objections"
348998,2012-02-16,"Senate Committee of the Whole action: Retained"
348998,2012-02-27,"Senate third reading PASSED voting: (16-14-0-0)"
348998,2012-02-27,"Transmit to House"
348998,2012-03-02,"Introduced in House and read first time"
348998,2012-03-02,"Assigned to House APPROP Committee"
348998,2012-03-02,"Assigned to House RULES Committee"
348998,2012-03-05,"House read second time"
348998,2012-03-05,"Referred to House APPROP Committee"
348998,2012-03-21,"House APPROP Committee action: Failed To Pass, voting: (5-7-0-1-0)"
348998,2012-03-21,"Referred to House RULES Committee"
348999,2012-01-09,"Introduced in Senate and read first time"
348999,2012-01-09,"Assigned to Senate RULES Committee"
348999,2012-01-10,"Senate read second time"
348999,2012-01-10,"Referred to Senate RULES Committee"
348999,2012-02-20,"Senate RULES Committee action: Do pass and proper for consideration, voting: (5-0-1-0)"
348999,2012-02-21,"Senate minority caucus: Do pass"
348999,2012-02-21,"Senate majority caucus: Do pass"
348999,2012-02-20,"Senate Consent Calendar February 20, 2012 @ 1:20 PM"
348999,2012-02-22,"Senate third reading PASSED voting: (29-0-1-0)"
348999,2012-02-22,"Transmit to House"
349001,2012-01-09,"Introduced in Senate and read first time"
349001,2012-01-09,"Assigned to Senate RULES Committee"
349001,2012-01-10,"Senate read second time"
349001,2012-01-10,"Referred to Senate RULES Committee"
349001,2012-02-20,"Senate RULES Committee action: Do pass and proper for consideration, voting: (5-0-1-0)"
349001,2012-02-21,"Senate minority caucus: Do pass"
349001,2012-02-21,"Senate majority caucus: Do pass"
349001,2012-02-20,"Senate Consent Calendar February 20, 2012 @ 1:20 PM"
349001,2012-02-22,"Senate third reading PASSED voting: (29-0-1-0)"
349001,2012-02-22,"Transmit to House"
349002,2012-01-09,"Introduced in Senate and read first time"
349002,2012-01-09,"Assigned to Senate RULES Committee"
349002,2012-01-10,"Senate read second time"
349002,2012-01-10,"Referred to Senate RULES Committee"
349002,2012-02-20,"Senate RULES Committee action: Do pass and proper for consideration, voting: (5-0-1-0)"
349002,2012-02-21,"Senate minority caucus: Do pass"
349002,2012-02-21,"Senate majority caucus: Do pass"
349002,2012-02-20,"Senate Consent Calendar February 20, 2012 @ 1:20 PM"
349002,2012-02-22,"Senate third reading PASSED voting: (29-0-1-0)"
349002,2012-02-22,"Transmit to House"
349004,2012-01-09,"Introduced in Senate and read first time"
349004,2012-01-09,"Assigned to Senate NRT Committee"
349004,2012-01-09,"Assigned to Senate RULES Committee"
349004,2012-01-10,"Senate read second time"
349004,2012-01-10,"Referred to Senate NRT Committee"
349004,2012-01-09,"Senate NRT Committee action: Do Pass, voting: (5-0-1-0)"
349004,2012-01-09,"Referred to Senate RULES Committee"
349004,2012-01-10,"Senate RULES Committee action: Proper For Consideration"
349004,2012-02-07,"Senate minority caucus: Do pass"
349004,2012-02-07,"Senate majority caucus: Do pass"
349004,2012-02-23,"Senate Committee of the Whole action: Do Pass Amended"
349004,2012-02-27,"Senate third reading PASSED voting: (25-5-0-0)"
349004,2012-02-27,"Transmit to House"
349004,2012-03-02,"Introduced in House and read first time"
349004,2012-03-02,"Assigned to House ENR Committee"
349004,2012-03-02,"Assigned to House RULES Committee"
349004,2012-03-05,"House read second time"
349004,2012-03-05,"Referred to House ENR Committee"
349004,2012-03-12,"House ENR Committee action: Do Pass, voting: (6-1-0-1-0)"
349004,2012-03-02,"Referred to House RULES Committee"
349004,2012-04-09,"House RULES Committee action: constitutional and in proper form, voting: (7-0-0-2-0)"
349004,2012-04-10,"House minority caucus: Do pass"
349004,2012-04-10,"House majority caucus: Do pass"
349004,2012-04-19,"House Committee of the Whole action: Do Pass Amended"
349004,2012-04-23,"House third reading PASSED voting: (50-0-9-0)"
349004,2012-04-23,"Transmit to Senate"
349004,2012-04-25,"Senate majority caucus: Do pass"
