bill_id,roll_call_id,date,description,yea,nay,nv
348998,139748,2012-01-11,"Senate Government Reform Committee Action (DP)",4,1,0
348998,161530,2012-02-23,"Senate - COW Motion to Amend",13,15,2
348998,163600,2012-02-27,"Senate - Third Reading",16,14,0
348998,176038,2012-03-21,"House Appropriations Committee Action (FAILED)",5,7,0
348999,158691,2012-02-20,"Senate Rules Committee Action (DP/PFC)",5,0,1
348999,158692,2012-02-22,"Senate - Third Reading",29,0,1
349001,158754,2012-02-20,"Senate Rules Committee Action (DP/PFC)",5,0,1
349001,158755,2012-02-22,"Senate - Third Reading",29,0,1
349002,158766,2012-02-20,"Senate Rules Committee Action (DP/PFC)",5,0,1
349002,158767,2012-02-22,"Senate - Third Reading",29,0,1
349004,140230,2012-01-09,"Senate Natural Resources and Transportation Committee Action (DP)",5,0,1
349004,162595,2012-02-27,"Senate - Third Reading",25,5,0
349004,172479,2012-03-12,"House Energy and Natural Resources Committee Action (DP)",6,1,0
349004,183563,2012-04-09,"House Rules Committee Action (C&P)",7,0,0
349004,188450,2012-04-23,"House - Third Reading",50,0,9
349004,188999,2012-04-25,"Senate - Third Reading",17,11,2
349006,143288,2012-01-18,"Senate Commerce and Energy Committee Action (DPA)",5,1,0
349006,148688,2012-02-02,"Senate - Third Reading",29,0,1
349006,157168,2012-02-20,"House Energy and Natural Resources Committee Action (DP)",8,0,0
349006,165244,2012-02-28,"House Employment and Regulatory Affairs Committee Action (DP)",7,1,0
349006,172078,2012-03-12,"House Rules Committee Action (C&P)",7,0,0
349006,175319,2012-03-19,"House - Third Reading",49,9,2
349015,139880,2012-01-12,"Senate Finance Committee Action (DP)",5,2,0
349015,143526,2012-01-19,"Senate - Third Reading",19,9,1
349015,149769,2012-02-06,"House Ways and Means Committee Action (DPA/SE)",7,2,0
349015,152936,2012-02-13,"House Rules Committee Action (C&P)",7,0,0
349015,155599,2012-02-16,"House - Third Reading",40,16,3
349015,175529,2012-03-20,"Senate - Third Reading",28,1,1
349017,139879,2012-01-12,"Senate Finance Committee Action (DP)",5,2,0
349017,143523,2012-01-18,"Senate - COW Motion to Amend",8,18,3
349017,143524,2012-01-19,"Senate - Third Reading",19,9,1
349017,149723,2012-02-06,"House Ways and Means Committee Action (DPA/SE)",6,3,0
349017,152872,2012-02-13,"House Rules Committee Action (C&P)",7,0,0
349017,155441,2012-02-16,"House - Third Reading",37,19,3
349017,159870,2012-02-23,"Senate - Third Reading",20,9,1
349018,139881,2012-01-12,"Senate Finance Committee Action (DPA)",7,0,0
349018,143530,2012-01-19,"Senate - Third Reading",28,0,1
349018,149701,2012-02-06,"House Ways and Means Committee Action (DP)",8,0,0
349018,152870,2012-02-13,"House Rules Committee Action (C&P)",7,0,0
349018,155413,2012-02-16,"House - Third Reading",54,1,3
349020,139882,2012-01-12,"Senate Finance Committee Action (DPA)",6,1,0
349020,143529,2012-01-19,"Senate - Third Reading",27,1,1
349020,150532,2012-02-06,"House Ways and Means Committee Action (DP)",9,0,0
349020,154451,2012-02-13,"House Rules Committee Action (C&P)",7,0,0
349020,156093,2012-02-16,"House - Third Reading",56,0,3
349020,159574,2012-02-23,"Senate - Third Reading",28,1,1
349024,139802,2012-01-11,"Senate Public Safety and Human Services Committee Action (DP)",6,0,0
349024,143528,2012-01-19,"Senate - Third Reading",28,0,1
349024,172505,2012-03-15,"House Government Committee Action (DPA/SE)",6,2,0
