bill_id,date,action
560545,2013-06-11,"Introduced in House and read first time"
560545,2013-06-12,"House read second time"
560545,2013-06-13,"Transmitted to Governor"
560545,2013-06-17,"Governor Signed"
560554,2013-06-11,"Introduced in Senate and read first time"
560554,2013-06-12,"Senate read second time"
560562,2013-06-11,"Introduced in Senate and read first time"
560562,2013-06-12,"Senate read second time"
560571,2013-06-11,"Introduced in Senate and read first time"
560571,2013-06-12,"Senate read second time"
560580,2013-06-11,"Introduced in Senate and read first time"
560580,2013-06-12,"Senate read second time"
560588,2013-06-11,"Introduced in House and read first time"
560588,2013-06-12,"House read second time"
560588,2013-06-13,"Transmitted to Governor"
560588,2013-06-17,"Governor Signed"
560597,2013-06-11,"Introduced in House and read first time"
560597,2013-06-12,"House read second time"
560597,2013-06-13,"Transmitted to Governor"
560597,2013-06-17,"Governor Signed"
560605,2013-06-11,"Introduced in House and read first time"
560605,2013-06-12,"House read second time"
560605,2013-06-13,"Transmitted to Governor"
560605,2013-06-17,"Governor Signed"
560615,2013-06-11,"Introduced in House and read first time"
560615,2013-06-12,"House read second time"
560615,2013-06-13,"Transmitted to Governor"
560615,2013-06-17,"Governor Signed"
560624,2013-06-11,"Introduced in House and read first time"
560624,2013-06-12,"House read second time"
560624,2013-06-13,"Transmitted to Governor"
560624,2013-06-17,"Governor Signed"
560631,2013-06-11,"Introduced in House and read first time"
560631,2013-06-12,"House read second time"
560631,2013-06-13,"Transmitted to Governor"
560631,2013-06-17,"Governor Signed"
560640,2013-06-11,"Introduced in House and read first time"
560640,2013-06-12,"House read second time"
560640,2013-06-13,"Transmitted to Governor"
560640,2013-06-17,"Governor Signed"
560648,2013-06-11,"Introduced in Senate and read first time"
560648,2013-06-12,"Senate read second time"
560657,2013-06-11,"Introduced in Senate and read first time"
560657,2013-06-12,"Senate read second time"
560665,2013-06-11,"Introduced in Senate and read first time"
560665,2013-06-12,"Senate read second time"
560674,2013-06-11,"Introduced in Senate and read first time"
560674,2013-06-12,"Senate read second time"
560683,2013-06-11,"Introduced in House and read first time"
560683,2013-06-12,"House read second time"
560683,2013-06-13,"Transmitted to Governor"
560683,2013-06-17,"Governor Signed"
560691,2013-06-11,"Introduced in House and read first time"
560691,2013-06-12,"House read second time"
560691,2013-06-13,"Transmitted to Governor"
560691,2013-06-17,"Governor Signed"
560700,2013-06-11,"Introduced in Senate and read first time"
560700,2013-06-12,"Senate read second time"
560706,2013-06-11,"Introduced in Senate and read first time"
560706,2013-06-12,"Senate read second time"
