bill_id,roll_call_id,date,description,yea,nay,nv
560545,291097,2013-06-13,"House - Third Reading",33,27,0
560545,291098,2013-06-13,"Senate - Third Reading",18,11,1
560588,291108,2013-06-13,"House - Third Reading",32,27,0
560588,291109,2013-06-13,"Senate - Third Reading",18,11,1
560588,302868,2013-06-13,"House - COW Motion to Amend",27,33,0
560597,291112,2013-06-13,"House - Third Reading",33,27,0
560597,291113,2013-06-13,"Senate - Third Reading",18,11,1
560605,291118,2013-06-13,"House - COW Motion to Amend",27,33,0
560605,291119,2013-06-13,"House - COW Motion to Amend",27,33,0
560605,291120,2013-06-13,"House - COW Motion to Amend",27,33,0
560605,291121,2013-06-13,"House - COW Motion to Amend",27,33,0
560605,291122,2013-06-13,"House - COW Motion to Amend",27,33,0
560605,291123,2013-06-13,"House - COW Motion to Amend",27,33,0
560605,291124,2013-06-13,"House - COW Motion to Amend",27,33,0
560605,291125,2013-06-13,"House - COW Motion to Amend",27,33,0
560605,291126,2013-06-13,"House - COW Motion to Amend",27,33,0
560605,291127,2013-06-13,"House - Third Reading",33,27,0
560605,291128,2013-06-13,"Senate - Third Reading",18,11,1
560615,291133,2013-06-13,"House - Third Reading",33,27,0
560615,291134,2013-06-13,"Senate - Third Reading",18,11,1
560615,302870,2013-06-13,"House - COW Motion to Amend",27,33,0
560624,291136,2013-06-13,"House - Third Reading",33,27,0
560624,291137,2013-06-13,"Senate - Third Reading",19,10,1
560631,291138,2013-06-13,"House - Third Reading",33,27,0
560631,291139,2013-06-13,"Senate - Third Reading",18,11,1
560640,291142,2013-06-13,"House - Third Reading",33,27,0
560640,291143,2013-06-13,"Senate - Third Reading",17,11,2
560683,291159,2013-06-13,"House - Third Reading",33,27,0
560683,291160,2013-06-13,"Senate - Third Reading",18,11,1
560691,291165,2013-06-13,"House - Third Reading",33,27,0
560691,291166,2013-06-13,"Senate - Third Reading",18,11,1
560691,302879,2013-06-13,"House - COW Motion to Amend",27,33,0
