bill_id,roll_call_id,date,description,yea,nay,nv
650848,367870,2014-05-28,"Senate Health and Human Services Committee Action (DPA)",7,0,0
650848,368303,2014-05-29,"Senate - Third Reading",30,0,0
650848,368304,2014-05-29,"House - Third Reading",60,0,0
650849,367883,2014-05-28,"House Public Safety, Military and Regulatory Affairs Committee Action (DPA)",8,0,0
650849,367884,2014-05-28,"House Rules Committee Action (C&P)",7,0,0
650850,367922,2014-05-28,"Senate Appropriations Committee Action (DP)",8,0,1
650850,367923,2014-05-28,"Senate - COW Motion to Amend",12,15,3
650850,368298,2014-05-29,"Senate - Third Reading",29,1,0
650850,368299,2014-05-29,"House - Third Reading",60,0,0
650851,367941,2014-05-28,"House Appropriations Committee Action (DP)",11,0,0
650851,367942,2014-05-28,"House Rules Committee Action (C&P)",7,0,0
