bill_id,roll_call_id,date,description,yea,nay,nv
662084,386360,2015-01-27,"Senate Appropriations Committee Action (DP)",8,0,0
662084,391604,2015-02-09,"Senate - Third Reading",28,1,1
662084,404495,2015-03-04,"House Appropriations Committee Action (DP)",11,0,0
662084,413565,2015-03-19,"House Rules Committee Action (C&P)",7,0,0
662084,415608,2015-03-24,"House - Third Reading",57,0,3
662211,385230,2015-01-22,"House Ways and Means Committee Action (DP)",8,0,0
662211,388309,2015-02-02,"House Rules Committee Action (C&P)",9,0,0
662211,390147,2015-02-05,"House - COW Motion to Amend",24,30,6
662211,391858,2015-02-09,"House - Third Reading",38,21,1
662211,404112,2015-03-04,"Senate Finance Committee Action (DP)",3,2,0
662211,415243,2015-03-24,"Senate - Third Reading",18,10,2
662339,384969,2015-01-21,"Senate Public Safety, Military and Technology Committee Action (DP)",5,0,1
662339,387649,2015-01-29,"Senate - Third Reading",28,0,2
662339,401909,2015-02-26,"House Military Affairs and Public Safety Committee Action (DP)",8,1,0
662339,413226,2015-03-19,"House Rules Committee Action (C&P)",7,0,0
662339,415768,2015-03-24,"House - Third Reading",42,16,2
662871,386570,2015-01-28,"House Judiciary Committee Action (DP)",6,0,0
664929,397254,2015-02-18,"House Commerce Committee Action (DPA/SE)",5,3,0
664929,399543,2015-02-23,"House Rules Committee Action (C&P)",6,1,0
664962,389348,2015-02-04,"House Commerce Committee Action (DPA/SE)",8,0,0
664962,391751,2015-02-09,"House Rules Committee Action (C&P)",9,0,0
664962,395604,2015-02-16,"House - Third Reading",57,0,3
664962,401124,2015-02-25,"Senate Government Institutions Committee Action (DP)",7,0,0
664962,415426,2015-03-24,"Senate - Third Reading",28,0,2
664962,424111,2015-03-30,"House - Third Reading",52,8,0
665821,396511,2015-02-17,"House Rural and Economic Development Committee Action (DPA/SE)",5,2,0
665855,386195,2015-01-26,"House County and Municipal Affairs Committee Action (DP)",8,0,0
665855,388306,2015-02-02,"House Rules Committee Action (C&P)",9,0,0
665855,391749,2015-02-09,"House - Third Reading",59,0,1
665855,401792,2015-02-26,"Senate Judiciary Committee Action (DP)",7,0,0
665855,410208,2015-03-12,"Senate - Third Reading",28,0,2
665887,398379,2015-02-19,"House Government and Higher Education Committee Action (DPA/SE)",6,3,0
665887,400937,2015-02-25,"House Rules Committee Action (C&P)",7,0,0
665887,407774,2015-03-09,"House - Third Reading",32,27,1
665887,412691,2015-03-18,"Senate Public Safety, Military and Technology Committee Action (DP)",6,0,0
665887,423879,2015-03-30,"Senate - Third Reading",26,3,1
665922,396518,2015-02-17,"House Rural and Economic Development Committee Action (DPA/SE)",6,1,0
665922,400787,2015-02-25,"House Rules Committee Action (C&P)",7,0,0
665922,404240,2015-03-04,"House - Third Reading",47,12,1
665922,409401,2015-03-11,"Senate Government Institutions Committee Action (DP)",7,0,0
665922,414568,2015-03-23,"Senate - Third Reading",23,5,2
666718,395562,2015-02-16,"Senate Water and Energy Committee Action (DPA/SE)",7,0,0
