bill_id,sponsor_id
796120,4230
796120,4233
796120,4236
796120,10680
796120,10686
796120,14703
796121,4228
796121,4232
796121,4234
796121,4262
796121,4263
796121,4275
796121,4287
796121,10706
796121,10708
796121,10711
796121,15260
796122,4230
796122,4233
796122,4236
796122,10680
796122,10686
796122,14703
796123,4228
796123,4232
796123,4234
796123,4262
796123,4263
796123,4275
796123,4287
796123,10687
796123,10706
796123,10708
796123,10711
796123,15260
796123,16058
796124,4228
796124,4232
796124,4234
796124,4262
796124,4263
796124,4275
796124,4287
796124,10687
796124,10706
796124,10708
796124,10711
796124,15260
796124,16058
796125,4230
796125,4233
796125,4236
796125,10680
796125,10686
796125,14703
