sponsor_id,name
1493,"Anthony Adams"
1494,"Tom Ammiano"
1495,"Joel Anderson"
1496,"Juan Arambula"
1497,"Karen Bass"
1498,"Jim Beall"
1499,"Bill Berryhill"
1500,"Tom Berryhill"
1501,"Sam Blakeslee"
1502,"Marty Block"
1503,"Robert Blumenfield"
1504,"Steven Bradford"
1505,"Julia Brownley"
1506,"Joan Buchanan"
1507,"Anna Caballero"
1508,"Charles Calderon"
1509,"Wilmer Carter"
1510,"Wesley Chesbro"
1511,"Connie Conway"
1512,"Paul Cook"
1513,"Joe Coto"
1514,"Mike Davis"
1515,"Hector De La Torre"
1516,"Kevin de Leon"
1517,"Chuck de Vore"
1518,"Bill Emmerson"
1519,"Mike Eng"
1520,"Noreen Evans"
1521,"Mike Feuer"
1522,"Nathan Fletcher"
1523,"Paul Fong"
1524,"Felipe Fuentes"
1525,"Jean Fuller"
1526,"Warren Furutani"
1527,"Ted Gaines"
1528,"Cathleen Galgiani"
1529,"Martin Garrick"
1530,"Danny Gilmore"
1531,"Curt Hagman"
1532,"Isadore Hall"
1533,"Diane Harkey"
1534,"Mary Hayashi"
1535,"Edward Hernandez"
1536,"Jerry Hill"
1537,"Alyson Huber"
1538,"Jared Huffman"
1539,"Kevin Jeffries"
1540,"Dave Jones"
1541,"Steve Knight"
1542,"Ted Lieu"
1543,"Dan Logue"
1544,"Bonnie Lowenthal"
1545,"Fiona Ma"
1546,"Tony Mendoza"
1547,"Jeff Miller"
1548,"William Monning"
1549,"Pedro Nava"
1550,"Brian Nestande"
1551,"Roger Niello"
1552,"Jim Nielsen"
1553,"Chris Norby"
1554,"John Perez"
1555,"Manuel Perez"
1556,"Anthony Portantino"
1557,"Ira Ruskin"
1558,"Mary Salas"
1559,"Lori Saldana"
1560,"Jim Silva"
1561,"Nancy Skinner"
1562,"Cameron Smyth"
1563,"Jose Solorio"
1564,"Audra Strickland"
1565,"Sandre Swanson"
1566,"Tom Torlakson"
1567,"Norma Torres"
1568,"Alberto Torrico"
1569,"Van Tran"
1570,"Michael Villines"
1571,"Mariko Yamada"
1572,"Samuel Aanestad"
1573,"Elaine Alquist"
1574,"Roy Ashburn"
1575,"Ronald Calderon"
1576,"Gilbert Cedillo"
1577,"Dave Cogdill"
1578,"Ellen Corbett"
1579,"Lou Correa"
1580,"Dave Cox"
1581,"Jeff Denham"
1582,"Mark DeSaulnier"
1583,"Denise Ducheny"
1584,"Robert Dutton"
1585,"Dean Florez"
1586,"Tom Harman"
1587,"Dennis Hollingsworth"
1588,"Robert Huff"
1589,"Christine Kehoe"
1590,"Mark Leno"
1591,"Carol Liu"
1592,"Alan Lowenthal"
1593,"Abel Maldonado"
1594,"Gloria McLeod"
1595,"Jenny Oropeza"
1596,"Alex Padilla"
1597,"Fran Pavley"
1598,"Curren Price"
1599,"Gloria Romero"
1600,"George Runner"
1601,"Joseph Simitian"
1602,"Darrell Steinberg"
1603,"Tony Strickland"
1604,"Mimi Walters"
1605,"Patricia Wiggins"
1606,"Lois Wolk"
1607,"Roderick Wright"
1608,"Mark Wyland"
1609,"Leland Yee"
1610,"Loni Hancock"
1611,"John Benoit"
1612,"Paul Krekorian"
1613,"Michael Duvall"
9547,"Mike Gatto"
