bill_id,roll_call_id,date,description,yea,nay,nv
59869,5836,2009-03-18,"Do pass",7,3,1
59869,5837,2009-04-13,"AB1 MONNING  Assembly Third Reading",51,28,1
59869,5838,2009-06-17,"Do pass",8,1,0
59869,5839,2009-08-24,"Assembly 3rd Reading AB1 Monning By Hancock",26,13,1
59870,5826,2009-04-28,"Do pass and be re-referred to the Committee on Appropriations",13,6,0
59870,5827,2009-05-28,"Do pass as amended",12,5,0
59870,5828,2009-06-03,"AB2 DE LA TORRE  Assembly Third Reading",45,26,9
59870,5829,2009-07-08,"Do pass, but re-refer to the Committee on Judiciary",6,4,1
59870,5830,2009-07-14,"Do pass as amended, and re-refer to the Committee on Appropriations",3,2,0
59870,5831,2009-08-17,"Placed on Appropriations Suspense file",13,0,0
59870,5832,2009-08-27,"Do pass",7,4,2
59870,5833,2009-09-08,"Assembly 3rd Reading AB2 De La Torre By Florez",24,13,3
59870,5834,2009-09-10,"AB2 DE LA TORRE  Concurrence in Senate Amendments",49,26,5
59871,5817,2009-04-20,"Be referred to Committee on Labor and Employment",10,0,1
59871,5818,2009-04-22,"Do pass and be re-referred to the Committee on Appropriations",5,2,0
59871,5819,2009-05-28,"Do pass as amended",12,0,5
59871,5820,2009-06-03,"AB3 PEREZ, V.M.  Assembly Third Reading",52,25,3
59871,5821,2009-07-08,"Do pass, but re-refer to the Committee on Appropriations",4,2,0
59871,5822,2009-08-17,"Placed on Appropriations Suspense file",13,0,0
59871,5823,2009-08-27,"Do pass as amended",8,5,0
59871,5824,2009-09-09,"Assembly 3rd Reading AB3 V. Manuel Perez By Price",26,12,2
59871,5825,2009-09-10,"AB3 PEREZ, V.M.  Concurrence in Senate Amendments",55,23,2
59873,25876,2009-03-03,"Do pass, to Consent Calendar",10,0,0
59873,25877,2009-03-12,"AB 5 EVANS  Consent Calendar Second Day",74,0,0
59873,25878,2009-06-09,"Do pass and be placed on the Consent Calendar",5,0,0
59873,25879,2009-06-15,"Consent Calendar 2nd AB5 Evans",36,0,4
59874,5812,2009-04-21,"Do pass as amended and be re-referred to the Committee on Appropriations",5,2,0
59874,5813,2009-05-13,"Do pass",11,5,0
59874,5814,2009-05-28,"AB6 SALDANA  Assembly Third Reading",49,28,3
59874,5815,2009-07-07,"Do pass, but re-refer to the Committee on Appropriations",3,2,0
59874,5816,2009-08-31,"Assembly 3rd Reading AB6 Saldana By Corbett",21,15,4
59875,4043,2009-04-30,"Do pass as amended and be re-referred to the Committee on Appropriations",6,0,1
59875,4044,2009-05-20,"Do pass",12,2,2
59875,4045,2009-06-02,"AB7 KREKORIAN  Assembly Third Reading",61,15,4
59875,4046,2009-07-07,"Do pass as amended, and re-refer to the Committee on Appropriations",3,2,0
59875,4047,2010-05-05,"Do pass as amended",5,1,2
59876,5804,2009-04-01,"Do pass and re-refer to Committee on Appropriations with recommendation:  To Consent Calendar",11,0,0
59876,5805,2009-05-28,"Do pass as amended",17,0,0
59876,5806,2009-06-02,"AB8 BROWNLEY  Assembly Third Reading",78,0,2
59876,5807,2009-07-15,"Do pass as amended, and re-refer to the Committee on Appropriations",8,0,1
59876,5808,2009-08-17,"Placed on Appropriations Suspense file",13,0,0
59876,5809,2009-08-27,"Do pass",10,3,0
59876,5810,2009-09-09,"Assembly 3rd Reading AB8 Brownley By Hancock",31,6,3
59876,5811,2009-09-10,"AB8 Brownley  Concurrence in Senate Amendments",79,0,1
59877,25322,2009-05-05,"Do pass",6,0,0
59877,25323,2009-05-18,"AB9 PEREZ, J.  Assembly Third Reading",72,3,0
59877,25324,2009-07-07,"Do pass, but re-refer to the Committee on Appropriations",5,0,0
