bill_number,bill_id,title
AB1,660996,"Drought: local governments: fines."
AB2,660960,"Community revitalization authority."
AB3,661065,"Isla Vista Community Services District."
AB4,661052,"Vehicle weight fees: transportation bond debt service."
AB5,661001,"Foster youth: transition from high school to postsecondary education."
AB6,661026,"Bonds: transportation: school facilities."
AB7,661043,"Public schools: Larry Itliong Day."
AB8,661003,"Emergency services: hit-and-run incidents."
AB9,661018,"Gambling: Internet poker: unlawful gambling activity."
AB10,660974,"Political Reform Act of 1974: economic interest disclosures."
AB11,661062,"Employment: paid sick days: in-home supportive services."
ABX11,786330,"Transportation funding."
ABX12,786563,"Transportation projects: comprehensive development lease agreements."
AB12,660975,"State government: administrative regulations: review."
ABX13,787111,"Transportation funding."
AB13,660979,"Public postsecondary education: community colleges: exemptions from nonresident tuition."
AB14,660995,"Unmanned aircraft: identification requirements."
ABX14,787110,"Transportation funding."
ABX15,787679,"Income taxes: credits: low-income housing: farmworker housing assistance."
AB15,660984,"Limitation of actions: human rights abuses."
AB16,661039,"Income taxes: credit: video games."
ABX16,787711,"Affordable Housing and Sustainable Communities Program."
AB17,660964,"Personal income taxes: credit: qualified tuition program."
ABX17,787690,"Public transit: funding."
AB18,660992,"Disaster relief: South Napa Earthquake."
ABX18,787683,"Diesel sales and use tax."
AB19,661012,"Governor's Office of Business and Economic Development: small business: regulations."
ABX19,789461,"Richmond-San Rafael Bridge."
AB20,661019,"Undocumented workers: California Agricultural Act."
ABX21,786964,"Developmental services: Medi-Cal: funding."
AB21,661063,"Medical marijuana: cultivation licenses."
ABX22,786963,"Medi-Cal and developmental services: funding: rates."
AB22,661059,"Office of Emergency Services: oil-by-rail spills: firefighters."
AB23,661064,"California Global Warming Solutions Act of 2006: market-based compliance mechanisms: exemption."
ABX23,787676,"Developmental services: provider rates: minimum wage."
AB24,661025,"Transportation network companies: public safety requirements."
ABX24,787672,"Managed care organization provider tax."
ABX25,787692,"Developmental services: regional center contracts."
AB25,660986,"Financial aid: Cal Grant program: renewal."
AB26,660998,"Medical cannabis."
ABX26,787695,"Electronic cigarettes."
AB27,661068,"Public postsecondary education: exemption from nonresident tuition."
ABX27,787708,"Smoking in the workplace."
AB28,661041,"Bicycle safety: rear lights."
ABX28,787688,"Tobacco products: minimum legal age."
AB29,661005,"Care facilities: missing minor residents."
ABX29,787710,"Tobacco use programs."
AB30,660989,"School or athletic team names: California Racial Mascots"
AB31,661031,"Members of the Legislature and Congress: domicile: voting fraud."
AB32,661029,"Computer crimes."
AB33,661020,"Electrical corporations: energy storage systems."
AB34,661008,"Medical cannabis."
AB35,660971,"Income taxes: credits: low-income housing: allocation increase."
AB36,661010,"Local government: federal surplus property."
AB37,661066,"Libraries: 3D printers."
AB38,661067,"Mental health: Early Diagnosis and Preventive Treatment"
AB39,660978,"Search warrants: electronic submission."
AB40,661034,"Toll bridges: pedestrians and bicycles."
AB41,661056,"Health care coverage: discrimination."
AB42,661028,"Public postsecondary education: funding and mandatory fees."
AB43,660966,"Personal income taxes: credit: earned income."
AB44,661024,"Elections: statewide recounts."
AB45,661032,"Household hazardous waste."
AB46,660985,"Controlled substances."
AB47,661058,"State preschool program."
AB48,660968,"Cigarettes: single-use filters."
AB49,660988,"Livestock drugs: antibiotics."
AB50,661022,"Medi-Cal: evidence-based home visiting programs."
AB51,661023,"Vehicles: motorcycles: lane splitting."
AB52,661007,"Public accommodations: construction-related accessibility claims."
AB53,660982,"Vehicles: child safety seats."
AB54,661036,"Disability access: construction-related accessibility claims: demand letters."
AB55,660965,"Arts Council: grants."
AB56,661346,"Unmanned aircraft systems."
AB57,661345,"Telecommunications: wireless telecommunication facilities."
AB58,661344,"School safety plans."
AB59,662535,"Mental health services: assisted outpatient treatment."
AB60,662763,"Immigration services."
AB61,663313,"Shuttle services: loading and unloading of passengers."
AB62,663304,"Charter-party carriers of passengers."
AB63,663726,"School safety programs: funding."
AB64,663596,"State employees: reinstatement after military service."
AB65,663744,"Local law enforcement: body-worn cameras: grant program."
AB66,663743,"Peace officers: body-worn cameras."
AB67,663742,"Double Pay on the Holiday Act of 2016."
AB68,664605,Medi-Cal.
AB69,664599,"Peace officers: body-worn cameras."
AB70,664597,"Emergency medical services: reporting."
AB71,664591,"Criminal justice: reporting."
AB72,664602,"Health care coverage: out-of-network coverage."
AB73,664607,"Patient Access to Prescribed Antiretroviral Drugs for"
AB74,666911,"Child care facilities: regulatory visits."
AB75,666912,Veterans.
AB76,666913,"Tribal gaming: regulatory costs."
AB77,666904,"Milk and Milk Products Act of 1947."
AB78,666903,"Groundwater basins."
AB79,666906,"State highway routes: route numbers."
AB80,666901,"Interagency Task Force on the Status of Boys and Men of"
AB81,666909,"Hospitals: seismic safety."
AB82,667993,"Vehicles: driver's license: selective service."
AB83,667999,"Personal data."
AB84,667992,"Forensic testing: DNA samples."
AB85,667996,"Open meetings."
AB86,667995,"Peace officers: Department of Justice: independent investigation."
AB87,669577,"Jurors: peremptory challenge."
AB88,669257,"Sales and use taxes: exemption: energy or water efficient home appliances."
