sponsor_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district
1495,"Joel Anderson",Joel,,Anderson,,,2,R,2,Sen,SD-038
1496,"Juan Arambula",Juan,,Arambula,,,1,D,1,Rep,HD-031
1498,"Jim Beall",Jim,,Beall,Jr.,,1,D,2,Sen,SD-015
1500,"Tom Berryhill",Tom,,Berryhill,,,2,R,2,Sen,SD-008
1502,"Marty Block",Marty,,Block,,,1,D,2,Sen,SD-039
1516,"Kevin de Leon",Kevin,,"de Leon",,,1,D,2,Sen,SD-024
1525,"Jean Fuller",Jean,,Fuller,,,2,R,2,Sen,SD-016
1527,"Ted Gaines",Ted,,Gaines,,,2,R,2,Sen,SD-001
1528,"Cathleen Galgiani",Cathleen,,Galgiani,,,1,D,2,Sen,SD-005
1532,"Isadore Hall",Isadore,,Hall,III,,1,D,2,Sen,HD-064
1535,"Edward Hernandez",Edward,P.,Hernandez,,,1,D,2,Sen,SD-022
1536,"Jerry Hill",Jerry,A.,Hill,,,1,D,2,Sen,SD-013
1541,"Steve Knight",Steve,,Knight,,,2,R,2,Sen,SD-021
1546,"Tony Mendoza",Tony,,Mendoza,,,1,D,2,Sen,SD-032
1548,"William Monning",William,W.,Monning,,Bill,1,D,2,Sen,SD-017
1552,"Jim Nielsen",Jim,,Nielsen,,,2,R,2,Sen,SD-004
1582,"Mark DeSaulnier",Mark,,DeSaulnier,,,1,D,2,Sen,SD-007
1588,"Robert Huff",Robert,,Huff,,Bob,2,R,2,Sen,SD-029
1590,"Mark Leno",Mark,,Leno,,,1,D,2,Sen,SD-011
1591,"Carol Liu",Carol,J.,Liu,,,1,D,2,Sen,SD-025
1597,"Fran Pavley",Fran,,Pavley,,,1,D,2,Sen,SD-027
1604,"Mimi Walters",Mimi,,Walters,,,2,R,2,Sen,SD-037
1606,"Lois Wolk",Lois,,Wolk,,,1,D,2,Sen,SD-003
1610,"Loni Hancock",Loni,,Hancock,,,1,D,2,Sen,SD-009
9547,"Mike Gatto",Mike,,Gatto,,,1,D,1,Rep,HD-043
10957,"Luis Alejo",Luis,A.,Alejo,,,1,D,1,Rep,HD-030
