roll_call_id,sponsor_id,vote
215796,3264,1
215796,3277,2
215796,3287,2
215796,3295,1
215796,3296,1
215796,3319,1
215796,3328,1
215796,3333,1
215796,3335,1
215796,3343,1
215796,3346,1
215796,10793,2
215796,10796,2
215797,3263,3
215797,3273,3
215797,3292,3
215797,3313,3
215797,3317,3
215797,3322,3
215797,3331,3
215797,10795,3
215797,10797,3
215798,3263,1
215798,3273,1
215798,3292,1
215798,3313,1
215798,3317,1
215798,3322,1
215798,3331,1
215798,10795,1
215798,10797,1
215799,3264,2
215799,3277,1
215799,3287,1
215799,3295,2
215799,3296,1
215799,3319,2
215799,3328,1
215799,3333,1
215799,3335,1
215799,3343,1
215799,3346,2
215799,10793,1
215799,10796,1
215800,3264,1
215800,3277,1
215800,3287,2
215800,3295,1
215800,3296,1
215800,3319,1
215800,3328,1
215800,3333,1
215800,3335,1
215800,3343,2
215800,3346,1
215800,10793,2
215800,10796,1
215801,3263,3
215801,3273,3
215801,3292,3
215801,3313,3
215801,3317,3
215801,3322,3
215801,3331,3
215801,10795,3
215801,10797,3
215802,3263,2
215802,3273,2
215802,3292,2
215802,3313,1
215802,3317,1
215802,3322,2
215802,3331,1
215802,10795,1
215802,10797,1
215803,3264,1
215803,3277,1
215803,3287,1
215803,3295,1
215803,3296,1
215803,3319,1
215803,3328,1
215803,3333,1
215803,3335,1
215803,3343,1
215803,3346,1
215803,10793,1
215803,10796,1
215804,3264,1
215804,3277,1
215804,3287,1
215804,3295,1
215804,3296,1
215804,3319,1
215804,3328,1
215804,3333,1
215804,3335,1
215804,3343,1
215804,3346,1
215804,10793,1
215804,10796,1
215805,3263,3
215805,3292,3
215805,3301,3
215805,3315,3
215805,3322,3
215805,11507,3
215806,3263,1
215806,3292,2
215806,3301,2
215806,3315,1
215806,3322,1
215806,11507,1
215807,3263,1
215807,3273,1
215807,3292,1
215807,3313,1
215807,3317,1
215807,3322,4
215807,3331,4
215807,10795,1
215807,10797,4
215808,3263,1
215808,3273,1
215808,3292,1
215808,3313,1
215808,3317,1
215808,3322,4
215808,3331,1
215808,10795,1
215808,10797,4
215809,3264,1
215809,3277,1
215809,3287,1
215809,3295,1
215809,3296,1
215809,3319,1
215809,3328,1
215809,3333,1
215809,3335,4
215809,3343,1
215809,3346,1
215809,10793,1
215809,10796,1
215813,3264,1
215813,3277,1
215813,3287,2
215813,3295,1
215813,3296,1
215813,3319,1
215813,3328,2
215813,3333,2
215813,3335,1
215813,3343,2
215813,3346,1
215813,10793,1
215813,10796,2
215814,3264,1
215814,3277,1
215814,3287,2
215814,3295,1
215814,3296,1
215814,3319,1
215814,3328,2
215814,3333,2
215814,3335,1
215814,3343,2
215814,3346,1
215814,10793,1
215814,10796,2
215815,3263,2
215815,3273,2
215815,3292,2
215815,3313,2
215815,3317,2
215815,3322,2
215815,3331,2
215815,10795,2
215815,10797,2
215816,3263,1
215816,3273,1
215816,3292,1
215816,3313,1
215816,3317,1
215816,3322,1
215816,3331,1
215816,10795,1
215816,10797,1
216013,3263,3
216013,3273,3
216013,3292,3
216013,3313,1
216013,3317,3
216013,3322,3
216013,3331,3
216013,10795,3
216013,10797,3
216014,3263,3
216014,3273,3
216014,3292,3
216014,3313,3
216014,3317,3
216014,3322,3
216014,3331,3
216014,10795,3
216014,10797,3
216015,3263,3
216015,3273,3
216015,3292,3
216015,3313,3
216015,3317,3
216015,3322,3
216015,3331,3
216015,10795,3
216015,10797,3
225246,3254,1
225246,3284,1
225246,3317,1
225246,3337,1
225246,10782,1
232561,3254,3
232561,3284,3
232561,3317,3
232561,3337,3
232561,10782,3
236144,3309,1
236144,3319,1
236144,10781,1
236144,10788,1
236144,11368,1
236144,11608,1
236144,14270,1
236144,14278,1
236144,14280,1
236144,15133,1
236144,15134,1
293549,3254,1
293549,3284,1
293549,3317,1
293549,3337,1
293549,10782,1
293550,3254,3
293550,3284,3
293550,3317,3
293550,3337,3
293550,10782,3
293551,3309,1
293551,3319,1
293551,10781,1
293551,10788,1
293551,11368,1
293551,11608,1
293551,14270,1
293551,14278,1
293551,14280,1
293551,15133,1
293551,15134,1
224112,3266,1
224112,3283,1
224112,3312,1
224112,3317,1
224112,3340,1
224112,3341,1
224112,3344,1
224112,14288,1
224112,14293,1
238278,3291,1
238278,3301,1
238278,3323,1
238278,3338,1
238278,10783,1
238278,10788,1
238278,11368,1
238278,11607,1
238278,13710,1
238278,14264,2
238278,14271,2
238278,14279,1
238278,15154,1
293203,3266,1
293203,3283,1
293203,3312,1
293203,3317,1
293203,3340,1
293203,3341,1
293203,3344,1
293203,14288,1
293203,14293,1
293204,3291,1
293204,3301,1
293204,3323,1
293204,3338,1
293204,10783,1
293204,10788,1
293204,11368,1
293204,11607,1
293204,13710,1
293204,14264,2
293204,14271,2
293204,14279,1
293204,15154,1
226903,3283,1
226903,3331,1
226903,10776,1
226903,10797,1
226903,14808,1
250178,3309,1
250178,3316,2
250178,10778,1
250178,10781,1
250178,14263,1
250178,14265,1
250178,14269,1
250178,14275,1
250178,14277,1
250178,14282,1
250178,15134,1
293649,3283,1
293649,3331,1
293649,10776,1
293649,10797,1
293649,14808,1
293650,3309,1
293650,3316,2
293650,10778,1
293650,10781,1
293650,14263,1
293650,14265,1
293650,14269,1
293650,14275,1
293650,14277,1
293650,14282,1
293650,15134,1
222675,3266,1
222675,3340,1
222675,10782,1
222675,10795,4
222675,14288,1
238639,3275,1
238639,3301,1
238639,3316,1
238639,3319,1
238639,3323,1
238639,3326,1
238639,3351,4
238639,10779,1
238639,10783,1
238639,10793,1
238639,14265,4
238639,14275,1
238639,14281,1
293494,3266,1
293494,3340,1
293494,10782,1
293494,10795,4
293494,14288,1
293495,3275,1
293495,3301,1
293495,3316,1
293495,3319,1
293495,3323,1
293495,3326,1
293495,3351,4
293495,10779,1
293495,10783,1
293495,10793,1
293495,14265,4
293495,14275,1
293495,14281,1
225278,3283,1
225278,3331,1
225278,10776,1
225278,10797,1
225278,14808,1
226945,3283,3
226945,3331,3
226945,10776,3
226945,10797,3
226945,14808,3
243184,3309,1
243184,3316,1
243184,10778,2
243184,10781,1
243184,14263,2
243184,14265,1
243184,14269,2
243184,14275,1
243184,14277,1
243184,14282,1
243184,15134,2
293681,3283,3
293681,3331,3
293681,10776,3
293681,10797,3
293681,14808,3
293682,3283,1
293682,3331,1
293682,10776,1
293682,10797,1
293682,14808,1
293683,3309,1
293683,3316,1
293683,10778,2
293683,10781,1
293683,14263,2
293683,14265,1
293683,14269,2
293683,14275,1
293683,14277,1
293683,14282,1
293683,15134,2
235516,3308,1
235516,3312,1
235516,3317,1
235516,3337,1
235516,10776,1
235517,3308,3
235517,3312,3
235517,3317,3
235517,3337,3
235517,10776,3
251799,3249,2
251799,3291,1
251799,3303,1
251799,3339,1
251799,10773,1
251799,10778,1
251799,10780,1
251799,14264,2
251799,14270,1
251799,14272,1
251799,14276,1
251799,14277,1
251799,14807,1
254465,3249,1
254465,3291,1
254465,3303,1
254465,3339,1
254465,10773,2
254465,10778,2
254465,10780,1
254465,14264,1
254465,14270,1
254465,14272,1
254465,14276,1
254465,14277,1
254465,14807,1
254466,3249,3
254466,3291,3
254466,3303,4
254466,3339,3
254466,10773,3
254466,10778,3
254466,10780,3
254466,14264,3
254466,14270,3
254466,14272,3
254466,14276,3
254466,14277,3
254466,14807,3
254467,3249,1
254467,3291,2
254467,3303,2
254467,3339,2
254467,10773,2
254467,10778,2
254467,10780,1
254467,14264,1
254467,14270,2
254467,14272,2
254467,14276,2
254467,14277,2
254467,14807,2
293817,3308,1
293817,3312,1
293817,3317,1
293817,3337,1
293817,10776,1
293818,3308,3
293818,3312,3
293818,3317,3
293818,3337,3
293818,10776,3
293819,3249,2
293819,3291,1
293819,3303,1
293819,3339,1
293819,10773,1
293819,10778,1
293819,10780,1
293819,14264,2
293819,14270,1
293819,14272,1
293819,14276,1
293819,14277,1
293819,14807,1
293820,3249,1
293820,3291,1
293820,3303,1
293820,3339,1
293820,10773,2
293820,10778,2
293820,10780,1
293820,14264,1
293820,14270,1
293820,14272,1
293820,14276,1
293820,14277,1
293820,14807,1
293821,3249,3
293821,3291,3
293821,3303,4
293821,3339,3
293821,10773,3
293821,10778,3
293821,10780,3
293821,14264,3
293821,14270,3
293821,14272,3
293821,14276,3
293821,14277,3
293821,14807,3
293822,3249,1
293822,3291,2
293822,3303,2
293822,3339,2
293822,10773,2
293822,10778,2
293822,10780,1
293822,14264,1
293822,14270,2
293822,14272,2
293822,14276,2
293822,14277,2
293822,14807,2
224142,3251,1
224142,3285,2
224142,3286,1
224142,3348,2
224142,10787,1
224142,11508,1
224142,14808,1
227705,3251,3
227705,3285,3
227705,3286,3
227705,3348,3
227705,10787,3
227705,11508,3
227705,14808,3
232686,3263,3
232686,3292,3
232686,3317,3
232686,3322,3
232686,3331,3
232686,3344,3
232686,14295,3
232687,3263,3
232687,3292,3
232687,3317,3
232687,3322,3
232687,3331,3
232687,3344,3
232687,14295,3
232688,3263,1
232688,3292,1
232688,3317,1
232688,3322,2
232688,3331,2
232688,3344,2
232688,14295,1
245008,3249,1
245008,3260,1
245008,3293,1
245008,3303,1
245008,3336,1
245008,3351,1
245008,10779,2
245008,10783,2
245008,11507,1
245008,13710,1
245008,13847,1
245008,14264,2
245008,14271,2
252564,3275,1
252564,3301,1
252564,3316,1
252564,3319,2
252564,3323,4
252564,3326,1
252564,3351,1
252564,10779,2
252564,10783,2
252564,10793,1
252564,14265,1
252564,14275,1
252564,14281,2
256963,3249,3
256963,3260,3
256963,3293,3
256963,3303,3
256963,3336,3
256963,3351,3
256963,10779,3
256963,10783,3
256963,11507,3
256963,13710,3
256963,13847,3
256963,14264,3
256963,14271,3
269105,3249,1
269105,3295,2
269105,3316,1
269105,3319,2
269105,3333,2
269105,3335,1
269105,3343,2
269105,10777,1
269105,10793,1
269105,11368,1
269105,13710,1
269105,13847,1
269105,14263,2
269106,3249,3
269106,3295,3
269106,3316,3
269106,3319,3
269106,3333,3
269106,3335,3
269106,3343,3
269106,10777,3
269106,10793,3
269106,11368,3
269106,13710,3
269106,13847,3
269106,14263,3
294021,3251,3
294021,3285,3
294021,3286,3
294021,3348,3
294021,10787,3
294021,11508,3
294021,14808,3
294022,3251,1
294022,3285,2
294022,3286,1
294022,3348,2
294022,10787,1
294022,11508,1
294022,14808,1
294023,3263,3
294023,3292,3
294023,3317,3
294023,3322,3
294023,3331,3
294023,3344,3
294023,14295,3
294024,3263,3
294024,3292,3
294024,3317,3
294024,3322,3
294024,3331,3
294024,3344,3
