bill_id,roll_call_id,date,description,yea,nay,nv
668828,391247,2015-02-03,"FINAL VOTE - Refer House Bill 15-1018, as amended, to the Committee on Public Health Care and Human Services",7,6,0
668828,398620,2015-02-20,"FINAL VOTE - Refer House Bill 15-1018, as amended, to the Committee on Appropriations",9,4,0
668828,401116,2015-02-20,"FINAL VOTE - Adopt amendment L.005 (Attachment B)",0,0,13
668828,401117,2015-02-20,"FINAL VOTE - Adopt amendment L.006 (Attachment C)",0,0,13
668828,403617,2015-02-03,"FINAL VOTE - Adopt amendment L.001 (Attachment E)",0,0,13
668828,403618,2015-02-03,"FINAL VOTE - Adopt amendment L.003 (Attachment G), as amended",6,7,0
668828,403619,2015-02-03,"FINAL VOTE - Adopt amendment L.002 (Attachment F)",0,0,13
668828,403620,2015-02-03,"FINAL VOTE - Amendment L.003, Page 1, line 1, strike ""3 and substitute: and substitute ""3."". Page 1, strike lines 2 through 4 ",9,4,0
668828,429461,2015-04-10,"FINAL VOTE - Refer House Bill 15-1018, as amended, to the Committee of the Whole",7,6,0
668828,429462,2015-04-10,"FINAL VOTE - Adopt amendment J.001 The motion passed without objection.",0,0,13
668828,434880,2015-04-20,"FINAL VOTE - Postpone House Bill 15-1018 indefinitely using a reversal of the previous roll call. There was no objection to the use of the reverse roll call, therefore, the bill was postponed indefinitely",3,2,0
668828,441895,2015-04-20,"FINAL VOTE - Postpone House Bill 15-1018 indefinitely using a reversal of the previous roll call. There was no objection to the use of the reverse roll call, therefore, the bill was postponed indefinitely",3,2,0
668828,444952,2015-04-20,"FINAL VOTE - Refer House Bill 15-1018 to the Committee on Appropriations",2,3,0
668829,386964,2015-01-26,"FINAL VOTE - Refer Senate Bill 15-007 to the Committee on Appropriations",4,1,0
668829,388199,2015-01-26,"FINAL VOTE - Refer Senate Bill 15-007 to the Committee on Appropriations",4,1,0
668829,429451,2015-04-10,"FINAL VOTE - Postpone Senate Bill 15-007 indefinitely",7,0,0
668831,391837,2015-02-09,"FINAL VOTE - Adopt amendment L.004 (Attachment C)",8,3,0
668831,391838,2015-02-09,"FINAL VOTE - Postpone House Bill 15-1040 indefinitely",6,5,0
668831,391839,2015-02-09,"FINAL VOTE - Refer House Bill 15-1040, as amended, to the Committee on Finance",5,6,0
668831,391840,2015-02-09,"FINAL VOTE - Adopt amendment L.005 (Attachment D)",8,3,0
668832,384675,2015-01-20,"FINAL VOTE - Refer Senate Bill 15-041 to the Committee of the Whole with a recommendation that it be placed on the consent calendar",7,0,0
668832,391530,2015-01-20,"FINAL VOTE - Refer Senate Bill 15-041 to the Committee of the Whole with a recommendation that it be placed on the consent calendar",7,0,0
668832,393977,2015-02-12,"FINAL VOTE - Refer Senate Bill 15-041 to the Committee of the Whole",11,0,0
668834,385356,2015-01-22,"FINAL VOTE - Refer Senate Bill 15-012, as amended, to the Committee on Finance The motion passed on a vote of 3-2.",3,2,0
668834,385357,2015-01-22,"FINAL VOTE - Adopt amendment L.001 The motion passed without objection.",0,0,5
668834,388582,2015-01-22,"FINAL VOTE - Refer Senate Bill 15-012, as amended, to the Committee on Finance The motion passed on a vote of 3-2.",3,2,0
668834,388583,2015-01-22,"FINAL VOTE - Adopt amendment L.001 The motion passed without objection.",0,0,5
668834,392487,2015-02-10,"FINAL VOTE - Refer Senate Bill 15-012, as amended, to the Committee on Appropriations",5,0,0
668834,394626,2015-02-10,"FINAL VOTE - Adopt amendment L.002 (Attachment F)",0,0,5
668834,429589,2015-04-10,"FINAL VOTE - Adopt amendment J.001 The motion passed without objection.",0,0,7
668834,429590,2015-04-10,"FINAL VOTE - Refer Senate Bill 15-012, as amended, to the Committee of the Whole. Includes J001 The motion passed on a vote of 4-3.",4,3,0
668834,438824,2015-04-24,"FINAL VOTE - Refer Senate Bill 15-012 to the Committee on Appropriations",11,2,0
668834,442025,2015-04-24,"FINAL VOTE - Refer Senate Bill 15-012 to the Committee on Appropriations",11,2,0
668834,443566,2015-05-01,"FINAL VOTE - Refer sb 12, as amended, to the Committee of the Whole",7,6,0
668834,443567,2015-05-01,"FINAL VOTE - Adopt amendment J3 The motion passed without objection.",0,0,13
668835,400936,2015-02-25,"FINAL VOTE - Refer House Bill 15-1016, as amended, to the Committee on Appropriations",10,2,0
668835,404773,2015-02-25,"FINAL VOTE - Adopt amendment L.004",0,0,12
668835,404774,2015-02-25,"FINAL VOTE - Adopt amendment L.005. The amendment was ruled as a settled question.",0,0,12
668835,404775,2015-02-25,"FINAL VOTE - Adopt amendment L.002",0,0,12
668835,407057,2015-03-02,"FINAL VOTE - Refer House Bill 15-1016, as amended, to the Committee on Finance",9,3,0
668835,407058,2015-03-02,"FINAL VOTE - Reconsider the motion to refer House Bill 15-1016 to the committee on Appropriations, as amended",12,0,0
668835,413450,2015-03-19,"FINAL VOTE - Refer House Bill 15-1016, as amended, to the Committee on Appropriations",10,0,0
668835,414034,2015-03-19,"FINAL VOTE - Adopt amendment L.008 (Attachment C)",0,0,11
668835,426033,2015-04-02,"FINAL VOTE - Adopt amendment J.001 The motion passed without objection.",0,0,13
668835,426034,2015-04-02,"FINAL VOTE - Refer House Bill 15-1016, as amended, to the Committee of the Whole",12,1,0
668835,433752,2015-04-16,"FINAL VOTE - Adopt amendment L.009",0,0,9
668835,433753,2015-04-16,"FINAL VOTE - Refer House Bill 15-1016, as amended, to the Committee on Appropriations",9,0,0
668835,438751,2015-04-24,"FINAL VOTE - Refer House Bill 15-1016 to the Committee of the Whole. Consent calendar",7,0,0
668835,442548,2015-04-16,"FINAL VOTE - Adopt amendment L.009",0,0,9
668835,442549,2015-04-16,"FINAL VOTE - Refer House Bill 15-1016, as amended, to the Committee on Appropriations",9,0,0
668840,389521,2015-02-04,"FINAL VOTE - Refer House Bill 15-1046, as amended, to the Committee on Appropriations",10,3,0
668840,398322,2015-02-04,"FINAL VOTE - Adopt Amendment L.008 (Attachment G)",0,0,13
