sponsor_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district
3249,"Max Tyler",Max,,Tyler,,,1,D,1,Rep,HD-023
3251,"John Kefalas",John,,Kefalas,,,1,D,2,Sen,SD-014
3261,"Morgan Carroll",Morgan,L.,Carroll,,,1,D,2,Sen,SD-029
3263,"Mary Hodge",Mary,,Hodge,,,1,D,2,Sen,SD-025
3275,"Daniel Kagan",Daniel,,Kagan,,,1,D,1,Rep,HD-003
3280,"Suzanne Williams",Suzanne,S.,Williams,,,1,D,2,Sen,SD-028
3285,"Ellen Roberts",Ellen,,Roberts,,,2,R,2,Sen,SD-006
3286,"Linda Newell",Linda,M.,Newell,,,1,D,2,Sen,SD-026
3292,"Pat Steadman",Pat,,Steadman,,,1,D,2,Sen,SD-031
3293,"Elizabeth McCann",Elizabeth,H.,McCann,,Beth,1,D,1,Rep,HD-008
3296,"Andy Kerr",Andy,,Kerr,,,1,D,2,Sen,SD-022
3301,"Lois Court",Lois,,Court,,,1,D,1,Rep,HD-006
3303,"Dianne Primavera",Dianne,,Primavera,,,1,D,1,Rep,HD-033
3309,"Su Ryden",Su,,Ryden,,,1,D,1,Rep,HD-036
3311,"Michael Merrifield",Michael,,Merrifield,,,1,D,2,Sen,SD-011
3312,"Nancy Todd",Nancy,J.,Todd,,,1,D,2,Sen,SD-028
3314,"Edward Vigil",Edward,,Vigil,,,1,D,1,Rep,HD-062
3317,"Stratton Heath",Stratton,R.,Heath,Jr.,Rollie,1,D,2,Sen,SD-018
3319,"Brian DelGrosso",Brian,Mark,DelGrosso,,,2,R,1,Rep,HD-051
3322,"Kent Lambert",Kent,Douglas,Lambert,,,2,R,2,Sen,SD-009
3323,"Kevin Priola",Kevin,G.,Priola,,,2,R,1,Rep,HD-056
3327,"Bill Cadman",Bill,L.,Cadman,,,2,R,2,Sen,SD-012
3337,"Randy Baumgardner",Randy,L.,Baumgardner,,,2,R,2,Sen,SD-008
3340,"Michael Johnston",Michael,,Johnston,,,1,D,2,Sen,SD-033
3341,"Mark Scheffel",Mark,,Scheffel,,,2,R,2,Sen,SD-004
3343,"Jerry Sonnenberg",Jerry,,Sonnenberg,,,2,R,2,Sen,SD-001
3346,"Dickey Hullinghorst",Dickey,Lee,Hullinghorst,,,1,D,1,Rep,HD-010
3348,"Kevin Lundberg",Kevin,,Lundberg,,,2,R,2,Sen,SD-015
10773,"Donald Coram",Donald,Lee,Coram,,Don,2,R,1,Rep,HD-058
10776,"Matt Jones",Matt,,Jones,,,1,D,2,Sen,SD-017
10777,"Crisanta Duran",Crisanta,,Duran,,,1,D,1,Rep,HD-005
10778,"Ray Scott",Ray,,Scott,,,2,R,2,Sen,SD-007
10779,"Janak Joshi",Janak,,Joshi,,,2,R,1,Rep,HD-016
10780,"Sanford Lee",Sanford,E.,Lee,,Pete,1,D,1,Rep,HD-018
10781,"Angela Williams",Angela,,Williams,,,1,D,1,Rep,HD-007
10782,"Cheri Jahn",Cheri,E.,Jahn,,,1,D,2,Sen,SD-020
10783,"James Wilson",James,Demont,Wilson,,Jim,2,R,1,Rep,HD-060
10786,"Paul Brown","J. Paul",,Brown,,,2,R,1,Rep,HD-059
10788,"Chris Holbert",Chris,,Holbert,,,2,R,2,Sen,SD-030
10793,"Daniel Pabon",Daniel,R.,Pabon,,Dan,1,D,1,Rep,HD-004
10794,"Lucia Guzman",Lucia,,Guzman,,,1,D,2,Sen,SD-034
10795,"Kevin Grantham",Kevin,J.,Grantham,,,2,R,2,Sen,SD-002
10796,"Jon Becker",Jon,,Becker,,,2,R,1,Rep,HD-065
11368,"Millie Hamner",Millie,,Hamner,,,1,D,1,Rep,HD-061
11507,"Kathleen Conti",Kathleen,,Conti,,,2,R,1,Rep,HD-038
11508,"Irene Aguilar",Irene,,Aguilar,,,1,D,2,Sen,SD-032
11607,"Rhonda Fields",Rhonda,C.,Fields,,,1,D,1,Rep,HD-042
13709,"Timothy Neville",Timothy,P.,Neville,,Tim,2,R,2,Sen,SD-016
13710,"David Young",David,L.,Young,,Dave,1,D,1,Rep,HD-050
13847,"Jonathan Singer",Jonathan,Stuart,Singer,,,1,D,1,Rep,HD-011
14263,"Timothy Dore",Timothy,R.,Dore,,,2,R,1,Rep,HD-064
14264,"Justin Everett",Justin,,Everett,,,2,R,1,Rep,HD-022
14265,"Mike Foote",Mike,,Foote,,,1,D,1,Rep,HD-012
14266,"Leroy Garcia",Leroy,M.,Garcia,Jr.,,1,D,2,Sen,SD-003
14268,"Joann Ginal",Joann,,Ginal,,,1,D,1,Rep,HD-052
14269,"Stephen Humphrey",Stephen,A.,Humphrey,,,2,R,1,Rep,HD-048
14270,"Tracy Kraft-Tharp",Tracy,A.,Kraft-Tharp,,,1,D,1,Rep,HD-029
14271,"Lois Landgraf",Lois,,Landgraf,,,2,R,1,Rep,HD-021
14272,"Polly Lawrence",Polly,,Lawrence,,,2,R,1,Rep,HD-039
14273,"Steve Lebsock",Steve,,Lebsock,,,1,D,1,Rep,HD-034
14275,"Jovan Melton",Jovan,Emerson,Melton,,,1,D,1,Rep,HD-041
14276,"Diane Mitsch-Bush",Diane,E.,Mitsch-Bush,,,1,D,1,Rep,HD-026
14277,"Dominick Moreno",Dominick,,Moreno,,,1,D,1,Rep,HD-032
14278,"Clarice Navarro-ratzlaff",Clarice,,Navarro-ratzlaff,,,2,R,1,Rep,HD-047
14279,"Brittany Pettersen",Brittany,,Pettersen,,,1,D,1,Rep,HD-028
14280,"Paul Rosenthal",Paul,Bradley,Rosenthal,,,1,D,1,Rep,HD-009
14281,"Lori Saine",Lori,,Saine,,,2,R,1,Rep,HD-063
14282,"Joseph Salazar",Joseph,Anthony,Salazar,,,1,D,1,Rep,HD-031
14288,"Owen Hill",Owen,,Hill,,,2,R,2,Sen,SD-010
14293,"Vicki Marble",Vicki,,Marble,,,2,R,2,Sen,SD-023
14295,"Jessie Ulibarri",Jessie,M.,Ulibarri,,,1,D,2,Sen,SD-021
14807,"Perry Buck",Perry,Lynn,Buck,,,2,R,1,Rep,HD-049
14808,"Larry Crowder",Larry,W.,Crowder,,,2,R,2,Sen,SD-035
15134,"Daniel Nordberg",Daniel,Paul,Nordberg,,Dan,2,R,1,Rep,HD-014
15135,"Robert Rankin",Robert,E.,Rankin,,Bob,2,R,1,Rep,HD-057
15154,"John Buckner",John,W.,Buckner,,,1,D,1,Rep,HD-040
16509,"Paul Lundeen",Paul,Harold,Lundeen,,,2,R,1,Rep,HD-019
16510,"Laura Woods",Laura,J.,Woods,,,2,R,2,Sen,SD-019
16511,"KC Becker",KC,,Becker,,,1,D,1,Rep,HD-013
16512,"John Tate",John,A.,Tate,,Jack,2,R,2,Sen,SD-027
16513,"John Cooke",John,B.,Cooke,III,,2,R,2,Sen,SD-013
16567,"Jennifer Arndt",Jennifer,J.,Arndt,,,1,D,1,Rep,HD-053
16568,"Terri Carver",Terri,L.,Carver,,,2,R,1,Rep,HD-020
16569,"Kerry Donovan",Kerry,,Donovan,,,1,D,2,Sen,SD-005
16570,"Daneya Esgar",Daneya,,Esgar,,,1,D,1,Rep,HD-046
16571,"Jon Keyser",Jon,,Keyser,,,2,R,1,Rep,HD-025
16572,"Gordon Klingenschmitt",Gordon,James,Klingenschmitt,,,2,R,1,Rep,HD-015
16573,"Susan Lontine",Susan,,Lontine,,,1,D,1,Rep,HD-001
16574,"Beth Humenik",Beth,Martinez,Humenik,,,2,R,2,Sen,SD-024
16575,"Patrick Neville",Patrick,,Neville,,,2,R,1,Rep,HD-045
16576,"Kim Ransom",Kim,,Ransom,,,2,R,1,Rep,HD-044
16577,"Daniel Thurlow",Daniel,R.,Thurlow,,,2,R,1,Rep,HD-055
16578,"Kevin Van winkle",Kevin,,"Van winkle",,,2,R,1,Rep,HD-043
16579,"Yeulin Willett",Yeulin,,Willett,,,2,R,1,Rep,HD-054
16580,"Joann Windholz",Joann,,Windholz,,,2,R,1,Rep,HD-030
16581,"Faith Winter",Faith,,Winter,,,1,D,1,Rep,HD-035
16582,"Alec Garnett",Alec,,Garnett,,,1,D,1,Rep,HD-002
16583,"Jessie Danielson",Jessie,,Danielson,,,1,D,1,Rep,HD-024
16585,"Catherine Roupe",Catherine,M.,Roupe,,Kit,2,R,1,Rep,HD-017
17558,"Langhorne Sias",Langhorne,C.,Sias,,Lang,2,R,1,Rep,
17835,"Cole Wist",Cole,,Wist,,,2,R,1,Rep,HD-037
17855,"Timothy Leonard",Timothy,,Leonard,,,2,R,1,Rep,HD-025
