bill_id,roll_call_id,date,description,yea,nay,nv
131326,105941,2010-04-30,"Senate Roll Call Vote 246 ADOPT SENATE AMD B LCO 3618",13,21,2
131326,105942,2010-04-30,"Senate Roll Call Vote 247 ADOPT SENATE AMD C LCO 4792",12,23,1
131326,105943,2010-04-30,"Senate Roll Call Vote 248 ADOPT SENATE AMD D LCO 4793",12,23,1
131326,105944,2010-04-30,"Senate Roll Call Vote 249 PASS AS AMENDED BY SEN A",21,14,1
131337,106514,2010-05-04,"Senate Roll Call Vote 298",35,0,1
131338,106559,2010-05-01,"Senate Roll Call Vote 271",32,0,4
131342,106827,2010-04-21,"Senate Roll Call Vote 160",35,0,1
131350,107245,2010-04-30,"Senate Roll Call Vote 250",35,0,1
131356,107563,2010-04-29,"Senate Roll Call Vote 224",35,0,1
131368,108269,2010-04-21,"Senate Roll Call Vote 122",35,0,1
131370,108376,2010-05-01,"Senate Roll Call Vote 266",32,0,4
131375,108637,2010-04-27,"Senate Roll Call Vote 194",35,0,1
131379,108846,2010-04-29,"Senate Roll Call Vote 239",33,0,3
131384,109094,2010-04-29,"Senate Roll Call Vote 240",33,0,3
131385,109157,2010-04-29,"Senate Roll Call Vote 232",33,0,3
131387,109277,2010-04-27,"Senate Roll Call Vote 187",35,0,1
131390,109434,2010-04-21,"Senate Roll Call Vote 116",35,0,1
131392,109543,2010-04-29,"Senate Roll Call Vote 225",35,0,1
131393,109610,2010-04-21,"Senate Roll Call Vote 159",35,0,1
131417,111214,2010-04-21,"Senate Roll Call Vote 100 ADOPT SENATE AMD A LCO 3461",12,22,2
131417,111215,2010-04-21,"Senate Roll Call Vote 101 PASS",23,12,1
131418,111285,2010-05-01,"Senate Roll Call Vote 272",32,0,4
131420,111443,2010-05-01,"Senate Roll Call Vote 261",32,0,4
131422,111544,2010-04-21,"Senate Roll Call Vote 132",35,0,1
131430,111994,2010-04-21,"Senate Roll Call Vote 133",35,0,1
131432,112114,2010-05-01,"Senate Roll Call Vote 258 PASS",28,2,6
131433,112215,2010-05-04,"Senate Roll Call Vote 301",35,0,1
131434,112295,2010-05-04,"Senate Roll Call Vote 302",35,0,1
131435,112359,2010-05-05,"Senate Roll Call Vote 355",35,0,1
131443,112893,2010-04-22,"Senate Roll Call Vote 179",35,0,1
131446,113036,2010-05-04,"Senate Roll Call Vote 328",35,0,1
131449,113198,2010-05-04,"Senate Roll Call Vote 289 ADOPT SENATE AMD B LCO 5418",34,0,2
131449,113199,2010-05-04,"Senate Roll Call Vote 290 PASS AS AMENDED BY SEN A,B",34,0,2
131449,113200,2010-06-21,"Senate Roll Call Vote 441 MOTION TO REPASS",36,0,0
