bill_number,bill_id,title
HB05001,835373,"An Act Appropriating Funds Necessary To Restore The Cap On Certain Probate Court Fees."
HB05002,835362,"An Act Concerning The Department Of Children And Families, Municipalities And Reimbursement For The Cost Of Educating Nonresident Students."
HB05003,835382,"An Act Authorizing Bonds Of The State For The Railroad Museum Of New England In The Town Of Thomaston."
HB05004,835375,"An Act Concerning The Double Taxation Of Consumer Goods."
HB05005,835378,"An Act Concerning The Taxation Of Social Security Income And The Elimination Of The Earned Income Tax Credit."
HB05006,835360,"An Act Eliminating The Personal Income Tax On Social Security Benefits."
HB05007,835364,"An Act Eliminating State Taxes That Cost More To Administer Than Is Gained In Revenue."
HB05008,835361,"An Act Repealing The Business Entity Tax."
HB05009,835387,"An Act Eliminating The Personal Income Tax On Pensions For Persons Sixty-seven Years Of Age Or Older."
HB05010,835393,"An Act Eliminating The Imposition Of Personal Income Taxation On Pension Benefit Income."
HB05011,835372,"An Act Phasing Out The Hospital And Ambulatory Surgical Center Taxes."
HB05012,835369,"An Act Establishing A Tax Credit For Businesses That Hire Recent High School Or College Graduates."
HB05013,835368,"An Act Establishing A Tax Credit For Businesses That Hire Unemployed Or Self-employed Persons."
HB05014,835359,"An Act Concerning Income Tax Deductions For Contributions To An Able Account."
HB05015,835377,"An Act Reducing The Tax Rate Applicable To Certain Jewelry And Clothing Sales."
HB05016,835391,"An Act Repealing The Unitary Tax."
HB05017,835376,"An Act Establishing A Tax Credit For Interest And Principal Paid On Student Loans."
HB05018,835365,"An Act Exempting Social Security Income From The Personal Income Tax."
HB05019,835367,"An Act Exempting Certain Pension Income From The Personal Income Tax."
HB05020,835392,"An Act Eliminating The Imposition Of Personal Income Taxation On Social Security Benefits."
HB05021,835356,"An Act Eliminating Personal Income Taxation On Pensions And Social Security Benefits."
HB05022,835366,"An Act Concerning The Use Tax Payable On Casual Car Sales."
HB05023,835358,"An Act Authorizing Bonds Of The State For The Renovation Of The Thomaston Opera House."
HB05024,835395,"An Act Eliminating The Estate Tax."
HB05025,835386,"An Act Eliminating The Personal Income Tax On Pensions."
HB05026,835381,"An Act Concerning Parity For Single-filers Under The Personal Income Tax."
HB05027,835380,"An Act Repealing The Estate Tax."
HB05028,835357,"An Act Establishing A Credit Against The Personal Income Tax For Long-term Care Insurance Policy Costs."
HB05029,835363,"An Act Eliminating The Business Entity Tax."
HB05030,835388,"An Act Eliminating The Personal Income Tax On Social Security Benefits."
HB05031,835379,"An Act Eliminating The Business Entity Tax."
HB05032,835390,"An Act Eliminating The Business Entity Tax."
HB05033,835371,"An Act Eliminating The Sales Tax On Parking Fees At State Parks."
HB05034,835384,"An Act Consolidating The Annual Informational Mailing Of General Assembly Members."
HB05035,835394,"An Act Repealing The Citizens' Election Program."
HB05036,835389,"An Act Eliminating Legislator Franking Privileges."
HB05037,835383,"An Act Limiting The Number Of Deputy Commissioners In State Agencies."
HB05038,835370,"An Act Concerning Repayment Of Loans Extended Under The Federal Unemployment Tax Act."
HB05039,835355,"An Act Concerning Repayment Of Loans Extended Under The Federal Unemployment Tax Act."
HB05040,835374,"An Act Concerning The State Reimbursement For The Cost Of Resident Police Officers."
HB05041,835385,"An Act Concerning The Privatization Of The Department Of Motor Vehicles."
HB05042,836380,"An Act Restoring State Assistance For Medicare Part D Beneficiaries."
HB05043,836373,"An Act Making Deficiency Appropriations For The Fiscal Year Ending June 30, 2016."
HB05044,836378,"An Act Making Adjustments To State Expenditures For The Fiscal Year Ending June 30, 2017."
HB05045,836372,"An Act Concerning Revisions To The Small Business Express Program."
HB05046,836360,"An Act Concerning Revenue."
HB05047,836357,"An Act Concerning Exemptions Under The Property Tax."
HB05048,836365,"An Act Authorizing Bonds Of The State For Urban Act Grant Funds For The Town Of Greenwich."
HB05049,836358,"An Act Implementing The Governor's Budget Recommendations For General Government."
HB05050,836370,"An Act Modernizing The Symbol Of Access For Persons With Disabilities."
HB05051,836366,"An Act Adopting The National Association Of Insurance Commissioners' Interstate Insurance Product Regulation Compact."
HB05052,836359,"An Act Strengthening Protections For Victims Of Human Trafficking."
HB05053,836364,"An Act Concerning Opioids And Access To Overdose Reversal Drugs."
HB05054,836379,"An Act Protecting Victims Of Domestic Violence."
HB05055,836367,"An Act Decreasing Wait Times At The Department Of Motor Vehicles."
HB05056,837325,"An Act Restoring Funds To The Special Transportation Fund."
HB05057,837380,"An Act Concerning State Employee Retirement And Health Care Benefits."
HB05058,837418,"An Act Restoring Medicaid Funding To Hospitals."
HB05059,837485,"An Act Eliminating Personal Income Taxation On Social Security Benefits."
HB05060,837344,"An Act Phasing Out The Hospital Tax And Repealing The Ambulatory Surgical Center Tax."
HB05061,837431,"An Act Eliminating Personal Income Taxation On Pension Benefits."
HB05062,837447,"An Act Eliminating The Personal Income Tax On Social Security Benefits."
HB05063,837489,"An Act Phasing Out The Hospital Tax And Ambulatory Surgical Center Tax."
HB05064,837475,"An Act Reducing The Gasoline Tax."
HB05065,837361,"An Act Repealing The Business Entity Tax."
HB05066,837428,"An Act Authorizing Bonds Of The State To Construct A Black Box Theatre In The Town Of Stratford."
HB05067,837414,"An Act Phasing Out The Hospital Tax And Repealing The Ambulatory Surgical Center Tax."
HB05068,837478,"An Act Repealing The Business Entity Tax."
HB05069,837396,"An Act Concerning A Two-generation Initiative For Families."
HB05070,837465,"An Act Concerning Participation In The Standard Authorization Reciprocity Agreement Regarding Distance Learning Programs."
HB05071,837352,"An Act Requiring Connecticut To Participate In The State Authorization Reciprocity Agreement Regarding Distance Learning Programs."
HB05072,837482,"An Act Concerning Higher Education Certificate Programs."
HB05073,837423,"An Act Concerning Increased Funding For Drug Intervention Programs To Increase The Use And Oversight Of Dedicated Court Dockets For Drug Offenses."
HB05074,837469,"An Act Concerning Employee Working Conditions."
HB05075,837393,"An Act Concerning Disability Insurance Coverage For Uniformed Members Of Fire Departments Who Are Otherwise Ineligible For Workers' Compensation Benefits For Certain Types Of Cancer."
HB05076,839223,"An Act Increasing The Personal Needs Allowance For Long-term Care Facility Residents."
HB05077,839000,"An Act Concerning Full State Reimbursement For Special Education Costs."
HB05078,839161,"An Act Increasing Ecs Aid To Towns To Compensate For The Magnet School Tuition Requirement."
HB05079,839066,"An Act Lowering The Excess Cost Threshold For Special Education Costs."
HB05080,838939,"An Act Restoring The Property Tax Credit Under The Personal Income Tax."
HB05081,839095,"An Act Concerning The Deductibility Of Social Security Income Under The Personal Income Tax."
HB05082,839127,"An Act Restoring The Exemption On Water Companies From The Sales And Use Tax."
HB05083,838968,"An Act Concerning The Maximum Property Tax Credit Under The Personal Income Tax."
HB05084,839031,"An Act Exempting School Supplies From The Sales Tax During The Sales Tax-free Week In August."
HB05085,840208,"An Act Concerning Complete Reimbursement For School Transportation."
HB05086,840057,"An Act Concerning The Constitutional Spending Cap."
HB05087,840153,"An Act Concerning State Aid For Special Education Services."
HB05088,840447,"An Act Increasing Magnet School Funding To The New London School District To Align With Student Enrollment Numbers."
HB05089,840112,"An Act Establishing Windham High School As A Stem Magnet School."
HB05090,840177,"An Act Establishing A Dual Language Magnet School."
HB05091,840100,"An Act Repealing The Gift Tax."
HB05092,839939,"An Act Providing A Deduction From The Personal Income Tax For Charitable Donations To Certain Providers Of Mental Health And Addiction Services."
HB05093,840359,"An Act Exempting Certain Farm Land From The Estate Tax."
HB05094,840328,"An Act Establishing An Annual Bond Cap."
HB05095,840403,"An Act Repealing Mandatory Combined Reporting."
HB05096,840251,"An Act Concerning The Time Period For Funds To Escheat To The State."
HB05097,840274,"An Act Repealing The Business Entity Tax."
HB05098,840035,"An Act Concerning A Tax On Certain Educational Institutions."
HB05099,840340,"An Act Phasing Out Personal Income Taxation On Pension Income And Social Security Benefits."
HB05100,840122,"An Act Providing An Income Tax Deduction For Contributions To Catastrophe Savings Accounts."
HB05101,840305,"An Act Repealing The Tax On Ambulatory Surgical Centers."
HB05102,840189,"An Act Eliminating The Sales Tax On Taxes And Fees On Cable Services."
HB05103,840487,"An Act Phasing Out The Hospital Tax."
HB05104,839948,"An Act Reducing The Hospital Tax."
HB05105,840078,"An Act Concerning The Repeal Of Mandatory Combined Reporting."
HB05106,840393,"An Act Eliminating The Sales Tax On Car Wash Services."
HB05107,840068,"An Act Eliminating The Sales Tax On Parking Fees At State Parks And Local And Municipal Parking Lots."
HB05108,840371,"An Act Concerning An Exemption From The Personal Income Tax For Pension Income And Social Security Benefits."
HB05109,839959,"An Act Establishing A Tax Credit Program For Employers Who Offer On-site Child Day Care Options For Employees."
HB05110,840494,"An Act Phasing Out The Hospital Tax And Repealing The Ambulatory Surgical Center Tax."
HB05111,840220,"An Act Concerning Payment In Lieu Of Taxes."
HB05112,840229,"An Act Concerning The Estate Tax."
HB05113,840382,"An Act Eliminating The Imposition Of The Personal Income Tax On Pension Benefit Income."
HB05114,840165,"An Act Imposing A Tax On Sugary Soft Drinks."
HB05115,840143,"An Act Concerning A Deduction From The Personal Income Tax For Student Loan Interest."
HB05116,840349,"An Act Continuing The Angel Investor Tax Credit."
HB05117,840000,"An Act Expanding The Sales Tax Exemption For Medical Supplies And Devices To Include Feminine Hygiene Products."
HB05118,840295,"An Act Reducing The Personal Income Tax Rate For Certain Persons."
HB05119,840088,"An Act Concerning A Sales Tax Exemption For Tampons And Sanitary Pads."
HB05120,840315,"An Act Concerning Probate Fees."
HB05121,840240,"An Act Establishing A Tax Credit For Dependent Child Care Costs."
HB05122,840436,"An Act Concerning Personal Income Tax Deductions For Contributions To Family And Medical Leave Benefit Accounts."
HB05123,839969,"An Act Establishing A Deduction Under The Personal Income Tax For Interest Paid On Student Loans."
HB05124,840262,"An Act Imposing An Excise Tax On Sugar Sweetened Beverages."
HB05125,840414,"An Act Concerning The Repeal Of The Ambulatory Surgical Center Tax."
HB05126,840025,"An Act Restoring The Cap On Probate Fees."
HB05127,839981,"An Act Continuing The Angel Investor Tax Credit."
HB05128,840467,"An Act Concerning Funds Appropriated To The Department Of Developmental Services."
HB05129,840478,"An Act Concerning The Administration Of Influenza Vaccines By Pharmacists And Medical Assistants And The Listing Of Certified Medical Assistants."
HB05130,840199,"An Act Concerning Clearance Of Student Athletes With Concussions For Participation In Team Activities."
HB05131,839991,"An Act Establishing A Task Force On Nail Salons And Nail Technicians."
HB05132,840427,"An Act Concerning Newborn Screening For Pompe Disease."
HB05133,840133,"An Act Concerning Dental Assistants."
HB05134,842918,"An Act Concerning Funds For Medical Care Of Inmates."
HB05135,843179,"An Act Concerning The Closure Of The Connecticut Juvenile Training School And The Pueblo Unit For Girls."
HB05136,843330,"An Act Concerning The Health Of Children."
HB05137,843082,"An Act Exempting Disposable Or Reusable Diapers From The Sales Tax."
HB05138,842884,"An Act Concerning Child Care Facilities And Children Who Are Homeless Or At Risk Of Homelessness."
HB05139,842828,"An Act Concerning The Use Of Recycled Tire Rubber At Municipal And Public School Playgrounds."
HB05140,842668,"An Act Concerning The Use Of Therapy Animals To Comfort Children Testifying In Certain Criminal Prosecutions."
HB05141,843404,"An Act Concerning Concussions And Youth Athletic Activities Conducted On Public Athletic Fields."
HB05142,842699,"An Act Increasing State Funding For Local Charter Schools."
HB05143,843015,"An Act Concerning The Hiring Of Additional Mental Health Professionals By Boards Of Education."
HB05144,843147,"An Act Concerning Farmers' Market Vouchers For Senior Citizens."
HB05145,843005,"An Act Concerning Boating Safety On Candlewood Lake."
HB05146,843116,"An Act Concerning Recycling And The Reduction Of Litter At Public Ballfields."
HB05147,842873,"An Act Increasing The Maximum Penalty For Persons Convicted Of Subsequent Offenses Of Malicious And Intentional Animal Cruelty."
HB05148,842798,"An Act Making Minor Revisions To The Provisions Of The General Statutes Regarding Commercial Kennel Services Advertisements."
HB05149,843342,"An Act Concerning Recycling At Municipal Ballfields."
HB05150,843168,"An Act Concerning Tree Wardens' Notices On Trees And Shrubs Prior To Removal And Tree Removal And Clean-up By Public Utility Corporations."
HB05151,842819,"An Act Concerning The Authority Of Animal Control Officers In Common Interest Communities."
HB05152,843266,"An Act Authorizing Bonds Of The State To Assist Businesses With Increasing Handicapped Accessibility To Their Facilities."
HB05153,842808,"An Act Establishing An Annual Cap On State Bond Authorizations."
HB05154,842984,"An Act Authorizing Bonds Of The State To Increase Accessibility To State Facilities."
HB05155,843321,"An Act Authorizing Bonds Of The State For The Housing Rehabilitation Programs Of East Hartford And Manchester."
HB05156,843202,"An Act Authorizing Bonds Of The State For Renovations Of The Barbell Club Building In New Haven."
HB05157,843106,"An Act Establishing A Cap On Bond Authorizations And State Bond Commission Allocations."
HB05158,842787,"An Act Repealing The Business Entity Tax."
HB05159,843244,"An Act Repealing The Corporate Tax Surcharge."
HB05160,842646,"An Act Reducing The Gasoline Tax."
HB05161,842637,"An Act Concerning The Personal Income Tax On Social Security Benefits."
HB05162,842754,"An Act Repealing The Personal Income Tax On Pension Plans."
HB05163,843050,"An Act Repealing The Tax On Ambulatory Surgical Centers."
HB05164,842951,"An Act Repealing The Hospital Tax."
HB05165,842711,"An Act Establishing A Tax Credit For Businesses That Provide Paid Family And Medical Leave Benefits."
HB05166,842896,"An Act Repealing The Connecticut Personal Alternative Minimum Tax."
HB05167,843071,"An Act Concerning The Elimination Of The Ambulatory Surgical Center Tax."
HB05168,843287,"An Act Concerning Taxes On Hospitals And Ambulatory Surgical Centers."
HB05169,843223,"An Act Restoring The Exemption From The Sales And Use Tax On Water Companies."
HB05170,842629,"An Act Eliminating Personal Income Taxation On Social Security Benefits."
HB05171,842863,"An Act Creating A Sliding Scale For Letters Of Credit Filed By Private Occupational Schools."
HB05172,843093,"An Act Providing Compensation For Hospitals That Provide Free Care To Uninsured Persons."
HB05173,842938,"An Act Concerning Inmate Medical Copays."
HB05174,842840,"An Act Concerning Salaries For Nonprofit Hospital Administrators."
HB05175,842962,"An Act Concerning Local Board Of Education Budgets."
HB05176,842764,"An Act Concerning Community Residences."
HB05177,843384,"An Act Extending The Deadline For The Land Value Taxation Pilot Program."
HB05178,843309,"An Act Concerning The Licensing Of Dogs."
HB05179,842689,"An Act Authorizing Historic Properties Commissions To Charge Reasonable Fees For The Processing Of Certificate Of Appropriateness Applications."
HB05180,843363,"An Act Concerning Concrete Foundations."
HB05181,843394,"An Act Concerning The Delivery Of Free Newspapers."
HB05182,843297,"An Act Exempting Leased Municipal Property From Taxation."
HB05183,842678,"An Act Concerning Attorney Fee Agreements In Municipal Tax Appeals."
HB05184,843373,"An Act Concerning The Capital Region Development Authority And The Boundaries Of The Capital City Economic Development District."
HB05185,842775,"An Act Increasing The Fines For Failing To Yield The Right-of-way To Pedestrians."
HB05186,845001,"An Act Decreasing Legislative Postal Costs."
HB05187,844796,"An Act Reducing The Salaries Of All Elected And Appointed State Officials By Ten Per Cent."
HB05188,844872,"An Act Concerning An Expansion Of The Historic Homes Tax Credit Program."
HB05189,844588,"An Act Authorizing An Administrative Penalty For Certain Littering Violations And Requiring Certain Reports And Disclosures By Product Stewardship Organizations In The State."
HB05190,844965,"An Act Authorizing Bonds Of The State For The Renovation Of The Women And Family Life Center In Guilford."
HB05191,844739,"An Act Eliminating The Tax On Health And Athletic Club Dues And Initiation Fees."
HB05192,844533,"An Act Reducing The Occupancy Tax."
HB05193,844909,"An Act Concerning The Repeal Of The Business Entity Tax."
HB05194,844457,"An Act Eliminating The Personal Income Tax On Teachers' Pension Income, Veterans' Pension Income And Social Security Benefits."
HB05195,844704,"An Act Concerning An Exemption From The Estate Tax For Property Classified As Farmland."
HB05196,844721,"An Act Repealing The Sales Tax On Parking Fees At State Parks."
HB05197,844627,"An Act Repealing The Sales Tax On Car Wash Services."
HB05198,844928,"An Act Concerning The Repeal Of The Business Entity Tax."
HB05199,844647,"An Act Reducing The Amount Of Grants Awarded Under The Citizens' Election Program."
HB05200,844403,"An Act Prohibiting The Increase Of Grants Under The Citizens' Election Program."
HB05201,844552,"An Act Eliminating Grants Under The Citizens' Election Program For Unopposed Candidates."
HB05202,844834,"An Act Compensating Hospitals For Free Care."
HB05203,844476,"An Act Compensating Hospitals For Free Care."
HB05204,844387,"An Act Concerning A Halfway House For Women In New Haven County."
HB05205,844947,"An Act Concerning Recommendations Of The Juvenile Justice Policy And Oversight Committee."
HB05206,844666,"An Act Concerning The Restoration Of A Cap On Probate Court Fees."
HB05207,844495,"An Act Concerning The Enhanced Use Of Electronic Notice By The Judicial Branch."
HB05208,844758,"An Act Imposing A Limitation On The Assessment Of Probate Court Fees."
HB05209,844439,"An Act Concerning Regulation And Taxation Of The Production, Sale And Use Of Marijuana."
HB05210,844684,"An Act Authorizing Bonds Of The State For The Rehabilitation Of Chapel Haven In New Haven."
HB05211,844571,"An Act Concerning Certificates Of Need."
