bill_id,date,action
835355,2016-02-03,"Referred to Joint Committee on Labor and Public Employees"
835356,2016-02-03,"Referred to Joint Committee on Finance, Revenue and Bonding"
835357,2016-02-03,"Referred to Joint Committee on Finance, Revenue and Bonding"
835358,2016-02-03,"Referred to Joint Committee on Finance, Revenue and Bonding"
835359,2016-02-03,"Referred to Joint Committee on Finance, Revenue and Bonding"
835360,2016-02-03,"Referred to Joint Committee on Finance, Revenue and Bonding"
835361,2016-02-03,"Referred to Joint Committee on Finance, Revenue and Bonding"
835362,2016-02-03,"Referred to Joint Committee on Children"
835363,2016-02-03,"Referred to Joint Committee on Finance, Revenue and Bonding"
835364,2016-02-03,"Referred to Joint Committee on Finance, Revenue and Bonding"
835365,2016-02-03,"Referred to Joint Committee on Finance, Revenue and Bonding"
835366,2016-02-03,"Referred to Joint Committee on Finance, Revenue and Bonding"
835367,2016-02-03,"Referred to Joint Committee on Finance, Revenue and Bonding"
835368,2016-02-03,"Referred to Joint Committee on Finance, Revenue and Bonding"
835369,2016-02-03,"Referred to Joint Committee on Finance, Revenue and Bonding"
835370,2016-02-03,"Referred to Joint Committee on Labor and Public Employees"
835371,2016-02-03,"Referred to Joint Committee on Finance, Revenue and Bonding"
835372,2016-02-03,"Referred to Joint Committee on Finance, Revenue and Bonding"
835373,2016-02-03,"Referred to Joint Committee on Appropriations"
835373,2016-02-17,"Change of Reference Finance, Revenue and Bonding"
835373,2016-02-17,"Change of Reference, House to Committee on Finance, Revenue and Bonding"
835373,2016-02-17,"Change of Reference, Senate to Committee on Finance, Revenue and Bonding"
835374,2016-02-03,"Referred to Joint Committee on Public Safety and Security"
835375,2016-02-03,"Referred to Joint Committee on Finance, Revenue and Bonding"
835376,2016-02-03,"Referred to Joint Committee on Finance, Revenue and Bonding"
835377,2016-02-03,"Referred to Joint Committee on Finance, Revenue and Bonding"
835378,2016-02-03,"Referred to Joint Committee on Finance, Revenue and Bonding"
835379,2016-02-03,"Referred to Joint Committee on Finance, Revenue and Bonding"
835380,2016-02-03,"Referred to Joint Committee on Finance, Revenue and Bonding"
835381,2016-02-03,"Referred to Joint Committee on Finance, Revenue and Bonding"
835381,2016-02-17,"Reserved for Subject Matter Public Hearing"
835381,2016-02-22,"Public Hearing 02/26"
835381,2016-03-18,"Vote to Draft"
835381,2016-03-18,"Drafted by Committee"
835381,2016-03-21,"Referred to Joint Committee on Finance, Revenue and Bonding"
835382,2016-02-03,"Referred to Joint Committee on Commerce"
835382,2016-02-24,"Drafted by Committee"
835382,2016-02-25,"Referred to Joint Committee on Commerce"
835382,2016-02-26,"Public Hearing 03/01"
835382,2016-03-15,"Joint Favorable Change of Reference Finance, Revenue and Bonding"
835382,2016-03-16,"Filed with Legislative Commissioners' Office"
835382,2016-03-18,"Reported Out of Legislative Commissioners' Office"
835382,2016-03-21,"Favorable Change of Reference, House to Committee on Finance, Revenue and Bonding"
835382,2016-03-22,"Favorable Change of Reference, Senate to Committee on Finance, Revenue and Bonding"
835383,2016-02-03,"Referred to Joint Committee on Government Administration and Elections"
835384,2016-02-03,"Referred to Joint Committee on Government Administration and Elections"
835385,2016-02-03,"Referred to Joint Committee on Transportation"
835385,2016-02-24,"Petition to Draft Pursuant to Joint Rule 11 02/24"
835385,2016-02-24,"House Petition Number 3"
835385,2016-03-02,"Drafted by Committee"
835385,2016-03-03,"Referred to Joint Committee on Transportation"
835385,2016-03-10,"Public Hearing 03/16"
835386,2016-02-03,"Referred to Joint Committee on Finance, Revenue and Bonding"
835387,2016-02-03,"Referred to Joint Committee on Finance, Revenue and Bonding"
835388,2016-02-03,"Referred to Joint Committee on Finance, Revenue and Bonding"
835389,2016-02-03,"Referred to Joint Committee on Government Administration and Elections"
835390,2016-02-03,"Referred to Joint Committee on Finance, Revenue and Bonding"
835391,2016-02-03,"Referred to Joint Committee on Finance, Revenue and Bonding"
835392,2016-02-03,"Referred to Joint Committee on Finance, Revenue and Bonding"
835393,2016-02-03,"Referred to Joint Committee on Finance, Revenue and Bonding"
