sponsor_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district
5473,"Mary Fritz",Mary,G.,Fritz,,,1,D,1,Rep,HD-090
5629,"Finance, Revenue and Bonding Committee",,,,,,0,,3,Jnt,
5631,"Martin Looney",Martin,M.,Looney,,,1,D,2,Sen,SD-011
5635,"Eric Coleman",Eric,D.,Coleman,,,1,D,2,Sen,SD-002
5636,"Joseph Crisco",Joseph,J.,Crisco,Jr.,,1,D,2,Sen,SD-017
5638,"Paul Doyle",Paul,R.,Doyle,,,1,D,2,Sen,SD-009
5639,"John Fonfara",John,W.,Fonfara,,,1,D,2,Sen,SD-001
5641,"Edwin Gomes",Edwin,A.,Gomes,,,1,D,2,Sen,SD-023
5649,"Claire Janowski",Claire,L.,Janowski,,,1,D,1,Rep,HD-056
5650,"Susan Johnson",Susan,M.,Johnson,,,1,D,1,Rep,HD-049
5652,"Christopher Perone",Christopher,,Perone,,Chris,1,D,1,Rep,HD-137
5659,"Bruce Morris",Bruce,V.,Morris,,,1,D,1,Rep,HD-140
5660,"Peggy Sayers",Peggy,,Sayers,,,1,D,1,Rep,HD-060
5662,"Mary Mushinsky",Mary,M.,Mushinsky,,,1,D,1,Rep,HD-085
5664,"Toni Walker",Toni,E.,Walker,,,1,D,1,Rep,HD-093
5665,"David Baram",David,A.,Baram,,,1,D,1,Rep,HD-015
5667,"Juan Candelaria",Juan,R.,Candelaria,,,1,D,1,Rep,HD-095
5669,"Michael McLachlan",Michael,A.,McLachlan,,,2,R,2,Sen,SD-024
5670,"Antonietta Boucher",Antonietta,,Boucher,,Toni,2,R,2,Sen,SD-026
5671,"Insurance and Real Estate Committee",,,,,,0,,3,Jnt,
5672,"Lonnie Reed",Lonnie,,Reed,,,1,D,1,Rep,HD-102
5676,"Roberta Willis",Roberta,B.,Willis,,,1,D,1,Rep,HD-064
5683,"Larry Butler",Larry,B.,Butler,,,1,D,1,Rep,HD-072
5686,"Robert Duff",Robert,B.,Duff,,Bob,1,D,2,Sen,SD-025
5688,"Leonard Fasano",Leonard,A.,Fasano,Jr.,,2,R,2,Sen,SD-034
5689,"Higher Education and Employment Advancement Committee",,,,,,0,,3,Jnt,
5690,"Robert Kane",Robert,J.,Kane,,,2,R,2,Sen,SD-032
5692,"Linda Gentile",Linda,M.,Gentile,,,1,D,1,Rep,HD-104
5693,"Ezequiel Santiago",Ezequiel,,Santiago,,,1,D,1,Rep,HD-130
5694,"Russell Morin",Russell,A.,Morin,,,1,D,1,Rep,HD-028
5697,"Elizabeth Boukus",Elizabeth,A.,Boukus,,Betty,1,D,1,Rep,HD-022
5699,"Catherine Abercrombie",Catherine,F.,Abercrombie,,,1,D,1,Rep,HD-083
5700,"John Hennessy",John,F.,Hennessy,,Jack,1,D,1,Rep,HD-127
5703,"Carlo Leone",Carlo,L.,Leone,,,1,D,2,Sen,SD-027
5704,"Terrie Wood",Terrie,E.,Wood,,,2,R,1,Rep,HD-141
5705,"Ernest Hewett",Ernest,,Hewett,,,1,D,1,Rep,HD-039
5706,"Joseph Serra",Joseph,C.,Serra,,,1,D,1,Rep,HD-033
5708,"Louis Esposito",Louis,P.,Esposito,Jr.,,1,D,1,Rep,HD-116
5711,"Matthew Lesser",Matthew,,Lesser,,,1,D,1,Rep,HD-100
5712,"Joseph Aresimowicz",Joseph,,Aresimowicz,,Joe,1,D,1,Rep,HD-030
5715,"Labor and Public Employees Committee",,,,,,0,,3,Jnt,
5716,"Robert Megna",Robert,W.,Megna,,,1,D,1,Rep,HD-097
5717,"Timothy Larson",Timothy,D.,Larson,,,1,D,2,Sen,SD-003
5718,"Kevin Witkos",Kevin,D.,Witkos,,,2,R,2,Sen,SD-008
5720,"William Aman",William,E.,Aman,,Bill,2,R,1,Rep,HD-014
5721,"Patricia Miller",Patricia,Billie,Miller,,,1,D,1,Rep,HD-145
5722,"Human Services Committee",,,,,,0,,3,Jnt,
5723,"John Kissel",John,A.,Kissel,,,2,R,2,Sen,SD-007
5724,"Emil Altobello",Emil,A.,Altobello,,Buddy,1,D,1,Rep,HD-082
5725,"Theresa Conroy",Theresa,W.,Conroy,,,1,D,1,Rep,HD-105
5726,"Jason Perillo",Jason,D.,Perillo,,,2,R,1,Rep,HD-113
5728,"Kevin Ryan",Kevin,,Ryan,,,1,D,1,Rep,HD-139
5729,"Commerce Committee",,,,,,0,,3,Jnt,
5731,"Environment Committee",,,,,,0,,3,Jnt,
5734,"General Law Committee",,,,,,0,,3,Jnt,
5735,"Frank Nicastro",Frank,N.,Nicastro,Sr.,,1,D,1,Rep,HD-079
5736,"Michelle Cook",Michelle,L.,Cook,,,1,D,1,Rep,HD-065
5741,"Public Safety and Security Committee",,,,,,0,,3,Jnt,
5742,"Stephen Dargan",Stephen,D.,Dargan,,,1,D,1,Rep,HD-115
5743,"Linda Orange",Linda,A.,Orange,,,1,D,1,Rep,HD-048
5744,"Edwin Jutila",Edwin,J.,Jutila,,Ed,1,D,1,Rep,HD-037
5745,"Anthony Guglielmo",Anthony,,Guglielmo,,Tony,2,R,2,Sen,SD-035
5746,"Anthony D'Amelio",Anthony,J.,D'Amelio,,,2,R,1,Rep,HD-071
5747,"David Labriola",David,K.,Labriola,,,2,R,1,Rep,HD-131
5748,"Diana Urban",Diana,S.,Urban,,,1,D,1,Rep,HD-043
5749,"Leroy Frantz",Leroy,Scott,Frantz,,,2,R,2,Sen,SD-036
5750,"Jason Rojas",Jason,,Rojas,,,1,D,1,Rep,HD-009
5752,"Selim Noujaim",Selim,G.,Noujaim,,,2,R,1,Rep,HD-074
5753,"Energy and Technology Committee",,,,,,0,,3,Jnt,
5756,"Olivia Floren",Olivia,R.,Floren,,Livvy,2,R,1,Rep,HD-149
5759,"Planning and Development Committee",,,,,,0,,3,Jnt,
5760,"Program Review and Investigations Committee",,,,,,0,,3,Jnt,
5762,"John Frey",John,H.,Frey,,,2,R,1,Rep,HD-111
5763,"Rosa Rebimbas",Rosa,C.,Rebimbas,,,2,R,1,Rep,HD-070
