bill_id,date,action
518616,2013-01-03,"B20-0001 Introduced by Councilmember Evans at Office of the Secretary"
518616,2013-01-08,"Final Reading"
518616,2013-01-22,"Transmitted to Mayor, Response Due on Feb 5, 2013"
518616,2013-01-31,"Enacted with Act Number A20-0005, Expires on May 1, 2013"
518616,2013-02-04,"Returned from Mayor"
518616,2013-03-08,"Act A20-0005 Published in DC Register Vol 60 and Page 2792, Expires on May 1, 2013"
518616,2014-01-08,"Retained by the Council"
518617,2013-01-03,"B20-0002 Introduced by Councilmember Evans at Office of the Secretary"
518617,2013-01-08,"Retained by the Council"
518617,2013-01-22,"Transmitted to Mayor, Response Due on Feb 5, 2013"
518617,2013-01-31,"Enacted with Act Number A20-0006, Expires on May 1, 2013"
518617,2013-02-04,"Returned from Mayor"
518617,2013-03-08,"Act A20-0006 Published in DC Register Vol 60 and Page 2807, Expires on May 1, 2013"
518618,2013-01-04,"B20-0003 Introduced by Chairman Mendelson at Office of the Secretary"
518618,2013-01-08,"Referred to Committee on Government Operations"
518618,2013-01-18,"Notice of Intent to Act on B20-0003 Published in the District of Columbia Register"
518618,2013-02-01,"Notice of Public Hearing Published in the District of Columbia Register"
518618,2013-03-28,"Public Hearing on B20-0003"
518618,2013-04-26,"Notice of Roundtable Hearing Published in the District of Columbia Register"
518618,2013-05-15,"Roundtable Hearing on B20-0003"
518619,2013-01-07,"B20-0004 Introduced by Councilmember Cheh at Office of the Secretary"
518619,2013-01-08,"Final Reading"
518619,2013-01-22,"Retained by the Council"
518619,2013-02-05,"Reconsidered and Tabled"
518620,2013-01-07,"B20-0005 Introduced by Councilmember Cheh at Office of the Secretary"
518620,2013-01-08,"Final Reading"
518620,2013-01-22,"Retained by the Council"
518620,2013-01-29,"Enacted with Act Number A20-0002, Expires on Apr 29, 2013"
518620,2013-01-30,"Returned from Mayor"
518620,2013-03-08,"Act A20-0002 Published in DC Register Vol 60 and Page 2760, Expires on Apr 29, 2013"
518621,2013-01-07,"B20-0006 Introduced by Councilmember Cheh at Office of the Secretary"
518621,2013-01-08,"Final Reading"
518621,2013-01-22,"Retained by the Council"
518621,2013-01-25,"Enacted with Act Number A20-0001, Expires on Apr 25, 2013"
518621,2013-01-29,"Returned from Mayor"
