bill_number,bill_id,title
HB1,120845,"An Act To Amend Title 29 Of The Delaware Code Relating To The Freedom Of Information Act."
HB2,120846,"An Act To Amend Title 11 Of The Delaware Code Relating To Specific Offenses, Animals, And Penalties."
HB3,120847,"An Act To Amend Title 16 Of The Delaware Code Relating To Health And Safety."
HB4,120848,"An Act To Amend Title 15 Of The Delaware Code Relating To Cash Contributions."
HB5,120849,"An Act To Amend Titles 6, 9, 18, 19, 25 And 29 Of The Delaware Code Relating To Discrimination In Employment, Public Works Contracting, Housing, Equal Accommodations And The Insurance Business."
HB6,120850,"An Act To Amend Title 16 Of The Delaware Code Relating To The Department Of Health And Social Services."
HB7,120851,"An Act To Amend Title 10 Of The Delaware Code Relating To Recovery Of Damages From Parents Or Guardians."
HB8,120852,"An Act To Amend Title 30 Of The Delaware Code Relating To State Personal Income Tax."
HB9,120853,"An Act To Amend Title 15, Delaware Code Relating To Elections And Candidate Disclosures."
HB10,120854,"An Act To Amend Title 29 Of The Delaware Code Relating To Public Officers' And Employees' Health Care Insurance, State Employees' Pension Plan, And Other State Employee Benefits."
HB11,120855,"An Act To Amend Title 29 Of The Delaware Code Relating To The Video Lottery."
HB12,120856,"An Act To Amend Title 29 Of The Delaware Code Relating To Conduct Of Officers And Employees."
HB13,120857,"An Act Proposing An Amendment To The Delaware Constitution Relating To Voting On The Budget And Bond Bills."
HB14,120858,"An Act To Amend Title 9 Of The Delaware Code Relating To New Castle County And The Granting Of An Administrative Variance."
HB15,120859,"An Act To Amend Chapter 60, Title 7 Of The Delaware Code Relating To Recycling And Waste Reduction In The State Of Delaware."
HB16,120860,"An Act To Amend Chapter 58, Title 29 Of The Delaware Code Relating To The Registration Of Lobbyists."
HB17,120861,"An Act Proposing An Amendment To Article V, Section 2, Of The Constitution Of The State Of Delaware Relating To Qualifications For Voting."
HB18,120862,"An Act To Amend Chapter 7, Title 19 Of The Delaware Code Relating To The Doctrine Of Employment At Will And Protection From Wrongful Termination."
HB19,120863,"An Act To Amend Title 8 Of The Delaware Code Relating To The General Corporation Law."
HB20,120864,"An Act To Amend Title 29 Of The Delaware Code Relating To Conduct Of Officers And Employees. "
HB21,120865,"An Act To Amend Title 21 Of The Delaware Code Relating To The Classification Of Certain Minor Traffic Offenses. "
HB22,120867,"An Act To Amend Title 16 Of The Delaware Code Relating To The Delaware Healthy Children Program."
HB23,120868,"An Act To Amend Chapter 278, Volume 72, Laws Of Delaware, As Amended,the Charter Of The Town Of Millville, To Clarify Certain Non-recourse Provisions Of Section 31 (a)(45) Of The Charter Relating To Municipal Tax Increment And Municipal Special Development Districts Financings."
HB24,120869,"An Act To Amend Title 7 Of The Delaware Code Relating To Hazardous Waste Management."
HB25,120870,"An Act Making Appropriations For The Expense Of The State Government For The Fiscal Year Ending June 30, 2010; Specifying Certain Procedures, Conditions And Limitations For The Expenditure Of Such Funds; And Amending Certain Pertinent Statutory Provisions."
HB26,120871,"An Act To Amend Titles 22 And 25 Of The Delaware Code To Authorize The Collection Of Liens By Writ Of Monition."
HB27,120872,"An Act To Amend Title 29 Of The Delaware Code Relating To Lobbyists."
HB28,120873,"An Act To Amend Title 21 Of The Delaware Code Relating To A Special Examination For A Driver License Due To A Possible Physical Or Mental Impediment."
HB29,120874,"An Act To Amend Chapter 26, Title 9 Of The Delaware Code Relating To Zoning."
HB30,120875,"An Act To Amend Title 14 Of The Delaware Code Relating To The Powers, Duties And Functions Of The Secretary Of Education."
