bill_id,sponsor_id
217250,4409
217250,4413
217250,4415
217250,4419
217250,4420
217250,4421
217250,4427
217250,4428
217250,4430
217250,4434
217250,4442
217250,4445
217250,4447
217250,4448
217250,4449
217250,4455
217250,4460
217250,4463
217250,4464
217250,4467
217250,4468
217250,4471
217250,4478
217250,10562
217250,10563
217250,10564
217250,10565
217251,4411
217251,4413
217251,4415
217251,4421
217251,4422
217251,4425
217251,4427
217251,4430
217251,4444
217251,4448
217251,4464
217251,4465
217251,4468
217251,10562
217251,10563
217251,10565
217251,10566
217252,4413
217252,4415
217252,4417
217252,4420
217252,4427
217252,4447
217252,4464
217252,10567
217253,4413
217253,4415
217253,4421
217253,4466
217253,4468
217253,4469
217253,4478
217254,4409
217254,4411
217254,4413
217254,4415
217254,4416
217254,4417
217254,4420
217254,4422
217254,4424
217254,4427
217254,4455
217254,4457
217254,4460
217254,4466
217254,4469
217254,4503
217254,4503
217254,10564
217254,10565
217255,4409
217255,4411
217255,4413
217255,4419
217255,4420
217255,4424
217255,4434
217255,4454
217255,4455
217255,4460
217255,4503
217255,4503
217255,10562
217255,10564
217255,10566
217256,4414
217256,4435
217256,4445
217256,4454
217257,4416
217257,4417
217257,4430
217257,4453
217257,4460
217258,4416
217258,4417
217258,4453
217258,4460
217259,4416
217259,4417
217259,4430
217259,4453
217259,4460
217260,4416
217260,4417
217260,4430
217260,4453
217260,4460
217261,4416
217261,4417
217261,4430
217261,4453
217261,4460
217262,4437
217262,4448
217262,4454
217262,4468
217262,4478
217263,4437
217263,4454
217263,4468
217264,4454
217264,4468
217265,4437
217265,4448
217265,4454
217265,4468
217265,4478
217266,4437
217266,4448
217266,4454
217266,4468
217266,4478
217267,4437
217267,4448
217267,4454
217267,4468
217267,4478
223714,4441
223714,4478
223714,10564
223714,10814
223715,4469
231745,4465
231745,4468
231746,4414
231746,4415
231746,4420
231746,4421
231746,4422
231746,4427
231746,4435
231746,4449
231746,4454
231746,4456
231746,4465
231746,10562
231747,4409
231747,4410
231747,4411
231747,4413
231747,4414
231747,4415
231747,4416
231747,4417
231747,4419
231747,4420
231747,4421
231747,4422
231747,4424
231747,4425
231747,4427
231747,4428
231747,4430
231747,4432
231747,4434
231747,4435
231747,4445
231747,4453
231747,4455
231747,4456
231747,4457
231747,4458
231747,4460
231747,4463
231747,4464
231747,4465
231747,4467
231747,4470
231747,4471
231747,4475
231747,4476
231747,4503
231747,4503
231747,10562
231747,10563
231747,10564
231747,10565
231747,10566
231747,10567
231747,10814
231748,4413
