bill_id,roll_call_id,date,description,yea,nay,nv
663766,383454,2014-12-16,"Senate Third Reading",21,0,0
663867,383458,2014-12-16,"Senate Third Reading",21,0,0
663968,383460,2014-12-16,"Senate Third Reading",21,0,0
664070,383463,2014-12-16,"Senate Third Reading",21,0,0
668423,386543,2015-01-27,"House Third Reading",38,0,2
668423,417281,2015-03-26,"Senate Third Reading",18,0,0
668594,464241,2015-07-01,"Senate Third Reading",15,0,0
668708,384621,2015-01-20,"House Third Reading",35,5,0
668708,387268,2015-01-29,"Senate Third Reading",21,0,0
668763,544655,2015-03-25,"Senate Third Reading",20,0,1
671598,384261,2015-01-15,"House Third Reading",39,0,0
671598,387533,2015-01-29,"Senate Third Reading",20,0,1
675024,384026,2015-01-13,"House Third Reading",41,0,0
675024,384027,2015-01-13,"Senate Third Reading",19,0,0
675630,384020,2015-01-13,"Senate Third Reading",19,0,0
675751,384021,2015-01-13,"Senate Third Reading",20,0,0
679103,387404,2015-01-29,"House Third Reading",38,0,0
679103,413147,2015-03-18,"Senate Third Reading",21,0,0
679103,413563,2015-03-19,"House Third Reading",37,0,0
679177,412232,2015-03-17,"House Third Reading",31,8,2
679177,459964,2015-06-16,"Senate Third Reading",12,8,1
679177,462024,2015-06-23,"House Third Reading",34,2,0
679249,384634,2015-01-20,"House Third Reading",40,0,0
679249,387282,2015-01-29,"Senate Third Reading",21,0,0
679468,386294,2015-01-27,"House Third Reading",40,0,0
679468,415165,2015-03-24,"Senate Third Reading",21,0,0
680103,385257,2015-01-22,"Senate Third Reading",21,0,0
680103,411999,2015-03-17,"House Third Reading",41,0,0
680363,386412,2015-01-27,"Senate Third Reading",19,0,2
680363,418401,2015-03-26,"House Third Reading",39,0,0
680622,386313,2015-01-27,"Senate Third Reading",18,3,0
680622,415225,2015-03-24,"House Third Reading",40,0,1
681811,384235,2015-01-15,"Senate Third Reading",19,0,0
682279,386243,2015-01-27,"Senate Third Reading",20,1,0
682279,387380,2015-01-29,"House Third Reading",38,0,0
682337,385246,2015-01-22,"Senate Third Reading",21,0,0
682337,426269,2015-04-02,"House Third Reading",38,0,0
682668,385457,2015-01-22,"Senate Third Reading",21,0,0
682668,387478,2015-01-29,"House Third Reading",38,0,0
685598,385277,2015-01-22,"Senate Third Reading",21,0,0
685715,386318,2015-01-27,"House Third Reading",38,2,0
685715,417034,2015-03-26,"Senate Third Reading",15,1,0
685945,384610,2015-01-20,"Senate Third Reading",21,0,0
686062,386292,2015-01-27,"House Third Reading",40,0,0
686062,417008,2015-03-26,"Senate Third Reading",18,0,0
686182,412506,2015-03-17,"House Third Reading",40,1,0
686182,464243,2015-06-30,"Senate Third Reading",19,0,0
686301,441906,2015-04-30,"Senate Third Reading",14,4,2
688113,385232,2015-01-22,"Senate Third Reading",21,0,0
688454,385117,2015-01-21,"Senate Third Reading",21,0,0
688798,385348,2015-01-22,"Senate Third Reading",21,0,0
689139,384978,2015-01-21,"Senate Third Reading",21,0,0
692766,460525,2015-06-17,"Senate Third Reading",21,0,0
693122,385263,2015-01-22,"Senate Third Reading",21,0,0
693481,386474,2015-01-27,"House Third Reading",40,0,0
693481,387250,2015-01-29,"Senate Third Reading",21,0,0
700602,444342,2015-05-07,"Senate Third Reading",20,0,0
700645,444191,2015-05-07,"Senate Third Reading",18,2,0
700727,386555,2015-01-27,"Senate Third Reading",21,0,0
700768,455740,2015-06-02,"Senate Third Reading",16,3,1
700770,435949,2015-04-21,"House Third Reading",38,0,0
700800,546816,2015-05-12,"House Third Reading",40,0,0
700831,547227,2015-05-07,"House Third Reading",38,0,0
700844,387645,2015-01-29,"Senate Third Reading",21,0,0
700844,415474,2015-03-24,"House Third Reading",41,0,0
700844,417934,2015-03-26,"Senate Third Reading",20,0,0
700860,386388,2015-01-27,"Senate Third Reading",21,0,0
700887,462439,2015-06-24,"House Third Reading",39,0,0
702424,519342,2016-03-15,"Senate Third Reading",21,0,0
702424,520971,2016-03-17,"House Third Reading",37,0,0
704616,439728,2015-04-28,"House Third Reading",41,0,0
704754,387303,2015-01-29,"Senate Third Reading",21,0,0
704802,443843,2015-05-06,"Senate Third Reading",19,2,0
704802,445388,2015-05-12,"House Third Reading",39,0,0
704855,387304,2015-01-29,"Senate Third Reading",21,0,0
704902,387307,2015-01-29,"Senate Third Reading",21,0,0
705141,412893,2015-03-18,"Senate Third Reading",19,2,0
705141,464463,2015-07-01,"House Third Reading",40,0,0
705186,555146,2016-06-23,"House Third Reading",39,0,0
705232,461071,2015-06-18,"Senate Third Reading",12,9,0
705370,413355,2015-03-19,"Senate Third Reading",20,0,0
705370,524207,2016-03-24,"House Third Reading",37,0,0
705616,455712,2015-06-02,"House Third Reading",40,0,0
705616,483777,2015-03-24,"Senate Third Reading",11,9,0
713579,412552,2015-03-18,"Senate Third Reading",21,0,0
713579,417984,2015-03-26,"House Third Reading",37,1,0
713579,425498,2015-04-01,"Senate Third Reading",21,0,0
713784,464561,2015-07-01,"House Third Reading",40,0,0
754755,413425,2015-03-19,"House Third Reading",36,1,0
754755,424404,2015-03-31,"Senate Third Reading",21,0,0
754877,440612,2015-04-29,"Senate Third Reading",21,0,0
754996,460534,2015-06-17,"Senate Third Reading",14,7,0
754996,462019,2015-06-23,"House Third Reading",18,16,4
754996,462020,2015-06-23,"House Third Reading",31,5,2
754996,462673,2015-06-25,"Senate Third Reading",15,6,0
754996,484931,2016-01-14,"House Third Reading",13,26,1
755059,446354,2015-05-14,"Senate Third Reading",21,0,0
755119,443158,2015-05-05,"Senate Third Reading",19,0,0
755241,462095,2015-06-23,"Senate Third Reading",12,9,0
755241,462910,2015-06-25,"House Third Reading",39,1,0
755300,443769,2015-05-06,"Senate Third Reading",21,0,0
758644,459107,2015-06-11,"Senate Third Reading",13,7,1
759381,413640,2015-03-19,"Senate Third Reading",19,0,0
759579,455747,2015-06-02,"House Third Reading",39,0,0
759603,413325,2015-03-19,"Senate Third Reading",20,0,0
759628,439748,2015-04-28,"House Third Reading",41,0,0
759650,464493,2015-06-30,"House Third Reading",38,0,0
759676,445526,2015-05-12,"House Third Reading",40,0,0
759700,462625,2015-06-24,"House Third Reading",39,0,0
760131,443234,2015-05-05,"Senate Third Reading",20,0,0
760167,445296,2015-05-12,"Senate Third Reading",21,0,0
760207,464615,2015-07-01,"Senate Third Reading",20,0,0
760245,413763,2015-03-19,"Senate Third Reading",19,0,0
760284,488986,2016-01-28,"House Third Reading",16,23,0
760327,437530,2015-04-23,"Senate Third Reading",17,2,1
760366,413508,2015-03-19,"Senate Third Reading",19,0,0
761892,445268,2015-05-12,"Senate Third Reading",20,0,0
761921,440064,2015-04-28,"Senate Third Reading",12,8,1
762002,444096,2015-05-07,"Senate Third Reading",13,8,0
762031,545001,2016-05-11,"Senate Third Reading",20,0,0
762058,415178,2015-03-24,"Senate Third Reading",21,0,0
762085,415179,2015-03-24,"Senate Third Reading",21,0,0
762118,464570,2015-07-01,"House Third Reading",40,0,0
762183,444354,2015-05-07,"House Third Reading",38,0,0
762183,445536,2015-05-12,"Senate Third Reading",21,0,0
762487,416464,2015-03-25,"Senate Third Reading",21,0,0
762492,456534,2015-06-03,"Senate Third Reading",20,0,0
762602,446522,2015-05-14,"Senate Third Reading",19,0,0
762701,416513,2015-03-25,"Senate Third Reading",21,0,0
763258,417040,2015-03-26,"Senate Third Reading",21,0,0
763317,444139,2015-05-07,"Senate Third Reading",20,0,0
763317,446621,2015-05-14,"House Third Reading",37,0,0
763439,445899,2015-05-13,"Senate Third Reading",21,0,0
763439,446465,2015-05-14,"House Third Reading",37,1,0
764434,464312,2015-07-01,"House Third Reading",40,0,0
764912,426307,2015-04-02,"Senate Third Reading",20,0,0
764948,458263,2015-06-09,"Senate Third Reading",21,0,0
765054,438060,2015-04-23,"House Third Reading",37,2,0
765093,443175,2015-05-05,"House Third Reading",39,0,0
765131,464656,2015-07-01,"House Third Reading",40,0,0
765331,557130,2016-07-01,"Senate Third Reading",21,0,0
765379,517999,2016-03-10,"Senate Third Reading",20,1,0
765480,426114,2015-04-02,"Senate Third Reading",20,0,0
765531,425323,2015-04-01,"Senate Third Reading",21,0,0
765746,462825,2015-06-25,"House Third Reading",21,12,7
765746,462826,2015-06-25,"Senate Third Reading",20,1,0
765855,426091,2015-04-02,"Senate Third Reading",20,0,0
765877,445539,2015-05-12,"Senate Third Reading",21,0,0
765899,464616,2015-07-01,"Senate Third Reading",15,0,0
765921,426098,2015-04-02,"Senate Third Reading",20,0,0
765946,462650,2015-06-24,"Senate Third Reading",21,0,0
766011,464421,2015-07-01,"Senate Third Reading",20,0,0
766033,461061,2015-06-18,"Senate Third Reading",20,0,0
766033,462082,2015-06-23,"House Third Reading",40,0,0
766103,556905,2016-06-30,"House Third Reading",33,3,3
766194,464530,2015-07-01,"House Third Reading",38,2,0
766239,462598,2015-06-24,"House Third Reading",39,0,0
766239,464564,2015-07-01,"Senate Third Reading",21,0,0
766280,464503,2015-07-01,"House Third Reading",40,0,0
769617,463000,2015-06-25,"House Third Reading",40,0,0
769617,464634,2015-07-01,"Senate Third Reading",21,0,0
769789,464516,2015-07-01,"House Third Reading",40,0,0
769840,464386,2015-07-01,"House Third Reading",40,0,0
771952,442954,2015-05-05,"Senate Third Reading",16,4,0
771998,462491,2015-06-24,"Senate Third Reading",21,0,0
772020,462408,2015-06-24,"Senate Third Reading",20,0,0
772042,456644,2015-06-03,"Senate Third Reading",21,0,0
772066,555107,2016-06-23,"Senate Third Reading",19,0,0
772111,464491,2015-07-01,"Senate Third Reading",19,0,0
772133,446038,2015-05-13,"Senate Third Reading",21,0,0
772155,464637,2015-07-01,"Senate Third Reading",18,2,0
772199,446332,2015-05-14,"Senate Third Reading",19,0,0
773044,460536,2015-06-17,"Senate Third Reading",20,0,0
773065,464620,2015-07-01,"Senate Third Reading",20,0,0
773128,446383,2015-05-14,"Senate Third Reading",21,0,0
773187,464536,2015-06-30,"House Third Reading",38,0,0
773211,464264,2015-06-30,"House Third Reading",38,0,0
773233,461066,2015-06-18,"House Third Reading",36,0,2
773281,464455,2015-07-01,"House Third Reading",40,0,0
773531,464519,2015-07-01,"House Third Reading",35,5,0
773851,460527,2015-06-17,"Senate Third Reading",21,0,0
773886,461995,2015-06-23,"Senate Third Reading",21,0,0
773886,462794,2015-06-25,"House Third Reading",40,0,0
773905,461113,2015-06-18,"Senate Third Reading",20,0,0
773905,461986,2015-06-23,"House Third Reading",40,0,0
773926,437503,2015-04-23,"Senate Third Reading",20,0,0
773995,464498,2015-07-01,"Senate Third Reading",15,0,0
774013,442080,2015-04-30,"Senate Third Reading",20,0,0
774036,462449,2015-06-24,"House Third Reading",33,6,0
774054,464089,2015-06-30,"House Third Reading",38,0,0
774074,556108,2015-06-25,"House Third Reading",24,12,2
774753,547065,2016-05-19,"Senate Third Reading",20,0,0
774766,462580,2015-06-24,"Senate Third Reading",21,0,0
774779,459994,2015-06-16,"Senate Third Reading",13,5,2
774805,464202,2015-06-30,"Senate Third Reading",21,0,0
774834,464419,2015-06-30,"Senate Third Reading",21,0,0
774847,440025,2015-04-28,"Senate Third Reading",21,0,0
774859,464646,2015-07-01,"Senate Third Reading",20,0,0
774873,440032,2015-04-28,"Senate Third Reading",21,0,0
775269,459966,2015-06-16,"Senate Third Reading",21,0,0
775344,460976,2015-06-18,"House Third Reading",39,0,0
775358,461119,2015-06-18,"House Third Reading",39,0,0
775369,551755,2016-06-07,"House Third Reading",39,0,1
775369,552202,2016-06-09,"Senate Third Reading",17,4,0
775384,461086,2015-06-18,"House Third Reading",39,0,0
775396,485499,2016-01-19,"House Third Reading",39,0,0
775409,462027,2015-06-23,"Senate Third Reading",11,10,0
775419,459071,2015-06-11,"House Third Reading",40,0,0
775747,442145,2015-04-30,"Senate Third Reading",20,0,0
776521,464626,2015-06-30,"Senate Third Reading",20,0,0
776537,444229,2015-05-07,"Senate Third Reading",20,0,0
776569,464632,2015-07-01,"Senate Third Reading",15,0,0
776585,462722,2015-06-25,"Senate Third Reading",20,0,0
776602,460473,2015-06-17,"Senate Third Reading",21,0,0
776619,537476,2016-04-21,"Senate Third Reading",19,0,0
776696,544561,2016-05-10,"House Third Reading",40,0,0
776724,461043,2015-06-18,"House Third Reading",37,0,0
776757,485623,2016-01-19,"House Third Reading",39,0,0
776996,443830,2015-05-06,"Senate Third Reading",21,0,0
777009,464638,2015-07-01,"Senate Third Reading",15,0,0
777036,464568,2015-07-01,"Senate Third Reading",14,0,0
777065,444258,2015-05-07,"Senate Third Reading",20,0,0
777092,556838,2016-07-01,"Senate Third Reading",20,0,0
777105,444405,2015-05-07,"Senate Third Reading",20,0,0
777107,464613,2015-07-01,"House Third Reading",39,0,0
777141,462540,2015-06-24,"House Third Reading",39,0,0
777332,464142,2015-06-30,"Senate Third Reading",21,0,0
777488,444055,2015-05-07,"Senate Third Reading",18,0,0
777489,464643,2015-07-01,"House Third Reading",38,0,0
777501,459157,2015-06-11,"House Third Reading",40,0,0
777515,461189,2015-06-18,"House Third Reading",38,0,0
777515,462577,2015-06-24,"Senate Third Reading",19,1,1
777543,464497,2015-07-01,"House Third Reading",40,0,0
777803,462748,2015-06-25,"Senate Third Reading",11,10,0
777803,464618,2015-06-30,"Senate Third Reading",15,6,0
778290,462070,2015-06-23,"Senate Third Reading",20,0,1
778316,445310,2015-05-12,"Senate Third Reading",20,0,0
778341,445312,2015-05-12,"Senate Third Reading",21,0,0
778439,462031,2015-06-23,"House Third Reading",38,0,0
778507,556863,2016-06-30,"House Third Reading",39,0,0
778507,556864,2016-06-30,"Senate Third Reading",20,0,0
778530,464471,2015-07-01,"House Third Reading",39,0,0
778842,534899,2016-04-19,"Senate Third Reading",20,0,0
778861,446054,2015-05-13,"Senate Third Reading",21,0,0
778870,488729,2016-01-28,"Senate Third Reading",21,0,0
778879,464429,2015-07-01,"Senate Third Reading",21,0,0
778898,446483,2015-05-14,"Senate Third Reading",21,0,0
779314,462420,2015-06-24,"Senate Third Reading",17,4,0
779340,462750,2015-06-25,"Senate Third Reading",21,0,0
779428,446347,2015-05-14,"Senate Third Reading",21,0,0
779455,446350,2015-05-14,"Senate Third Reading",21,0,0
779481,462765,2015-06-25,"House Third Reading",40,0,0
779582,462814,2015-06-25,"House Third Reading",40,0,0
779609,463030,2015-06-25,"House Third Reading",40,0,0
779658,460980,2015-06-18,"Senate Third Reading",20,0,1
779658,461993,2015-06-23,"House Third Reading",40,0,0
779682,464484,2015-07-01,"House Third Reading",40,0,0
781023,464579,2015-07-01,"House Third Reading",38,0,1
781055,464445,2015-07-01,"House Third Reading",40,0,0
781227,464084,2015-06-30,"House Third Reading",22,15,2
782462,464350,2015-07-01,"House Third Reading",40,0,0
782627,464474,2015-06-30,"Senate Third Reading",20,0,0
782648,464645,2015-07-01,"Senate Third Reading",13,7,0
782668,464102,2015-06-30,"House Third Reading",38,0,0
782709,464449,2015-07-01,"Senate Third Reading",13,0,0
783554,462393,2015-06-24,"Senate Third Reading",21,0,0
783598,462582,2015-06-24,"Senate Third Reading",15,5,1
783624,464435,2015-07-01,"Senate Third Reading",21,0,0
783850,464092,2015-06-30,"House Third Reading",38,0,0
783855,464520,2015-07-01,"Senate Third Reading",21,0,0
783861,464617,2015-06-30,"Senate Third Reading",20,0,0
783866,462006,2015-06-23,"Senate Third Reading",14,7,0
783871,464529,2015-06-30,"Senate Third Reading",20,0,0
783877,553658,2016-06-16,"Senate Third Reading",15,2,3
783887,464571,2015-06-30,"House Third Reading",38,0,0
783893,462569,2015-06-24,"Senate Third Reading",21,0,0
783898,462696,2015-06-25,"Senate Third Reading",21,0,0
783904,464504,2015-07-01,"House Third Reading",40,0,0
783927,462532,2015-06-24,"House Third Reading",39,0,0
783936,464554,2015-07-01,"House Third Reading",40,0,0
783943,462918,2015-06-25,"House Third Reading",40,0,0
783950,522769,2016-03-22,"House Third Reading",40,0,0
783959,462487,2015-06-24,"House Third Reading",39,0,0
783968,519750,2016-03-15,"House Third Reading",37,0,0
784604,464242,2015-07-01,"Senate Third Reading",21,0,0
784609,464501,2015-07-01,"Senate Third Reading",15,0,0
784620,464549,2015-07-01,"Senate Third Reading",12,0,2
784625,457999,2015-06-09,"Senate Third Reading",21,0,0
784649,487480,2016-01-26,"House Third Reading",38,0,0
784664,464611,2015-06-30,"House Third Reading",38,0,0
784672,462772,2015-06-25,"House Third Reading",40,0,0
784680,516238,2016-03-08,"House Third Reading",39,0,0
784695,461038,2015-06-18,"House Third Reading",36,0,3
784702,464123,2015-06-30,"House Third Reading",37,0,2
784803,464112,2015-06-30,"Senate Third Reading",19,1,0
784820,556661,2016-06-30,"Senate Third Reading",17,0,0
784830,524398,2016-03-24,"Senate Third Reading",20,0,0
784850,462872,2015-06-25,"House Third Reading",40,0,0
784870,462933,2015-06-25,"House Third Reading",40,0,0
784988,462509,2015-06-24,"Senate Third Reading",21,0,0
785012,464304,2015-06-30,"Senate Third Reading",21,0,0
785035,464492,2015-06-30,"House Third Reading",33,4,0
785041,464469,2015-07-01,"House Third Reading",40,0,0
785048,464590,2015-06-30,"House Third Reading",38,0,0
785068,464343,2015-07-01,"Senate Third Reading",9,10,1
785089,464466,2015-06-30,"House Third Reading",38,0,0
785103,462837,2015-06-25,"House Third Reading",40,0,0
785551,462819,2015-06-25,"Senate Third Reading",21,0,0
785554,464636,2015-07-01,"Senate Third Reading",16,3,0
785561,464229,2015-07-01,"Senate Third Reading",15,3,3
785567,488407,2016-01-27,"Senate Third Reading",19,0,0
785570,519853,2016-03-15,"Senate Third Reading",17,0,1
785572,557133,2016-07-01,"Senate Third Reading",13,6,0
785572,557134,2016-07-01,"Senate Third Reading",18,2,0
785572,557135,2016-07-01,"House Third Reading",37,1,0
785581,464569,2015-06-30,"Senate Third Reading",21,0,0
785584,464552,2015-06-30,"Senate Third Reading",21,0,0
785587,557025,2016-07-01,"Senate Third Reading",20,0,0
785591,462936,2015-06-25,"House Third Reading",40,0,0
785602,464560,2015-07-01,"House Third Reading",40,0,0
785608,464653,2015-07-01,"House Third Reading",40,0,0
785614,462512,2015-06-24,"House Third Reading",39,0,0
785619,557143,2016-07-01,"House Third Reading",30,7,2
785692,557116,2016-06-30,"Senate Third Reading",20,0,0
785692,557117,2016-07-01,"House Third Reading",38,1,0
785698,464534,2015-07-01,"Senate Third Reading",20,0,0
785704,557009,2016-07-01,"Senate Third Reading",21,0,0
785726,464412,2015-07-01,"House Third Reading",40,0,0
785728,464644,2015-07-01,"House Third Reading",39,1,0
785729,556953,2016-07-01,"House Third Reading",36,0,0
785730,464422,2015-07-01,"House Third Reading",40,0,0
785955,462444,2015-06-24,"Senate Third Reading",21,0,0
785988,460831,2015-06-18,"Senate Third Reading",21,0,0
786000,464513,2015-06-30,"Senate Third Reading",20,0,0
786272,462483,2015-06-24,"Senate Third Reading",21,0,0
786285,464458,2015-07-01,"Senate Third Reading",14,0,0
786289,462479,2015-06-24,"Senate Third Reading",21,0,0
786297,464574,2015-07-01,"Senate Third Reading",14,0,0
786305,462485,2015-06-24,"Senate Third Reading",21,0,0
786308,464245,2015-07-01,"Senate Third Reading",15,6,0
786315,464090,2015-06-30,"House Third Reading",38,0,0
786320,464447,2015-07-01,"House Third Reading",40,0,0
786373,464535,2015-07-01,"House Third Reading",39,0,1
786385,464648,2015-07-01,"House Third Reading",39,1,0
786405,557122,2016-07-01,"Senate Third Reading",13,8,0
786430,464480,2015-06-30,"House Third Reading",38,0,0
786558,557026,2016-07-01,"House Third Reading",38,0,0
786913,557073,2016-07-01,"Senate Third Reading",12,9,0
789769,474726,2015-07-01,"House Third Reading",38,1,0
789801,546475,2016-05-18,"Senate Third Reading",21,0,0
789817,519840,2016-03-15,"House Third Reading",36,0,0
789865,552553,2016-06-14,"Senate Third Reading",21,0,0
789881,474732,2015-07-01,"House Third Reading",39,1,0
789937,474738,2015-07-01,"Senate Third Reading",21,0,0
789976,474749,2015-07-01,"Senate Third Reading",21,0,0
790038,474754,2015-07-01,"Senate Third Reading",20,1,0
799324,534885,2016-04-19,"Senate Third Reading",20,0,0
799348,543992,2016-05-10,"Senate Third Reading",20,0,0
799374,520423,2016-03-16,"Senate Third Reading",19,0,0
799374,524106,2016-03-24,"House Third Reading",38,0,0
799374,530907,2016-04-12,"Senate Third Reading",21,0,0
809520,556830,2016-07-01,"Senate Third Reading",20,0,0
809635,556696,2016-07-01,"Senate Third Reading",6,15,0
809664,488829,2016-01-28,"Senate Third Reading",21,0,0
810083,484937,2016-01-14,"House Third Reading",36,2,0
810083,486242,2016-01-21,"Senate Third Reading",20,0,1
810173,486078,2016-01-21,"Senate Third Reading",18,3,0
811827,519961,2016-03-15,"Senate Third Reading",21,0,0
812028,484713,2016-01-12,"House Third Reading",38,0,0
812229,488836,2016-01-28,"House Third Reading",38,0,0
812385,517893,2016-03-10,"House Third Reading",40,0,0
813996,484787,2016-01-13,"Senate Third Reading",21,0,0
814551,556709,2016-07-01,"Senate Third Reading",15,3,1
816663,488802,2016-01-28,"Senate Third Reading",18,3,0
816757,523927,2016-03-24,"Senate Third Reading",20,0,0
816851,556827,2016-07-01,"Senate Third Reading",15,4,0
816945,535482,2016-04-20,"Senate Third Reading",19,0,1
816947,488825,2016-01-28,"House Third Reading",39,0,0
817038,517472,2016-03-10,"House Third Reading",39,0,0
817128,531604,2016-04-12,"House Third Reading",38,0,0
817677,488595,2016-01-28,"Senate Third Reading",19,1,1
818568,485871,2016-01-20,"Senate Third Reading",21,0,0
818639,532053,2016-04-13,"Senate Third Reading",20,0,0
818708,485873,2016-01-20,"Senate Third Reading",18,0,0
818847,534608,2016-04-19,"Senate Third Reading",21,0,0
820137,540953,2016-05-03,"Senate Third Reading",21,0,0
