bill_number,bill_id,title
H0001,563605,"Genetically Engineered Foods"
H0003,563880,"Freight and Trade"
H0005,563877,"Traffic Safety"
H0007,563885,"Florida Kidcare Program"
H0009,563873,Legislature
H0011,564209,"Tax On Sales, Use &amp; Other Transactions"
H0013,564225,"Rental Car Surcharges"
H0017,564223,"Motorist Safety"
H0019,564227,"Pub. Rec./Yellow Dot Critical Motorist Medical Information Program"
H0021,564216,"County Employees"
H0023,564234,"Canned or Perishable Food Distributed Free of Charge"
H0025,564238,"Public School Curricular Standards and Assessments"
H0027,564232,"Statewide Prepaid Dental Program"
H0029,564241,"Mobile Home Park Lot Tenancies"
H0031,564252,Dentists
H0033,564220,Self-Defense
H0035,564302,"Resident Status for Tuition Purposes"
H0037,564303,"Involuntary Examinations Under the Baker Act"
H0039,564304,"Juries in Criminal Trials"
H0041,564305,"Florida Law Enforcement Officers&#39; Hall of Fame"
H0043,564306,"Inmate Reentry"
H0045,564682,"Requirements for Driver Licenses"
H0047,564683,"Spiny Lobster"
H0049,564684,"Springs Revival Act"
H0051,564685,"Resident Status for Tuition Purposes"
H0053,564686,"Inmate Reentry"
H0055,564687,"Aaron Cohen Life Protection Act"
H0057,564757,"Meetings of District School Boards"
H0059,564758,"Offenses Against Unborn Children"
H0061,567405,"Motor Vehicle License Taxes"
H0063,566051,"Transportation Facility Designations"
H0065,566699,"Specialty License Plates/Fallen Law Enforcement Officers"
H0067,567827,"Powers and Duties of District School Boards"
H0069,567891,"Pub. Rec./Names of Spouses and Children of Public Defenders and Criminal Conflict and Civil Regional Counsel"
H0071,567889,"Fracturing Chemical Usage Disclosure Act"
H0073,567890,"Sexual Offenders"
H0075,567892,"Presidential Electors"
H0077,567980,"Student Loans"
H0079,568063,"Classroom Materials"
H0083,568059,"Arts for All Students Act"
H0085,568057,"Literacy Jump Start Pilot Project"
H0087,568060,"Fine Arts Courses"
H0089,568058,"Threatened Use of Force"
H0091,568064,"State Ombudsman Program"
H0093,568138,"Disability Awareness"
H0095,568137,"Juvenile Civil Citations"
H0097,568141,"Access to Health Care for the Underserved"
H0099,568139,"Controlled Substances"
H0101,568136,"Habitual Traffic Offender Designations"
H0103,568140,"Possession or Discharge of a Firearm or Destructive Device During Commission of Specified Offenses"
H0105,568184,"Florida Civil Rights Act"
H0107,568205,"Driver Licenses"
H0109,568210,"Pub. Rec./Participants in Treatment-Based Drug Court Programs"
H0111,568212,"Pub. Rec./Forensic Behavioral Health Evaluations"
H0113,568206,"Discretionary Sales Surtaxes"
H0115,568363,"Public Meetings/University Direct-Support Organization"
H0117,568361,"Public Retirement Plans"
H0121,568499,"Agricultural Lands Classification"
H0123,568616,"Fees and Costs in Guardianship Proceedings"
H0125,568615,"Pub. Rec./Claim Settlement on Behalf of Minor or Ward"
H0127,568617,"Motorsports Entertainment Complexes"
H0129,568608,"Sinkhole Coverage"
H0131,568612,"Henry Morrison Flagler Memorial"
H0133,568620,"Legislative Lobbying Expenditures"
H0135,568610,"Public Records &amp; Public Meetings/Postsecondary Education Executive Search"
H0137,568609,"Renaming of Florida College System Institutions"
H0139,568614,"Athletic Coaches for Youth Athletic Teams"
H0141,568613,"Florida Enterprise Zone Act"
H0143,568731,"Florida Insurance Guaranty Association"
H0145,568809,"Specialty License Plates/Sun, Sea, &amp; Smiles"
H0147,568808,"Concrete Masonry Education"
H0149,568810,"School District Educational Programs"
H0151,569053,"Security of a Protected Consumer&#39;s Information"
H0153,569051,"Nicotine Dispensing Devices"
H0155,569050,"Defense Contracting"
H0157,569052,"Pub. Rec./Fracturing Chemical Usage Disclosure Act"
H0159,569094,"Establishment of Mental Health First Aid Training Program"
H0161,569097,"Indecent Exposure"
H0163,569096,"Employment Discrimination"
H0165,569093,"Economic Development"
H0167,569145,Telemedicine
H0169,569142,"Tobacco and Nicotine Product Regulation"
H0171,569187,"Public Assistance Fraud"
H0173,569186,"Juvenile Justice Education Programs"
H0175,569184,"Emergency Communication System"
H0177,569188,"Pub. Rec./Prepaid Wireless E911 Fee"
H0179,569236,"Voter Registration"
H0181,569233,"Indecent Exposure"
H0183,569394,"Drivers Leaving the Scene of a Crash"
H0185,569395,"Gasoline Stations"
H0187,569390,"Civil Remedies Against Insurers"
H0189,569391,"Growth Management"
H0191,569392,"Public School Personnel Evaluation"
H0193,569574,"Use of Deadly Force"
H0195,569640,"Education Data Privacy"
H0197,569646,"Qualified Portable Consumer Fuel Containers"
H0199,569639,"College and Career Readiness"
H0201,569641,Flags
H0203,569643,"Unaccompanied Homeless Youth"
H0205,569775,"Resident Status for Tuition Purposes"
H0207,569897,Agriculture
H0209,569898,"Carrying Concealed Weapon or Concealed Firearm"
H0211,569895,"Community Health Workers"
H0213,569896,"Underground Facility Damage Prevention &amp; Safety"
H0215,569949,"Federal Write-in Absentee Ballot"
H0217,569948,"Streamlined Sales and Use Tax Agreement"
H0219,569951,"Tax Incentives"
H0221,569944,"Sexual Orientation Change Therapy"
H0223,569965,"Professional Geology"
H0225,569976,"Child Safety Devices in Motor Vehicles"
H0227,569974,"Victims of Wrongful Incarceration"
H0229,569973,"Water and Wastewater Utility Systems"
H0231,570147,"Admissions Tax"
H0235,570297,"Department of Economic Opportunity"
H0237,570299,"Impact Statements"
H0239,570342,"Prohibited Discrimination"
H0241,570346,"Developments of Regional Impact"
H0245,570401,"Charter Schools"
H0247,570397,"Trafficking in Illegal Drugs"
H0249,570417,"Corporate Income Tax"
H0251,570414,"Unemployment Compensation"
H0255,570419,"Discriminatory Insurance Practices"
H0257,570413,"Medical Tax Exemptions"
H0259,570492,"Public Roadways &amp; Rail Corridors"
H0263,570498,"Self-Administration of Medication in Assisted Living Facilities"
H0265,570499,"Arrest Booking Photographs"
H0267,570497,"Motor Vehicle Liability Insurance"
H0269,570485,"Pub. Rec./Bodily Injury Liability Insurance Policies"
H0271,570486,"Workers&#39; Compensation"
H0273,570619,"Food Allergies"
H0275,570616,"Postsecondary Student Tuition"
H0277,570615,"Joint Use of Public School Facilities"
H0279,570623,"Public School Instruction"
H0283,570612,"Malt Beverages"
H0287,570855,"Certificates of Need"
H0289,570851,"Patient Lifting and Handling Practices"
H0291,570854,"Warranty Associations"
H0293,570850,"Use of Deadly Force"
H0295,570852,"Employment after Retirement of School District Personnel"
H0297,570949,"Florida Bright Futures Scholarship Program"
H0299,570952,"Alcohol or Drug Impairment"
H0301,571018,"Medical Examiners"
H0303,571017,"Licensing of Facilities that Offer Health &amp; Human Services"
H0305,571093,"Regulation of Firearms and Ammunition"
H0307,571092,"Regulation of Public Lodging Establishments &amp; Public Food Service Establishments"
H0309,571188,"Florida Clean Indoor Air Act"
H0311,571181,"Orlando-Orange County Expressway Authority"
H0313,571318,"Single-Gender Public School Programs"
H0315,571317,"Local Land Development Regulations"
H0317,571319,"Driver Licenses &amp; Driving Privileges"
H0319,571362,"Maximum Class Size"
H0321,571361,"Title Insurance"
H0323,571367,Pharmacy
H0325,571368,Brownfields
H0329,571603,"Restoration of Civil Rights"
H0331,571608,"Residential Tenant Insurance Policies"
H0333,571607,"Texting While Driving"
H0335,571729,"Persons Excused from Jury Service"
H0337,571728,"Florida Teachers Classroom Supply Assistance Program"
H0339,571849,"Closing the Gap Grant Program"
H0341,571850,"Use of Tobacco Products in Motor Vehicles"
H0343,572888,"Rental Car Surcharge"
H0345,572869,Transportation
H0347,572865,"Commercial and Recreational Water Activities"
H0349,572891,"Health Care Coverage"
H0351,572874,"Neighborhood Improvement Districts"
H0353,572896,"Expressway Authorities"
H0355,572887,"Postsecondary Education Textbook and Instructional Materials Affordability"
H0357,572903,"Water and Wastewater Utility Systems"
H0359,572895,"Renovation of Educational Facilities"
H0361,572884,"State Lotteries"
H0363,572883,"Law Enforcement and Correctional Officers"
H0365,572875,"No Contact Orders"
H0367,572921,"Financial Literacy Instruction in the Public Schools"
H0369,572923,"Sentencing in Capital Felonies"
H0371,572920,"Law Enforcement Services Assessment"
H0373,573042,Hospitals
H0375,573045,Insurance
H0377,573043,"Educational Facilities Financing"
H0379,573334,"Damages in Negligence Actions"
H0383,573338,"Employment of Felons"
H0385,573325,"State Minimum Wage"
H0387,573332,"Malt Beverage Tastings"
H0389,573335,"Ad Valorem Taxation"
H0391,573320,"Florida Catastrophic Storm Risk Management Center"
H0393,573322,"Identification Cards &amp; Driver Licenses"
H0395,573337,"Growth Management"
H0397,573348,"Firearm Safety Devices"
H0399,573321,"Pub. Rec./Homelessness Surveys and Databases"
H0401,573341,"Noncancelable Insurance Policies"
H0403,573461,Taxis
H0405,573457,Trusts
H0407,573462,"Notaries Public"
H0409,573682,"Offenses Against Vulnerable Persons"
H0411,573686,"Labor Pools"
H0413,573687,"Consumer Collection Practices"
H0415,573684,"Pub. Rec./Investigations and Examinations by Office of Financial Regulation"
H0417,573683,"Florida School for the Deaf and the Blind"
H0419,573690,"Pub. Rec./Department of Health"
H0421,573689,"Pub. Rec./Taxpayer&#39;s E-mail Address"
H0423,573730,Cemeteries
H0425,573766,Condominiums
H0427,573768,"Traveling Across County Lines to Commit a Burglary"
H0429,573767,Hearsay
H0431,573941,"Child Welfare Training and Certification"
H0433,573949,Education
H0435,573950,"Municipal Bonds"
H0437,573945,"Diabetes Advisory Council"
H0439,574691,"Florida Families Act"
H0441,574836,"Food Deserts"
H0443,574838,"Florida Catastrophic Storm Risk Management Center"
H0445,574845,"Time Limitations"
H0447,574843,"Optional Medical Payments for Prenatal Care"
H0449,574828,Sharks
H0451,574949,Bullying
H0453,574948,"Fair Housing Act"
H0455,574947,"Restitution for Juvenile Offenses"
H0457,575022,"Pub. Rec./Dental Workforce Surveys"
H0459,575036,"Payment for Services by Licensed Psychologists"
H0461,575387,"Prosecution of Juveniles"
H0463,575388,"Background Screening"
H0465,575573,"Hepatitis C Testing"
H0467,575574,"Sentencing in Capital Felonies"
H0469,576097,"Move Over Act"
H0471,576633,Insurance
H0475,577092,"Disclosure of Sexually Explicit Images"
H0479,577135,"Substance Abuse Services"
H0481,577048,"Pub. Rec./Voter Registration"
H0483,577311,Autism
H0485,577251,"Sexual Offenses Against Students by Authority Figures"
H0487,577282,"Agricultural Industry Certifications"
H0489,577221,"Subsurface Rights"
H0491,577342,"Infectious Disease Elimination Pilot Program"
H0493,577369,"State Parks"
H0495,577357,"Residency of Candidates and Public Officers"
H0497,577296,"Involuntary Examinations of Minors"
H0499,577267,"Use of Tanning Facility by a Minor"
H0501,577722,"Physician Assistants"
H0503,577692,"Municipal Governing Body Meetings"
H0505,577922,"Discrimination in Employment Screening"
H0507,577928,"Surcharge on Cigarettes"
H0509,577900,"Local Government Pension Reform"
H0511,577935,"Cancer Control and Research"
H0513,577923,"State Poet Laureate"
H0515,577917,"Public Assistance Fraud"
H0517,577933,"Fraudulent Controlled Substance Prescriptions"
H0519,577938,"Unemployment Compensation"
H0521,577912,"Transportation Facility Designations"
H0523,578471,"Licensure to Carry a Concealed Weapon or Firearm"
H0525,578339,"Pub. Rec./Personal Identifying Information/Licensure to Carry Concealed Weapon or Firearm"
H0527,578428,"Social Media Privacy"
H0529,578385,"Sexual Predators and Offenders"
H0531,578985,"Public Health Trusts"
H0533,579193,"Student Eligibility for Extracurricular Activities"
H0535,579303,"Transactions in Fresh Produce Markets"
H0537,579567,"Commercial Motor Vehicle Review Board"
H0539,579874,"Use of Wireless Communications Devices While Driving"
H0541,581407,"Public-Private Partnerships"
H0543,581561,"Public Records &amp; Public Meetings/Public-Private Partnerships/State Universities"
H0545,581438,Abortion
H0547,581531,"State Lotteries"
H0549,581380,"Capital Investment Tax Credit"
H0551,581470,Abortion
H0553,581657,"Traffic Control Devices"
H0555,581662,"Pub. Rec./Traffic Infraction Detectors"
H0557,581943,"Florida Bright Futures Scholarship Program"
H0559,582270,"Military Veterans"
H0561,582225,"Attorneys for Dependent Children with Special Needs"
H0563,582317,"Nursing Homes"
H0565,582131,Insurance
H0567,583067,"Hurricane Preparedness"
H0569,583162,"Nursing Home Litigation"
H0571,583358,"Residency of Candidates and Public Officers"
H0573,583498,"Health of Residents"
H0575,583513,Agriculture
H0577,583537,"Concealed Weapons and Firearms"
H0579,583524,"Certification of Assisted Living Facility Administrators"
H0581,583560,"Flood Insurance"
H0585,583472,"Abuse of Parent"
H0587,583550,"Charitable Exemption from Ad Valorem Taxation"
H0589,586804,"Children and Youth Cabinet"
H0591,586650,"Newborn Health Screening"
H0593,587457,"Building Construction"
H0595,587723,"Council on the Social Status of Black Men and Boys"
H0597,587606,"Delinquency Pretrial Intervention Programs"
