bill_id,date,action
781664,2015-05-22,Filed
781664,2015-06-01,Introduced
781664,2015-06-01,"Referred to Appropriations"
781664,2015-06-01,"Withdrawn from Appropriations"
781664,2015-06-01,"Placed on Calendar, on 2nd reading"
781664,2015-06-01,"Read 2nd time"
781664,2015-06-01,"Read 3rd time"
781664,2015-06-01,"Passed; YEAS 35 NAYS 0"
781664,2015-06-01,"The Senate requests that the House pass the bill as passed by the Senate or agree to include the bill in the Budget Conference"
781664,2015-06-01,"In Messages"
781664,2015-06-03,"Referred to Calendar"
781664,2015-06-03,Received
781664,2015-06-03,"Placed on Special Order Calendar, 06/04/15"
781664,2015-06-04,"Read 2nd time"
781664,2015-06-04,"Amendment(s) adopted (426697)"
781664,2015-06-04,"Read 3rd time"
781664,2015-06-04,"Passed as amended; YEAS 106 NAYS 0"
781664,2015-06-04,"Refused to pass the Senate bill as passed by the Senate and acceded to the request for conference"
781664,2015-06-04,"In returning messages"
781664,2015-06-05,"Conference Committee appointed: Appropriations Conference Committee: Lee (Chair), Benacquisto (Vice Chair), Flores (At Large), Galvano (At Large), Grimsley (At Large), Joyner (At Large), Margolis (At Large), Richter (At Large), Simmons (At Large), Smith (At Large); Appropriations Conference Committee on Criminal and Civil Justice/Justice: Negron (Chair), Bradley, Evers, Flores, Hutson, Joyner; Appropriations Conference Committee on Education/Education: Gaetz (Chair), Bullard, Galvano, Legg, Montford, Simmons, Stargel; Appropriations Conference Committee on General Government/Government Operations: Hays (Chair), Altman, Braynon, Dean, Margolis, Simpson; Appropriations Conference Committee on Health and Human Services/Health Care: Garcia (Chair), Bean, Benacquisto, Grimsley, Richter, Smith, Sobel; Appropriations Conference Committee on Transportation, Tourism, and Economic Development/Transportation and Economic Development: Latvala (Chair), Brandes, Clemens, Detert, Diaz de la Portilla, Gibson, Hukill, Sachs, Thompson"
781664,2015-06-19,"Died in returning Messages, companion bill(s) passed, see SB 2500-A (Ch. 2015-232)"
781668,2015-05-22,Filed
781668,2015-06-01,Introduced
781668,2015-06-01,"Referred to Appropriations"
781668,2015-06-01,"Withdrawn from Appropriations"
781668,2015-06-01,"Placed on Calendar, on 2nd reading"
781668,2015-06-01,"Read 2nd time"
781668,2015-06-01,"Read 3rd time"
781668,2015-06-01,"Passed; YEAS 36 NAYS 0"
781668,2015-06-01,"The Senate requests that the House pass the bill as passed by the Senate or agree to include the bill in the Budget Conference"
781668,2015-06-01,"In Messages"
781668,2015-06-03,"Referred to Calendar"
781668,2015-06-03,Received
781668,2015-06-03,"Placed on Special Order Calendar, 06/04/15"
781668,2015-06-04,"Read 2nd time"
781668,2015-06-04,"Amendment(s) adopted (232881)"
781668,2015-06-04,"Read 3rd time"
781668,2015-06-04,"Passed as amended; YEAS 106 NAYS 0"
781668,2015-06-04,"Refused to pass the Senate bill as passed by the Senate and acceded to the request for conference"
781668,2015-06-04,"In returning messages"
781668,2015-06-05,"Conference Committee appointed: Appropriations Conference Committee: Lee (Chair), Benacquisto (Vice Chair), Flores (At Large), Galvano (At Large), Grimsley (At Large), Joyner (At Large), Margolis (At Large), Richter (At Large), Simmons (At Large), Smith (At Large); Appropriations Conference Committee on Criminal and Civil Justice/Justice: Negron (Chair), Bradley, Evers, Flores, Hutson, Joyner; Appropriations Conference Committee on Education/Education: Gaetz (Chair), Bullard, Galvano, Legg, Montford, Simmons, Stargel; Appropriations Conference Committee on General Government/Government Operations: Hays (Chair), Altman, Braynon, Dean, Margolis, Simpson; Appropriations Conference Committee on Health and Human Services/Health Care: Garcia (Chair), Bean, Benacquisto, Grimsley, Richter, Smith, Sobel; Appropriations Conference Committee on Transportation, Tourism, and Economic Development/Transportation and Economic Development: Latvala (Chair), Brandes, Clemens, Detert, Diaz de la Portilla, Gibson, Hukill, Sachs, Thompson"
781668,2015-06-19,"Died in returning Messages, companion bill(s) passed, see SB 2500-A (Ch. 2015-232)"
781673,2015-05-22,Filed
781673,2015-06-01,Introduced
781673,2015-06-01,"Referred to Appropriations"
781673,2015-06-01,"Withdrawn from Appropriations"
781673,2015-06-01,"Placed on Calendar, on 2nd reading"
781673,2015-06-01,"Read 2nd time"
781673,2015-06-01,"Read 3rd time"
781673,2015-06-01,"Passed; YEAS 35 NAYS 0"
781673,2015-06-01,"The Senate requests that the House pass the bill as passed by the Senate or agree to include the bill in the Budget Conference"
781673,2015-06-01,"In Messages"
781673,2015-06-03,"Referred to Calendar"
781673,2015-06-03,Received
781673,2015-06-03,"Placed on Special Order Calendar, 06/04/15"
781673,2015-06-04,"Read 2nd time"
781673,2015-06-04,"Amendment(s) adopted (829207)"
781673,2015-06-04,"Read 3rd time"
781673,2015-06-04,"Passed as amended; YEAS 82 NAYS 24"
781673,2015-06-04,"Refused to pass the Senate bill as passed by the Senate and acceded to the request for conference"
781673,2015-06-04,"In returning messages"
781673,2015-06-05,"Conference Committee appointed: Representatives Corcoran (Chair), Boyd (Vice Chair), Broxson, Combee, Gonzalez, La Rosa, Mayfield, Smith, Pilon, Trumbull, Bracy, Jacobs, Powell, Watson, C., Adkins, Cortes, B., Diaz, M., Fitzenhagen, Porter, Rodrigues, R., Stone, Lee, Slosberg, Taylor, Baxley, Eagle, Passidomo, Plasencia, Raulerson, Antone, Campbell, Dudley, Narain, Brodeur, Cummings, Fant, Harrell, Magar, Pigman, Renner, Stevenson, Berman, Murphy, Ahern, Burgess, Grant, Hill, Latvala, Miller, Spano, Edwards, McGhee, Pritchett, Artiles, Avila, Burton, Drake, Moraitis, Perry, Peters, Ray, Fullwood, Jones, S., Rogers, Stark, Albritton (At Large), Caldwell (At Large), Diaz, J. (At Large), Eisnaugle (At Large), Fresen (At Large), Gaetz (At Large), Goodson (At Large), Hudson (At Large), Ingram (At Large), McBurney (At Large), Metz (At Large), Nunez (At Large), Oliva (At Large), O'Toole (At Large), Porter (At Large), Raschein (At Large), Wood (At Large), Young (At Large), Clarke-Reed (At Large), Cruz (At Large), Jones, M. (At Large), Pafford (At Large), Richardson (At Large), Rouson (At Large), Stafford (At Large), Williams (At Large)"
781673,2015-06-05,"Conference Committee appointed: Appropriations Conference Committee: Lee (Chair), Benacquisto (Vice Chair), Flores (At Large), Galvano (At Large), Grimsley (At Large), Joyner (At Large), Margolis (At Large), Richter (At Large), Simmons (At Large), Smith (At Large); Appropriations Conference Committee on Criminal and Civil Justice/Justice: Negron (Chair), Bradley, Evers, Flores, Hutson, Joyner; Appropriations Conference Committee on Education/Education: Gaetz (Chair), Bullard, Galvano, Legg, Montford, Simmons, Stargel; Appropriations Conference Committee on General Government/Government Operations: Hays (Chair), Altman, Braynon, Dean, Margolis, Simpson; Appropriations Conference Committee on Health and Human Services/Health Care: Garcia (Chair), Bean, Benacquisto, Grimsley, Richter, Smith, Sobel; Appropriations Conference Committee on Transportation, Tourism, and Economic Development/Transportation and Economic Development: Latvala (Chair), Brandes, Clemens, Detert, Diaz de la Portilla, Gibson, Hukill, Sachs, Thompson"
781673,2015-06-19,"Conference Committee Report received"
781673,2015-06-19,"Conference Committee Report adopted (651318)"
781673,2015-06-19,"Passed as amended by Conference Committee Report; YEAS 37 NAYS 0"
781673,2015-06-19,"In returning messages"
781673,2015-06-19,"Conference Committee Report considered"
781673,2015-06-19,"Conference Committee Report adopted (651318)"
781673,2015-06-19,"Passed as amended by Conference Committee Report; YEAS 94 NAYS 19"
781673,2015-06-19,"Ordered engrossed, then enrolled"
781673,2015-06-19,"Signed by Officers and presented to Governor"
781673,2015-06-23,"Approved by Governor"
781673,2015-06-23,"Chapter No. 2015-222, companion bill(s) passed, see SB 2500-A (Ch. 2015-232), SB 2516-A (Ch. 2015-229)"
781678,2015-05-22,Filed
781678,2015-06-01,Introduced
781678,2015-06-01,"Referred to Appropriations"
781678,2015-06-01,"Withdrawn from Appropriations"
781678,2015-06-01,"Placed on Calendar, on 2nd reading"
781678,2015-06-01,"Read 2nd time"
781678,2015-06-01,"Read 3rd time"
