bill_id,roll_call_id,date,description,yea,nay,nv
791344,490737,2016-02-03,"House: Third Reading RCS#514",117,0,3
791344,511081,2016-03-02,"Senate: Third Reading RCS#13",37,0,3
791354,506020,2016-02-24,"House: Third Reading RCS#620",117,0,3
791354,513977,2016-03-04,"Senate: Third Reading RCS#40",38,0,2
791356,488134,2016-01-27,"House: Third Reading RCS#480",118,0,2
791356,504135,2016-02-23,"Senate: Third Reading RCS#6",35,0,4
791356,509819,2016-03-01,"House: Third Reading RCS#644",113,0,7
791361,488835,2016-01-28,"Senate: Third Reading RCS#10",38,0,0
791361,511904,2016-03-02,"House: Third Reading RCS#674",115,0,5
791364,488318,2016-01-27,"House: Third Reading RCS#484",118,0,2
791364,495703,2016-02-11,"Senate: Third Reading RCS#7",40,0,0
791365,485008,2016-01-15,"Senate: Third Reading RCS#5",35,0,0
791365,505513,2016-02-24,"House: Third Reading RCS#593",115,1,4
791365,517664,2016-03-10,"Senate: Third Reading RCS#22",40,0,0
791367,505727,2016-02-24,"Senate: Third Reading RCS#12",37,2,1
791367,511370,2016-03-02,"House: Third Reading RCS#648",95,20,5
791368,486228,2016-01-21,"Senate: Third Reading RCS#8",38,0,0
791377,488001,2016-01-27,"House: Third Reading RCS#485",116,0,4
791377,511622,2016-03-02,"Senate: Third Reading RCS#17",38,0,2
791380,511643,2016-03-02,"House: Third Reading RCS#647",116,0,4
791387,506160,2016-02-24,"House: Third Reading RCS#594",117,0,3
791387,511689,2016-03-02,"Senate: Third Reading RCS#11",37,0,3
791392,495629,2016-02-11,"Senate: Third Reading RCS#22",39,0,1
791392,515221,2016-03-08,"House: Third Reading RCS#790",110,5,5
791400,485021,2016-01-15,"Senate: Third Reading RCS#3",33,0,2
791400,516334,2016-03-09,"House: Third Reading RCS#836",117,0,3
791404,495692,2016-02-11,"Senate: Third Reading RCS#2",31,7,2
791404,505316,2016-02-24,"House: Third Reading RCS#600",88,19,13
791405,488261,2016-01-27,"House: Third Reading RCS#482",118,0,2
791405,488958,2016-01-28,"Senate: Third Reading RCS#11",38,0,0
791407,518193,2016-03-11,"Senate: Third Reading RCS#6",40,0,0
791408,488646,2016-01-28,"Senate: Third Reading RCS#7",37,0,1
791408,490681,2016-02-03,"House: Third Reading RCS#524",118,0,2
