bill_id,roll_call_id,date,description,yea,nay,nv
65211,137002,2009-03-12,"House Vote #284 - Pass",101,64,7
65211,137003,2009-04-01,"Senate Vote #355 - Passage By Substitute",30,17,4
65211,137004,2009-04-03,"House Vote #495 - Agree Sen Sub As Am",121,47,10
65211,137005,2009-04-03,"Senate Vote #454 - Agree To House Amendment To Senate Substitute",38,16,2
65225,136919,2009-03-12,"House Vote #263 - Jacobs Am",140,26,6
65225,136920,2009-03-12,"House Vote #264 - Loudermilk Am 21 3649",79,88,5
65225,136921,2009-03-12,"House Vote #265 - Loudermilk Am Recon",106,60,6
65225,136922,2009-03-12,"House Vote #266 - Loudermilk Am",96,69,7
65225,136923,2009-03-12,"House Vote #267 - Pass",155,8,9
65225,136924,2009-04-03,"Senate Vote #407 - Passage By Substitute",39,10,1
65225,136925,2009-04-03,"House Vote #520 - Suspend One Hour Rule",87,82,10
65225,136926,2009-04-03,"House Vote #526 - Suspend One Hour Rule",67,97,15
65232,136879,2009-03-12,"House Vote #259 - Pass",138,34,4
65232,136880,2010-04-27,"Senate Vote #811 - Passage By Substitute",47,0,6
65238,136858,2009-02-17,"House Vote #50 - Pass",152,7,14
65238,136859,2009-03-30,"Senate Vote #295 - Passage By Substitute",47,0,6
65238,136860,2009-04-03,"House Vote #510 - Adopt Ccr",161,9,5
65238,136861,2009-04-04,"Senate Vote #469 - Adopt Conference Report",45,8,3
65253,136816,2009-03-12,"House Vote #223 - Pass",156,0,22
65254,136812,2009-03-04,"House Vote #128 - Pass",102,63,4
65255,136807,2009-02-05,"House Vote #22 - Pass",164,0,9
65255,136808,2009-03-30,"Senate Vote #296 - Passage As Amended",47,4,3
65255,136809,2009-04-01,"House Vote #423 - Agree Sen Am",154,1,17
65258,136787,2009-02-03,"House Vote #17 - Pass",170,0,7
65258,136788,2009-03-30,"Senate Vote #297 - Passage",52,0,3
65259,136782,2009-02-25,"House Vote #83 - Pass",160,0,9
65263,136772,2010-02-04,"House Vote #552 - Pass",164,0,8
65265,136763,2009-03-05,"House Vote #145 - Pass",139,16,8
65265,136764,2009-04-03,"Senate Vote #402 - Passage By Substitute",51,1,4
65265,136765,2009-04-03,"Senate Vote #461 - Recede From Senate Substitute",41,7,8
65266,136759,2009-03-10,"House Vote #192 - Pass",156,1,9
65266,136760,2009-03-30,"Senate Vote #298 - Passage By Substitute",54,1,0
65266,136761,2009-04-03,"House Vote #449 - Agree Sen Sub As Am",167,1,9
65266,136762,2009-04-03,"Senate Vote #460 - Agree To House Amendment To Senate Substitute",45,7,4
65268,136754,2009-02-19,"House Vote #60 - Pass",158,0,11
65268,136755,2009-03-17,"Senate Vote #219 - Passage",48,0,5
65269,136745,2009-02-02,"House Vote #15 - Pass",165,0,6
65269,136746,2009-03-25,"Senate Vote #249 - Passage",46,1,6
65272,136729,2009-03-05,"House Vote #146 - Pass",139,0,26
65272,136730,2009-04-01,"Senate Vote #345 - Adoption Of Amendment #4 By Senator From The 39th To Committee Sub",14,38,3
65272,136731,2009-04-01,"Senate Vote #346 - Adoption Of Amendment #5 By Senator From The 3rd To Committee Sub",18,37,0
65272,136732,2009-04-01,"Senate Vote #347 - Adoption Of Amendment #6 By Senator From The 3rd To Committee Sub",18,36,1
65272,136733,2009-04-01,"Senate Vote #348 - Passage By Substitute",48,6,1
65272,136734,2009-04-03,"House Vote #516 - Adopt Ccr",163,3,13
65272,136735,2009-04-03,"Senate Vote #458 - Adopt Conference Committee Report",41,11,4
65273,136721,2009-02-24,"House Vote #70 - Pass",164,1,9
65273,136722,2009-04-01,"Senate Vote #349 - Passage By Substitute",51,0,4
65273,136723,2009-04-03,"House Vote #460 - Agree Sen Sub",166,2,10
65277,136710,2009-03-05,"House Vote #138 - Pass",154,0,10
65277,136711,2009-03-26,"Senate Vote #275 - Passage By Substitute",51,0,0
65277,136712,2009-04-03,"Senate Vote #410 - Adopt Conference Committee Report",47,0,3
65277,136713,2009-04-03,"House Vote #482 - Adopt Ccr",148,1,25
65278,136706,2009-02-06,"House Vote #27 - Pass",158,4,7
65278,136707,2009-04-01,"Senate Vote #350 - Passage By Substitute",50,0,3
65278,136708,2009-04-03,"House Vote #445 - Agree Sen Sub",159,1,15
65280,136695,2009-02-11,"House Vote #35 - Pass",161,13,1
65280,136696,2009-03-20,"Senate Vote #234 - Passage By Substitute",45,0,5
65280,136697,2009-03-25,"House Vote #331 - Agree Sen Sub",148,5,14
65283,136674,2009-03-03,"House Vote #100 - Pass",157,0,12
65283,136675,2009-03-30,"Senate Vote #299 - Passage",52,0,3
65289,136641,2009-02-05,"House Vote #23 - Pass",164,0,9
65289,136642,2009-03-18,"Senate Vote #224 - Passage",47,0,7
65295,136610,2009-03-04,"House Vote #127 - Pass",159,0,8
65295,136611,2009-04-01,"Senate Vote #351 - Passage",50,0,4
65302,136584,2009-03-10,"House Vote #196 - Pass",163,0,5
65302,136585,2009-03-26,"Senate Vote #276 - Passage",49,0,2
65307,136569,2009-02-06,"House Vote #25 - Local Calendar",151,0,18
65307,136570,2009-03-19,"Senate Vote #227 - Local Consent Calendar",51,0,2
65309,136550,2009-02-24,"House Vote #68 - Pass",98,69,9
65309,136551,2009-03-20,"Senate Vote #235 - Adoption Of Amendment #1 By The Senator From The 36th",16,31,2
65309,136552,2009-03-20,"Senate Vote #236 - Passage",35,12,2
65310,136541,2009-02-25,"House Vote #84 - Pass",156,0,13
65310,136542,2009-04-01,"Senate Vote #352 - Passage By Substitute",50,1,3
65310,136543,2009-04-03,"House Vote #454 - Agree Sen Sub",149,1,29
65317,136517,2009-02-19,"House Vote #64 - Pass",147,11,10
65323,136500,2009-02-06,"House Vote #25 - Local Calendar",151,0,18
65323,136501,2009-02-17,"Senate Vote #48 - Local Consent Calendar",52,0,2
65324,136493,2009-03-10,"House Vote #180 - Pass",142,15,12
65324,136494,2009-03-30,"Senate Vote #300 - Adoption Of Amend #1a By Sen From The 56th To Amend #1 By Sen From The 29th",33,20,1
65324,136495,2009-03-30,"Senate Vote #301 - Reconsideration Amendment #1a",25,29,2
65324,136496,2009-03-30,"Senate Vote #302 - Motion To Table",37,18,1
65325,136487,2009-02-11,"House Vote #36 - Pass",134,31,10
65325,136488,2009-03-25,"Senate Vote #250 - Passage",46,2,4
65326,136478,2009-01-29,"House Vote #10 - Pass",148,0,21
65326,136479,2009-03-03,"Senate Vote #100 - Passage",50,0,4
65327,136467,2009-02-26,"House Vote #91 - Pass",168,5,3
65327,136468,2009-03-05,"Senate Vote #122 - Passage By Substitute",49,2,3
65327,136469,2009-03-10,"Senate Vote #166 - Adopt Conference Committee Report",54,0,1
65327,136470,2009-03-10,"Senate Vote #167 - Motion To Immediately Transmit To Governor",53,0,2
65327,136471,2009-03-10,"House Vote #202 - Adopt Ccr",153,3,12
65327,136472,2009-03-10,"House Vote #203 - Im Trans To Gov",156,0,12
65328,136459,2009-03-19,"House Vote #301 - Suspend Rules",57,111,7
65328,136460,2009-03-19,"House Vote #302 - Pass",123,49,3
65328,136461,2009-04-01,"Senate Vote #343 - Adoption Of Amendment #1 By Senator From The 26th To Committee Sub",21,31,2
65328,136462,2009-04-01,"Senate Vote #344 - Passage By Substitute",52,3,1
65328,136463,2009-04-03,"House Vote #491 - Adopt Ccr",137,41,1
65328,136464,2009-04-03,"Senate Vote #435 - Adopt Conference Committee Report",49,4,1
