bill_number,bill_id,title
HB1,216961,"Crimes and Offenses; prenatal murder unlawful; provide"
HB2,216962,"Georgia Right to Grow Act; enact"
HB3,216963,"Constitutional Tender Act; enact"
HB4,216964,"Life, Liberty, and Property Restoration Act; enact"
HB5,216965,"Freedom of Choice and Security Act; enact"
HB6,216966,"Emergency Defense of the Home Act; enact"
HB7,216967,"Right to Travel Act; enact"
HB8,216968,"Due Process Restoration Act; enact"
HB9,216969,"Kathryn Johnston's Law; enact"
HB10,216970,"Child Protection Act; enact"
HB11,216971,"Freedom from Compulsory Pandemic Act; enact"
HB12,216972,"Georgia Food Freedom Act; enact"
HB13,216973,"Income tax; levy or collection; prohibit"
HB14,216974,"Criminal law and procedure; change term ""victim"" to ""accuser""; provide"
HB15,216975,"Lobbying; persons employed by this state; address General Assembly committees; prohibit"
HB16,216976,"Georgia Nuclear Energy Financing Act; repeal"
HB17,216977,"Human Services, Department of; Title 49; repeal"
HB18,216978,"State Road and Tollway Authority; abolish"
HB19,216979,"Income tax; federal reserve banks in Georgia not exempt; provide"
HB20,216980,"State Authority and Federal Tax Fund Act; enact"
HB21,216981,"State Authority and Anti-racketeering Act; enact"
HB22,216982,"DeKalb County; board of education; revise composition"
HB23,216983,"Foster Children's Psychotropic Medication Monitoring Act; enact"
HB24,216984,"Evidence; revise, supersede, and modernize provisions; provide definitions"
HB25,216985,"Postsecondary education; reserve benefits to citizens and lawfully present and eligible aliens"
HB26,216986,"Limited driving permits; certain offenders; allow issuance"
HB27,216987,"Georgia Administrative Procedure Act; act pro se under certain circumstances; clarify"
HB28,216988,"Community Affairs, Department of; Martin Luther King, Junior Advisory Council; create"
HB29,216989,"Tax Amnesty Program Act; additional amnesty periods; provisions"
HB30,216990,"Contracts; illegal or void; repeal certain code sections; change provisions"
HB31,216991,"Revenue and taxation; assessing real property"
HB32,216992,"Trooper First Class Chadwick Lee LeCroy Act; enact"
HB33,216993,"Budget Act; zero-base budgeting; provide"
HB34,216994,"Sales and use tax; tax credit reduction for educational purposes; provide"
HB35,223716,"Officer Safety Act of 2011; enact"
HB36,223717,"The Anti Road Agent Gang Act; enact"
HB37,223718,"Elections; President and Vice President candidates meet Constitutional qualifications; provide"
HB38,223719,"Public disclosure; government real estate purchase price; require"
HB39,223720,"Education; unexcused absence notices made by United States mail; provide"
HB40,223721,"Chief's Law; enact"
HB41,223722,"Superior court fees; appellate record and transcript; change; provisions"
