bill_id,date,action
451799,2012-11-15,"House Prefiled"
451799,2013-01-17,"House Hopper"
451799,2013-01-28,"House First Readers"
451799,2013-01-29,"House Second Readers"
451799,2013-02-28,"House Committee Favorably Reported By Substitute"
451799,2013-03-05,"House Postponed"
451799,2013-03-07,"House Withdrawn, Recommitted"
451799,2013-03-28,"House Withdrawn, Recommitted"
451799,2014-02-07,"House Committee Favorably Reported By Substitute"
451800,2012-11-15,"House Prefiled"
451801,2012-11-15,"House Prefiled"
451801,2013-01-15,"House Hopper"
451801,2013-01-16,"House First Readers"
451801,2013-01-17,"House Second Readers"
451801,2013-02-01,"House Committee Favorably Reported"
451801,2013-02-07,"House Postponed"
451801,2013-02-08,"House Third Readers"
451801,2013-02-08,"House Passed/Adopted"
451801,2013-02-11,"Senate Read and Referred"
451801,2013-03-12,"Senate Committee Favorably Reported By Substitute"
451801,2013-03-13,"Senate Read Second Time"
451801,2014-01-13,"Senate Recommitted"
451801,2014-01-28,"Senate Committee Favorably Reported By Substitute"
451801,2014-03-18,"Senate Tabled"
451802,2012-11-15,"House Prefiled"
451802,2013-03-25,"House Hopper"
451802,2013-03-26,"House First Readers"
451802,2013-03-28,"House Second Readers"
451803,2012-11-19,"House Prefiled"
451803,2013-01-16,"House Hopper"
451803,2013-01-17,"House First Readers"
451803,2013-01-28,"House Second Readers"
451803,2013-02-04,"House Committee Favorably Reported"
451803,2013-02-04,"House Third Readers"
451803,2013-02-04,"House Passed/Adopted"
451803,2013-02-05,"Senate Read and Referred"
451803,2013-02-08,"Senate Committee Favorably Reported"
451803,2013-02-08,"Senate Passed/Adopted"
451803,2013-04-01,"House Sent to Governor"
451803,2013-05-07,"House Date Signed by Governor"
451803,2013-05-07,"Act 329"
451803,2013-05-07,"Effective Date"
451804,2012-11-19,"House Prefiled"
451805,2012-11-26,"House Prefiled"
451806,2012-11-26,"House Prefiled"
451807,2012-11-26,"House Prefiled"
451808,2012-11-26,"House Prefiled"
451809,2012-11-28,"House Prefiled"
451809,2013-02-20,"House Hopper"
451809,2013-02-21,"House First Readers"
451809,2013-02-22,"House Second Readers"
451810,2012-11-28,"House Prefiled"
451811,2012-11-28,"House Prefiled"
451812,2012-11-28,"House Prefiled"
451813,2012-11-28,"House Prefiled"
451814,2012-11-28,"House Prefiled"
451815,2012-11-28,"House Prefiled"
451815,2013-02-20,"House Hopper"
451815,2013-02-21,"House First Readers"
451815,2013-02-22,"House Second Readers"
451816,2012-11-28,"House Prefiled"
451816,2013-02-22,"House Hopper"
451816,2013-02-25,"House First Readers"
451816,2013-02-26,"House Second Readers"
451817,2012-11-28,"House Prefiled"
451817,2013-01-30,"House Hopper"
451817,2013-01-31,"House First Readers"
451817,2013-02-01,"House Second Readers"
451818,2012-11-28,"House Prefiled"
451818,2013-02-22,"House Hopper"
451818,2013-02-25,"House First Readers"
451818,2013-02-26,"House Second Readers"
451819,2012-11-29,"House Prefiled"
451819,2013-01-14,"House Hopper"
451819,2013-01-15,"House First Readers"
451819,2013-01-16,"House Second Readers"
451819,2013-02-26,"House Committee Favorably Reported By Substitute"
451819,2013-03-01,"House Third Readers"
451819,2013-03-01,"House Passed/Adopted By Substitute"
451819,2013-03-04,"Senate Read and Referred"
451819,2013-03-14,"Senate Committee Favorably Reported By Substitute"
451819,2013-03-20,"Senate Read Second Time"
451819,2013-03-26,"Senate Third Read"
451819,2013-03-26,"Senate Tabled"
451819,2013-03-28,"Senate Taken from Table"
451819,2013-03-28,"Senate Passed/Adopted By Substitute"
451819,2013-03-28,"House Agrees Senate Amend or Sub"
451819,2013-04-03,"House Sent to Governor"
451819,2013-05-07,"House Date Signed by Governor"
451819,2013-05-07,"Act 337"
451819,2013-07-01,"Effective Date"
451820,2012-12-06,"House Prefiled"
451820,2013-01-14,"House Hopper"
451820,2013-01-15,"House First Readers"
451820,2013-01-16,"House Second Readers"
451821,2012-12-07,"House Prefiled"
451821,2013-01-17,"House Hopper"
451821,2013-01-28,"House First Readers"
451821,2013-01-29,"House Second Readers"
451822,2012-12-11,"House Prefiled"
451823,2012-12-19,"House Prefiled"
451824,2012-12-19,"House Prefiled"
451824,2013-01-31,"House Hopper"
451824,2013-02-01,"House First Readers"
451824,2013-02-04,"House Second Readers"
451825,2012-12-19,"House Prefiled"
451825,2013-02-05,"House Hopper"
451825,2013-02-06,"House First Readers"
451825,2013-02-07,"House Second Readers"
451826,2012-12-19,"House Prefiled"
451826,2013-01-28,"House Hopper"
451826,2013-01-29,"House First Readers"
