sponsor_id,name
1779,"Stacey Abrams"
1780,"Stephen Allison"
1787,"Paul Battles"
1789,"Sharon Beasley-Teague"
1790,"Simone Bell"
1792,"Tommy Benton"
1793,"Ellis Black"
1794,"Tyrone Brooks"
1795,"Roger Bruce"
1796,"R Bryant"
1797,"Debbie Buckner"
1799,"Jon Burns"
1802,"Amy Carter"
1803,"Earl Carter"
1804,"David Casas"
1806,"Mickey Channell"
1807,"Mike Cheokas"
1810,"Brooks Coleman"
1813,"Sharon Cooper"
1816,"Hardie Davis"
1818,"Dee Dawkins-Haigler"
1820,"Katie Dempsey"
1821,"Tom Dickson"
1824,"Matt Dollar"
1826,"Karla Drenner"
1827,"Winfred Dukes"
1828,"Earl Ehrhart"
1829,"Terry England"
1830,"Carl Von Epps"
1831,"James Epps"
1833,"Hugh Floyd"
1834,"Virgil Fludd"
1836,"Gloria Frazier"
1837,"Carol Fullerton"
1838,"Patricia Gardner"
1839,"Harry Geisinger"
1840,"Mike Glanton"
1841,"Rich Golick"
1842,"Craig Gordon"
1844,"Gerald Greene"
1845,"Mark Hamilton"
1847,"Benjie Harbin"
1848,"Buddy Harden"
1854,"Michele Henson"
1855,"Calvin Hill"
1857,"Doug Holt"
1859,"Penny Houston"
1860,"Henry Howard"
1862,"Carolyn Hugley"
1863,"Mack Jackson"
1864,"Mike Jacobs"
1869,"Jan Jones"
1870,"Sheila Jones"
1871,"Darryl Jordan"
1872,"Margaret Kaiser"
1875,"Culver Kidd"
1876,"David Knight"
1881,"Edward Lindsey"
1883,"Barry Loudermilk"
1884,"David Lucas"
1890,"Pedro Marin"
1891,"Charles Martin"
1892,"Howard Maxwell"
1894,"Rahn Mayo"
1895,"Tom McCall"
1897,"John Meadows"
1898,"Francis Millar"
1900,"Billy Mitchell"
1901,"Alisha Morgan"
1902,"Greg Morris"
1903,"Howard Mosby"
1904,"Quincy Murphy"
1905,"Jay Neal"
1906,"Randy Nix"
1907,"Larry O'Neal"
1908,"Mary Oliver"
1910,"Butch Parrish"
1911,"Don Parsons"
1912,"Allen Peake"
1914,"Alan Powell"
1915,"Jay Powell"
1916,"Jimmy Pruett"
1918,"David Ralston"
1919,"Matthew Ramsey"
1920,"Nikki Randall"
1923,"Tom Rice"
1925,"Jay Roberts"
1926,"Carlton Rogers"
1927,"Ed Rynders"
1931,"Ed Setzler"
1933,"Donna Sheldon"
1935,"Barbara Sims"
1936,"Chuck Sims"
1939,"Earnest Smith"
1941,"Lynn Smith"
1942,"Richard Smith"
1945,"Calvin Smyre"
1946,"Edward Stephens"
1947,"Ron Stephens"
1948,"Pam Stephenson"
1949,"Willie Talton"
1952,"Brian Thomas"
1955,"Tom Weldon"
1956,"Joe Wilkinson"
1957,"Wendell Willard"
1958,"Al Williams"
1959,"Earnest Williams"
1963,"John Yates"
1965,"Don Balfour"
1969,"Gloria Butler"
1972,"Ronnie Chance"
1973,"Jeff Chapman"
1974,"Bill Cowsert"
1975,"John Crosby"
1977,"Vincent Fort"
1979,"Tim Golden"
1982,"Ed Harbison"
1984,"Lee Hawkins"
1985,"Bill Heath"
1986,"Steve Henson"
1987,"Jack Hill"
1988,"Judson Hill"
1991,"William Jackson"
1992,"Lester Jackson"
1993,"Donzella James"
1995,"Emanuel Jones"
1997,"Jeff Mullis"
1998,"Jack Murphy"
1999,"Nan Orrock"
2002,"Ronald Ramsey"
2006,"Valencia Seay"
2007,"David Shafer"
2008,"Freddie Sims"
2010,"Cecil Staton"
2013,"Horacena Tate"
2015,"Curt Thompson"
2016,"Stephen Thompson"
2017,"Ross Tolleson"
2018,"Renee Unterman"
2021,"Tommie Williams"
10988,"Alex Atwood"
10989,"Paulette Braddock"
10990,"Buzz Brockway"
10991,"Christian Coomer"
10992,"Mike Dudgeon"
10993,"Tom Taylor"
11589,"Butch Miller"
11652,"Jason Spencer"
11774,"Andrew Welch"
11775,"B.J. Pak"
11776,"Brett Harrell"
11777,"Hugh Williamson"
11778,"Dar'shun Kendrick"
11780,"Josh Clark"
11781,"Kevin Cooke"
11782,"Lynne Riley"
11783,"Sam Teasley"
11784,"Charlie Bethel"
11785,"Frank Ginn"
11786,"Gail Davenport"
11787,"Jason Carter"
11788,"John Albers"
11789,"Joshua McKoon"
11790,"Lindsey Tippins"
11791,"Rick Jeffares"
11792,"Steve Gooch"
11793,"William Ligon"
11923,"Valerie Clark"
11924,"Susan Holmes"
11925,"Rick Jasperse"
11927,"Ben Watson"
11928,"Jesse Stone"
12003,"Pam Dickerson"
12004,"Jan Tankersley"
12038,"Delvis Dutton"
12039,"Stacey Evans"
12040,"James Hatchett"
12041,"Scott Holcomb"
12042,"James Shaw"
12043,"Darlene Taylor"
12192,"David Wilkerson"
12194,"Sandra Scott"
12477,"Robert Dickey"
12535,"Chad Nimmer"
13753,"Terry Rogers"
13756,"Mike Crane"
13758,"John Wilkinson"
13760,"Dustin Hightower"
13778,"James Beverly"
13779,"John Carson"
13780,"Emory Dunahoo"
13781,"Charles Williams"
13883,"Keisha Waites"
13940,"Tom Kirby"
15155,"Brandon Beach"
15156,"Michael Dugan"
15157,"Tyler Harper"
15158,"Burt Jones"
15160,"Hunter Hill"
15161,"Chuck Hufstetler"
15167,"Barry Fleming"
15168,"Bill Hitchens"
15169,"Brian Strickland"
15170,"Bruce Broadrick"
15172,"Charles Gregory"
15173,"Dale Rutledge"
15174,"Robert Gasaway"
15175,"Demetrius Douglas"
15176,"Dexter Sharper"
15177,"Eddie Lumsden"
15178,"Geoff Duncan"
15181,"John Deffenbaugh"
15182,"John Pezold"
15183,"Johnnie Caldwell"
15184,"Joyce Chandler"
15185,"Karen Bennett"
15186,"Kevin Tanner"
15187,"Kimberly Alexander"
15188,"LaDawn Jones"
15190,"Mable Thomas"
15191,"Mandi Ballinger"
15192,"Michael Caldwell"
15193,"Micah Gravley"
15194,"Michael Smith"
15195,"Patty Bentley"
15196,"Regina Quick"
15197,"Ronnie Mabra"
15198,"Sam Watson"
15199,"Spencer Frye"
15200,"Timothy Barr"
15201,"Tonya Anderson"
15202,"Trey Kelley"
15203,"Valencia Stovall"
15850,"Scot Turner"
15885,"Dean Burke"
15957,"David Stover"
16138,"Bruce Thompson"
16153,"Chuck Efstration"
16154,"Dewey McClain"
16155,"Brian Prince"
16219,"Sam Moore"
16222,"Steve Tarvin"
