bill_number,bill_id,title
HB1,362267,"Gold Star Family Plates"
HB2,362268,"Relating to the Honor and Remember Flag"
HB3,362270,"National Guard; Insurance; Appropriation"
HB5,362272,"Veterans' Funerals; Protests"
HB6,362274,"Consumer Advocate; Alternative Energy"
HB7,362276,"Public Utilities Commission; Wheeling Tariff"
HB8,362278,"Consumer Cooperative Associations; Renewable Energy"
HB9,362280,"Environmental Response, Energy, and Food Security Tax"
HB10,362281,"Schools; photovoltaic solar panels"
HB11,362283,Education
HB12,362285,"Sentencing; Theft of Agricultural Products or Commodities"
HB13,362287,"Veterinary medicine"
HB14,362289,"Traffic Abstract; Expungement; Limitation on Disclosure"
HB15,362292,"Pickup trucks"
HB16,362294,Safety
HB17,362295,"All-Terrain Vehicles; Helmets"
HB18,362297,"All-Terrain Vehicles; Minors; Prohibition"
HB19,362299,"School buses; seat belts"
HB20,362301,Procurement
HB21,362303,Procurement
HB22,362307,"Daylight Saving Time"
HB23,362309,"Tax Credit; Attractions and Educational Facilities; Ko Olina Resort and Marina; Makaha Resort"
HB24,362310,"University of Hawaii Budget; Zero-based Budgeting"
HB25,362312,"Education budget; Zero-based budgeting"
HB26,362314,"Infant and Toddler Child Care Centers; Grievance Procedures"
HB27,362317,"Public Schools; Air Conditioning"
HB28,362320,"Dangerous Weapons; Homemade Explosive Devices"
HB29,362323,"Smoking; Motor Vehicles; Minors"
HB30,362325,"Highway Safety; Burning Material"
HB31,362327,"UH Tuition and Fees Special Fund; Expenditure Ceiling"
HB32,362328,"Prescription Drugs; Sale Below Cost"
HB33,362330,"Discrimination in Real Property Transactions; Source of Income"
HB34,362332,"Petroleum; Retail Gas and Diesel Dealers; Tax Posting Required"
HB35,362334,"Controlled Substances; Pseudoephedrine"
HB36,362336,"Freedom of Speech; Natural Persons"
HB37,362338,"Bicycle Safety; Sidewalks; Overtaking Pedestrians; Warning"
HB38,362340,"Freedom of Speech; Monetary Expenditures"
HB39,362341,"Public Housing; Alcoholic Beverages; Prohibition"
HB40,362343,"Motor Vehicle Drivers; Driver's License Renewal; Road Tests for Seniors"
HB41,362347,"Prostitution; Vehicle Forfeiture"
HB42,362350,"Public Order; Public Urination and Defecation"
HB43,362352,"Bicycles, Electric Personal Assistive Mobility Devices, Skateboards, Rollerskates Prohibited; Business Districts"
HB45,362354,"Criminal Trespass; Public Housing Project"
HB46,362356,"Public Housing; Low-income Housing; Smoking Prohibition"
HB47,362357,"Elections; Ballot; Arrangement of Names"
HB48,362359,"Automatic Voter Registration"
HB50,362361,"Memorial; Persian Gulf War; Operation Desert Storm; Operation Iraqi Freedom; Operation Enduring Freedom; Operation New Dawn"
HB51,362363,"Telemedicine; Behavioral Health; License Exemption; Military Patients"
HB52,362365,"Enlisted Personnel; Uniform Maintenance Allowance"
HB53,362368,"Legislature; Opening Day"
HB54,362370,"Public Utilities; Tax Credits; Undergrounding"
HB55,362371,"College Savings Program Tax Credit"
HB57,362374,"Nuclear Energy"
HB58,362376,"Traffic Advisory Radio System; Appropriation"
HB59,362380,"Tax Credit; Parenting and Child Development Learning"
HB60,362382,"Wireless Enhanced 911; Surcharge"
HB61,362384,"UH; Funding"
HB62,362386,"Nuclear Energy; DBEDT"
HB63,362390,"Audible Motor Vehicle Alarm Systems; Prohibition"
HB64,362391,"Burglary of a Dwelling; Liability; Sentencing"
HB65,362393,"Special Treatment Facility; Public Hearing"
HB66,362395,"Wagering Winnings; Exemption; Waiver Program"
HB67,362397,"Tobacco; Sale Blunt Wraps; Prohibition"
HB68,362399,"Counties; Sewer Line Infrastructure"
HB69,362401,"Planned Community Associations; United States Flag; State of Hawaii Flag; Display"
HB70,362403,"Homeless; Return-to-Home Program; Appropriation"
HB71,362404,"Aloha Stadium; Disposition; Acquisition of New Land"
HB72,362407,"Aloha Stadium; Transfer to University of Hawaii"
HB73,362409,"Prepaid Calling Cards; Disclosure"
HB74,362411,"Taxation; Income Tax Check-Off"
HB75,362413,"Public Records; Disclosure"
HB76,362415,"Highway Safety; Pedestrians"
HB77,362417,"Foie Gras; Prohibition"
HB78,362418,"Procurement; Construction"
HB79,362421,"Revolving and Trust Funds"
HB80,362423,"CIP, 33rd, 34th, and 36th Representative Districts"
HB81,362425,"Motor Vehicles; Reverse Sensors"
HB82,362429,"In-service Managerial and Supervisory Employee Training Program"
HB83,362432,"Motorcycles; Motor Scooters; Mopeds; Noise Emission; Mufflers"
HB84,362434,"Waikiki Seawall; Repairs; Appropriation"
HB85,362435,"Moped Riders; Helmets Required; Fines"
HB86,362438,"Motor Scooter; Noise; Muffler; Motor Vehicle Dealer"
HB87,362440,"Mopeds; Inspection"
HB88,362442,"Vehicular Manslaughter"
HB89,362444,"Smoking; Prohibition"
HB90,362446,"Elected Public Officers; Mandatory Terms"
HB91,362448,"Condominium; Clotheslines"
HB92,362450,"Rental Property; Rental Property Manager; Licensing"
HB93,362451,"Condominium Board of Directors; Membership"
HB94,362453,"Public Assistance Programs; Audit; DHS"
HB95,362455,"Noise Pollution; Leaf Blowers; Ban"
HB96,362457,"Intoxicating Liquor; Minors; Fines"
HB97,362459,"Mandatory Kindergarten Attendance"
HB98,362461,"Tobacco; Minors"
HB99,362465,"Health; Gray Water Recycling Programs"
HB100,362466,"Elections; Voting by Mail"
HB101,362468,"Aviation Fuel Tax Credit"
HB102,362472,"Education; School Supplies; Debit Card System; Appropriation"
HB103,362475,"Energy Independence; Government-Industry Consortium"
HB104,362477,"Grave Desecration"
HB105,362479,"Out-of-state Offices; Audit"
HB106,362481,"Ocean Safety; Swimming Buoys; Appropriation"
HB107,362482,"Land Use; agricultural districts; roadside vending"
