sponsor_id,name
8336,"Mark Takai"
8337,"Scott Nishimoto"
8338,"Roy Takumi"
8340,"Barbara Marumoto"
8342,"Henry Aquino"
8343,"Cindy Evans"
8344,"Marcus Oshiro"
8345,"Isaac Choy"
8346,"Karl Rhoads"
8347,"Sylvia Luke"
8348,"John Mizuno"
8349,"Tom Brower"
8350,"Angus McKelvey"
8351,"Mele Carroll"
8352,"Clift Tsuji"
8353,"Jerry Chang"
8354,"Joey Manahan"
8356,"Faye Hanohano"
8357,"Robert Herkes"
8358,"Ken Ito"
8359,"Mark Nakashima"
8360,"Joseph Souki"
8362,"Karen Awana"
8364,"Hermina Morita"
8365,"Kyle Yamashita"
8366,"James Tokioka"
8367,"Blake Oshiro"
8369,"Denny Coffman"
8370,"Glenn Wakai"
8372,"Rida Cabanilla Arakawa"
8374,"Marilyn Lee"
8375,"Kymberly Pine"
8376,"Pono Chong"
8377,"Sharon Har"
8378,"Calvin Say"
8380,"Maile Shimabukuro"
8381,"Jessica Wooley"
8382,"Scott Saiki"
8383,"Chris Lee"
8384,"Cynthia Thielen"
8385,"Gil Keith-agaran"
8386,"Ryan Yamane"
8388,"Gene Ward"
8389,"Della au Belatti"
8392,"Corinne W.L. Ching"
8421,"Clayton Hee"
8423,"Clarence Nishihara"
8424,"Brian Taniguchi"
8426,"Rosalyn Baker"
8427,"Kalani English"
8428,"William Espero"
8429,"Carol Fukunaga"
8430,"Shan Tsutsui"
8432,"Josh Green"
8434,"David Ige"
8435,"Les Ihara"
8437,"Suzanne Chun Oakland"
8440,"Michelle Kidani"
8445,"Mike Gabbard"
8447,"Donna Kim"
8448,"Brickwood Galuteria"
8449,"Jill Tokuda"
8450,"Sam Slom"
11376,"Aaron Johanson"
11377,"Gil Riviere"
11378,"George Fontaine"
11379,"Malama Solomon"
11380,"Donovan Cruz"
11381,"Ronald Kouchi"
11382,"Gilbert Kahele"
11383,"Pohai Ryan"
11512,"Ty Cullen"
11513,"Mark Hashem"
11514,"Linda Ichiyama"
11516,"Daynette Morikawa"
11629,"Jo Jordan"
13155,"Derek Kawakami"
13787,"Tom Okamura"
13931,"Heather Giugni"
