bill_id,date,action
883714,2016-07-12,"To be offered."
883714,2016-07-12,Offered.
883714,2016-07-12,"Adopted with none voting aye with reservations; none voting no (0) and Representative(s) DeCoite, Ing, Ohno, Ward excused (4)."
883714,2016-07-12,"Transmitted to Senate."
883714,2016-07-12,"Received from House (Hse. Com. No. 1)."
883714,2016-07-12,Adopted.
883714,2016-07-12,"Transmitted to House."
883714,2016-07-12,"Returned from Senate (Sen. Com. No. 1)."
883714,2016-07-12,"Resolution adopted in final form."
884110,2016-07-18,Offered.
884110,2016-07-18,"Adopted with none voting aye with reservations; none voting no (0) and Representative(s) Har, Ing, Lowen, Morikawa, Ward, Yamane excused (6)."
884110,2016-07-18,"Transmitted to Senate."
884110,2016-07-18,"Received from House (Hse. Com. No. 2)."
884110,2016-07-18,"Adopted with Senators Chun Oakland, Dela Cruz, Espero, Ihara, Inouye, Taniguchi and Wakai voting &quot;Aye, with reservations&quot;; and Senators Kim, Thielen and Slom voting &quot;No&quot;."
884110,2016-07-18,"Transmitted to House."
884110,2016-07-18,"Returned from Senate (Sen. Com. No. 2)."
884110,2016-07-18,"Resolution adopted in final form."
884139,2016-07-20,Offered.
884139,2016-07-20,Adopted.
884139,2016-07-20,"Certified copies of resolution sent, 07-20-16."
884139,2016-07-20,"Received notice of Adoption (Sen. Com. No. 3)."
884140,2016-07-20,Offered.
884140,2016-07-20,"Adopted with none voting aye with reservations; none voting no (0) and Representative(s) Har, Kong, Tokioka, Ward, Yamane excused (5)."
884140,2016-07-20,"Resolution adopted in final form."
884141,2016-07-20,Offered.
884141,2016-07-20,Adopted.
884142,2016-07-20,Offered.
884142,2016-07-20,"Adopted with none voting aye with reservations; none voting no (0) and Representative(s) Har, Kong, Tokioka, Ward, Yamane excused (5)."
884142,2016-07-20,"Resolution adopted in final form."
884143,2016-07-20,Offered.
884143,2016-07-20,"Adopted with none voting aye with reservations; none voting no (0) and Representative(s) Har, Kong, Tokioka, Ward, Yamane excused (5)."
884143,2016-07-20,"Resolution adopted in final form."
884143,2016-07-20,"Received from House (Hse. Com. No. 3)."
