bill_number,bill_id,title
HF1,221592,"A bill for an act establishing an organized system of reviews and ongoing repeal dates for programs and projects administered by executive branch departments. (See Cmte. Bill HF 148)"
HF2,221593,"A bill for an act establishing the right to choose whether to purchase health care. (See Cmte. Bill HF 111)"
HF3,221594,"A bill for an act providing for the placement of a right-to-work notice on department of economic development materials. (See Cmte. Bill HF 149)"
HF4,221595,"A bill for an act providing for a reduction in the individual income tax rates and including effective date and applicability provisions. (See Cmte. Bill HF 194)"
HF5,221596,"A bill for an act relating to abortions including prohibiting late-term abortions with certain exceptions, providing penalties, and including an effective date provision. (See Cmte. Bill HF 657)"
HF6,221597,"A bill for an act requiring the development of a searchable budget database and internet site for the public to access the details of the expenditure of state tax revenues and a searchable tax rate database and internet site for the public to access the details of each tax rate for all taxing districts in the state. (See Cmte. Bill HF 94)"
HF7,221598,"A bill for an act relating to the justifiable use of reasonable force and providing a remedy. (See Cmte. Bill HF 573) (See Cmte. Bill HF 2215)"
HF8,221599,"A bill for an act establishing a requirement for voters to provide certain identification when voting in person at the polling place. (See Cmte. Bill HF 95)"
HF9,221600,"A bill for an act relating to property taxation and local government and school financing by increasing the regular program foundation base, establishing local government financing requirements for essential services, establishing a method for determining property assessment limitations, and including retroactive and other applicability provisions. (See Cmte. Bill HF 671)"
HF10,221601,"A bill for an act repealing statewide licensure requirements for electricians and electrical contractors, including transition provisions, and providing an effective date. (See Cmte. Bill HF 618)"
HF11,221602,"A bill for an act adding one-half unit of personal finance literacy to the educational program standards established for school districts and accredited nonpublic schools and including an effective date provision."
HF12,221603,"A bill for an act to prohibit political telephone calls during the nighttime hours and making penalties applicable. (See Cmte. Bill HF 222)"
HF13,221604,"A bill for an act requiring all payments for prepaid cemetery and funeral merchandise, and funeral services to be placed in trust or secured by a surety bond. (See Cmte. Bill HF 404)"
HF14,221605,"A bill for an act providing a sales tax exemption for textbooks used in attending a postsecondary educational institution."
HF15,221606,"A bill for an act allowing the issuance of basic health care coverage that does not meet certain special health and accident insurance requirements, and including applicability provisions."
HF16,221607,"A bill for an act relating to fees charged by the natural resource commission to stock private waters with fish."
HF17,221608,"A bill for an act increasing the number of members serving on the utilities board within the utilities division of the department of commerce and changing the membership from an appointed to an elected board."
HF18,221609,"A bill for an act providing for mediation in grandparent visitation actions."
HF19,221610,"A bill for an act providing tax credits against the income, franchise, premium, and moneys and credits taxes for employers paying part of their employees' student loans and including a retroactive applicability date provision."
HF20,221611,"A bill for an act relating to lining exemptions for sanitary landfills."
HF21,221612,"A bill for an act relating to the exemption from smoking prohibitions for gaming floors."
HF22,221613,"A bill for an act relating to walking and horseback riding trails on public land under the jurisdiction of the natural resource commission, and providing for penalties."
HF23,221614,"A bill for an act relating to the duties of employees of the department of human services assigned to cases of children in a foster care placement."
