sponsor_id,name
6966,"Kevin McCarthy"
6967,"Kraig Paulsen"
6968,Administration
6969,Rules
6970,"Dave Jacoby"
6971,"Kent Sorenson"
6972,"Betty DeBoef"
6973,"Jason Schultz"
6975,"Dave Deyoe"
6976,"Linda Upmeyer"
6977,"Scott Raecker"
6978,"Ralph Watts"
6979,"Chris Hagenow"
6980,"Erik Helland"
6981,"Bobby Kaufmann"
6982,"Matt Windschitl"
6983,"Peter Cownie"
6984,"Nick Wagner"
6985,"Kevin Koester"
6986,"Steven Lukan"
6987,"Clel Baudler"
6988,"Thomas Sands"
6989,"Daniel Huseman"
6990,"Chuck Soderberg"
6991,"Dawn Pettengill"
6992,"Mark Smith"
6998,"Kurt Swaim"
6999,"Richard Arnold"
7000,"Bob Kressig"
7001,"Tyler Olson"
7003,"Cindy Winckler"
7006,"Sharon Steckman"
7007,"Helen Miller"
7008,"Jerry Kearns"
7009,"Jim Lykam"
7010,"Annette Sweeney"
7013,"Lance Horbach"
7014,"Ako Abdul-Samad"
7015,"Bruce Hunter"
7016,"Mary Gaskill"
7018,"David Tjepkes"
7019,"Andrew Wenthe"
7021,"Lisa Heddens"
7022,"Linda Miller"
7024,"Jack Drake"
7027,"Cecil Dolecheck"
7028,"Patrick Murphy"
7029,"Daniel Kelley"
7031,"Deborah Berry"
7033,"Beth Wessel-Kroeschell"
7035,"Vicki Lensing"
7037,"Janet Petersen"
7040,"David Heaton"
7041,"Steven Olson"
7043,"Richard Anderson"
7046,"Nate Willems"
7047,"Charles Isenhart"
7050,"Greg Forristall"
7051,"Dwayne Alons"
7052,"Henry Rayhons"
7054,"Human Resources"
7056,"Todd Taylor"
7059,"Brian Quirk"
7060,"Gary Worthan"
7061,Commerce
7062,"Jim Van Engelenhoven"
7065,"Renee Schulte"
7066,Judiciary
7069,"Rick Olson"
7070,"Roger Thomas"
7071,"State Government"
7072,"Veterans Affairs"
7075,"Pat Grassley"
7076,"Public Safety"
7077,Education
7078,"Phyllis Thede"
7079,"Mary Mascher"
7080,"Local Government"
7082,"Jo Oldson"
7083,"Dennis Cohoon"
7084,Labor
7085,Agriculture
7087,Appropriations
7088,"Environmental Protection"
7089,Transportation
7090,"Natural Resources"
7091,"Ways & Means"
7092,"Government Oversight"
7094,"Curtis Hanson"
7095,"Royd Chambers"
7096,"Kirsten Running-Marquardt"
7097,Ethics
7099,"Paul McKinley"
7100,"Rules & Administration"
7101,"Joseph Bolkcom"
7102,"Dennis Black"
7103,"Daryl Beall"
7104,"David Johnson"
7105,"Tom Hancock"
7107,"Steve Kettering"
7108,"Amanda Ragan"
7109,"John Kibbie"
7110,"Mary Jochum"
7111,"Swati Dandekar"
7112,"Michael Gronstal"
7113,"Jeffrey Danielson"
7114,"Jack Hatch"
7115,"Thomas Courtney"
7117,"Thomas Rielly"
7118,"Wally Horn"
7119,"Dick Dearden"
7120,"Joe Seng"
7121,Judiciary
7122,"Brian Schoenjahn"
7124,"Matt McCoy"
7125,"William Dotzler"
7127,"Mary Wilhelm"
7131,"Local Government"
7132,"Ways & Means"
7133,"State Government"
7134,"Herman Quirmbach"
7136,"Robert Hogg"
7138,"Eugene Fraise"
7139,"Robert Dvorsky"
7140,"Steven Sodders"
7141,"Nancy Boettger"
7142,"James Hahn"
7143,"Tim Kapucian"
7145,"Pat Ward"
7147,"James Seymour"
7148,"Randy Feenstra"
7149,"Hubert Houser"
7150,"Brad Zaun"
7151,Education
7153,"Merlin Bartz"
7155,"Human Resources"
7156,"Shawn Hamerlinck"
7157,"Jerry Behn"
7158,"Veterans Affairs"
7159,Transportation
7160,Commerce
7161,Labor
7162,"Business Relations"
7163,"Natural Resources"
7164,Agriculture
7166,Appropriations
7167,"Government Oversight"
7168,Ethics
10726,"Mark Lofgren"
10727,"Brian Moore"
10728,"Julian Garrett"
10729,"Kim Pearson"
10730,"Tom Shaw"
10731,"Jeff Smith"
10732,"Ronald Jorgensen"
10733,"Mark Brandenburg"
10734,"Lee Hein"
10735,"Jarad Klein"
10736,"Daniel Rasmussen"
10737,"Chip Baltimore"
10738,"Joel Fry"
10739,"Joshua Byrnes"
10740,"Glen Massie"
10741,"Ross Paustian"
10742,"Stewart Iverson"
10743,"Guy Linden"
10744,"Mary Ann Hanusa"
10745,"Walt Rogers"
10746,"Robert Hager"
10747,"Jeremy Taylor"
10750,"Robert Bacon"
11387,"Daniel Muhlbauer"
11388,"John Wittneben"
11391,"Bill Anderson"
11392,"Rick Bertrand"
11393,"Mark Chelgren"
11515,"Roby Smith"
11622,"Mary Wolfe"
11623,"Ruth Ann Gaines"
11697,"Chris Hall"
11698,"Joni Ernst"
11745,"Bill Dix"
11896,"Anesa Kajtazovic"
11897,"Tod Bowman"
12056,Environment
12207,"Economic Growth/Rebuild Iowa"
12228,"Economic Growth/Rebuild Iowa"
13191,"Jack Whitver"
13192,"Sandra Greiner"
13762,"Administrative Rules Review Committee"
13763,"Administrative Rules Review Committee"
13865,"Liz Mathis"
