sponsor_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district
6967,"Kraig Paulsen",Kraig,,Paulsen,,,2,R,1,Rep,HD-067
6968,Administration,,,Administration,,,0,,1,Rep,
6969,Rules,,,Rules,,,0,,1,Rep,
6970,"Dave Jacoby",Dave,J.,Jacoby,,,1,D,1,Rep,HD-074
6973,"Jason Schultz",Jason,,Schultz,,,2,R,2,Sen,SD-009
6975,"Dave Deyoe",Dave,,Deyoe,,,2,R,1,Rep,HD-049
6976,"Linda Upmeyer",Linda,L.,Upmeyer,,,2,R,1,Rep,HD-054
6978,"Ralph Watts",Ralph,C.,Watts,,,2,R,1,Rep,HD-019
6979,"Chris Hagenow",Chris,,Hagenow,,,2,R,1,Rep,HD-043
6981,"Bobby Kaufmann",Bobby,,Kaufmann,,,2,R,1,Rep,HD-073
6982,"Matt Windschitl",Matt,W.,Windschitl,,,2,R,1,Rep,HD-017
6983,"Peter Cownie",Peter,M.,Cownie,,,2,R,1,Rep,HD-042
6985,"Kevin Koester",Kevin,,Koester,,,2,R,1,Rep,HD-038
6987,"Clel Baudler",Clel,,Baudler,,,2,R,1,Rep,HD-020
6988,"Thomas Sands",Thomas,R.,Sands,,,2,R,1,Rep,HD-088
6989,"Daniel Huseman",Daniel,A.,Huseman,,,2,R,1,Rep,HD-003
6990,"Chuck Soderberg",Chuck,,Soderberg,,,2,R,1,Rep,HD-005
6991,"Dawn Pettengill",Dawn,E.,Pettengill,,,2,R,1,Rep,HD-075
6992,"Mark Smith",Mark,D.,Smith,,,1,D,1,Rep,HD-071
7000,"Bob Kressig",Bob,M.,Kressig,,,1,D,1,Rep,HD-059
7003,"Cindy Winckler",Cindy,L.,Winckler,,,1,D,1,Rep,HD-090
7006,"Sharon Steckman",Sharon,S.,Steckman,,,1,D,1,Rep,HD-053
7007,"Helen Miller",Helen,,Miller,,,2,R,1,Rep,HD-009
7008,"Jerry Kearns",Jerry,A.,Kearns,,,1,D,1,Rep,HD-083
7009,"Jim Lykam",Jim,,Lykam,,,1,D,1,Rep,HD-089
7014,"Ako Abdul-Samad",Ako,,Abdul-Samad,,,1,D,1,Rep,HD-035
7015,"Bruce Hunter",Bruce,L.,Hunter,,,1,D,1,Rep,HD-034
7016,"Mary Gaskill",Mary,,Gaskill,,,1,D,1,Rep,HD-081
7021,"Lisa Heddens",Lisa,K.,Heddens,,,1,D,1,Rep,HD-046
7022,"Linda Miller",Linda,J.,Miller,,,2,R,1,Rep,HD-094
7024,"Jack Drake",Jack,,Drake,,,2,R,1,Rep,HD-021
7027,"Cecil Dolecheck",Cecil,,Dolecheck,,,2,R,1,Rep,HD-024
7029,"Daniel Kelley",Daniel,,Kelley,,Dan,1,D,1,Rep,HD-029
7031,"Deborah Berry",Deborah,L.,Berry,,,1,D,1,Rep,HD-062
7033,"Beth Wessel-Kroeschell",Beth,,Wessel-Kroeschell,,,1,D,1,Rep,HD-045
7035,"Vicki Lensing",Vicki,S.,Lensing,,,1,D,1,Rep,HD-085
7037,"Janet Petersen",Janet,,Petersen,,,1,D,2,Sen,SD-018
7040,"David Heaton",David,E.,Heaton,,,2,R,1,Rep,HD-084
7043,"Richard Anderson",Richard,,Anderson,,,2,R,1,Rep,HD-097
7047,"Charles Isenhart",Charles,W.,Isenhart,,,1,D,1,Rep,HD-100
7050,"Greg Forristall",Greg,,Forristall,,,2,R,1,Rep,HD-022
7054,"Human Resources",,,,,,0,,1,Rep,
7056,"Todd Taylor",Todd,,Taylor,,,1,D,1,Rep,HD-070
7060,"Gary Worthan",Gary,,Worthan,,,2,R,1,Rep,HD-011
7061,Commerce,,,,,,0,,1,Rep,
7066,Judiciary,,,,,,0,,1,Rep,
7069,"Rick Olson",Rick,L.,Olson,,,1,D,1,Rep,HD-031
7071,"State Government",,,,,,0,,1,Rep,
7072,"Veterans Affairs",,,,,,0,,1,Rep,
7075,"Pat Grassley",Pat,,Grassley,,,2,R,1,Rep,HD-050
7076,"Public Safety",,,,,,0,,1,Rep,
7077,Education,,,,,,0,,1,Rep,
7078,"Phyllis Thede",Phyllis,,Thede,,,1,D,1,Rep,HD-093
7079,"Mary Mascher",Mary,,Mascher,,,1,D,1,Rep,HD-086
7080,"Local Government",,,,,,0,,1,Rep,
7081,"Economic Growth",,,,,,0,,1,Rep,
7082,"Jo Oldson",Jo,,Oldson,,,1,D,1,Rep,HD-041
7083,"Dennis Cohoon",Dennis,M.,Cohoon,,,1,D,1,Rep,HD-087
7084,Labor,,,,,,0,,1,Rep,
7085,Agriculture,,,,,,0,,1,Rep,
7087,Appropriations,,,,,,0,,1,Rep,
7088,"Environmental Protection",,,,,,0,,1,Rep,
7089,Transportation,,,,,,0,,1,Rep,
7090,"Natural Resources",,,,,,0,,1,Rep,
7091,"Ways & Means",,,,,,0,,1,Rep,
7092,"Government Oversight",,,,,,0,,1,Rep,
7094,"Curtis Hanson",Curtis,D.,Hanson,,,1,D,1,Rep,HD-082
7096,"Kirsten Running-Marquardt",Kirsten,,Running-Marquardt,,,1,D,1,Rep,HD-069
7097,Ethics,,,,,,0,,1,Rep,
7100,"Rules & Administration",,,,,,0,,2,Sen,
7101,"Joseph Bolkcom",Joseph,L.,Bolkcom,,Joe,1,D,2,Sen,SD-043
7104,"David Johnson",David,J.,Johnson,,,2,R,2,Sen,SD-001
7108,"Amanda Ragan",Amanda,Elsie,Ragan,,,1,D,2,Sen,SD-027
7110,"Mary Jochum",Mary,Pamela,Jochum,,Pam,1,D,2,Sen,SD-050
7112,"Michael Gronstal",Michael,E.,Gronstal,,,1,D,2,Sen,SD-008
7113,"Jeffrey Danielson",Jeffrey,,Danielson,,Jeff,1,D,2,Sen,SD-030
7115,"Thomas Courtney",Thomas,G.,Courtney,,,1,D,2,Sen,SD-044
7118,"Wally Horn",Wally,E.,Horn,,,1,D,2,Sen,SD-035
7119,"Dick Dearden",Dick,L.,Dearden,,,1,D,2,Sen,SD-016
7120,"Joe Seng",Joe,M.,Seng,,,1,D,2,Sen,SD-045
7121,Judiciary,,,,,,0,,2,Sen,
7122,"Brian Schoenjahn",Brian,H.,Schoenjahn,,,1,D,2,Sen,SD-032
7124,"Matt McCoy",Matt,,McCoy,,,1,D,2,Sen,SD-021
7125,"William Dotzler",William,A.,Dotzler,Jr.,Bill,1,D,2,Sen,SD-031
7127,"Mary Wilhelm",Mary,Jo,Wilhelm,,,1,D,2,Sen,SD-026
7131,"Local Government",,,,,,0,,2,Sen,
7132,"Ways & Means",,,,,,0,,2,Sen,
7133,"State Government",,,,,,0,,2,Sen,
7134,"Herman Quirmbach",Herman,C.,Quirmbach,,,1,D,2,Sen,SD-023
7136,"Robert Hogg",Robert,M.,Hogg,,,1,D,2,Sen,SD-033
