bill_id,roll_call_id,date,description,yea,nay,nv
674440,484550,2015-03-10,"Passed Senate",31,19,0
674440,520988,2016-03-17,"Passed House",51,44,5
679119,484326,2015-03-10,"Passed House",57,42,1
682282,484346,2015-03-19,"Passed House",97,0,3
682282,484347,2015-04-21,"Passed Senate",48,0,2
682321,484235,2015-03-19,"Passed House",97,0,3
689176,484249,2015-01-27,"Passed House",56,43,0
689364,484428,2015-01-27,"Passed House",55,44,0
700968,484452,2015-03-12,"Passed Senate",43,5,2
700968,484453,2015-04-21,"Passed House",92,3,5
703658,484517,2015-03-09,"Passed Senate",49,0,1
708727,484650,2015-03-25,"Passed Senate",50,0,0
708727,484651,2015-04-07,"Passed House",97,0,3
708733,484497,2015-02-04,"Passed Senate",49,0,1
708733,484498,2015-02-10,"Passed House",95,0,4
708770,484657,2015-02-10,"Passed House",93,0,6
708770,484658,2015-03-10,"Passed Senate",50,0,0
708813,484199,2015-02-10,"Passed House",93,0,6
708813,484200,2015-02-24,"Passed Senate",49,0,1
708884,484260,2015-02-10,"Passed House",94,1,4
708947,484294,2015-03-18,"Passed Senate",48,2,0
708989,484264,2015-02-05,"Passed House",55,43,1
709012,484219,2015-03-09,"Passed Senate",49,0,1
710254,484335,2015-03-10,"Passed Senate",45,5,0
710254,484336,2015-04-07,"Passed House",97,0,3
710291,484462,2015-02-17,"Passed House",97,2,1
710291,484463,2015-04-07,"Passed Senate",49,0,1
710401,484268,2015-02-24,"Passed Senate",49,0,1
710401,484269,2015-03-10,"Passed House",99,0,1
710557,484278,2015-02-24,"Passed Senate",49,0,1
710557,484279,2015-03-10,"Passed House",99,0,1
710589,484207,2015-03-09,"Passed Senate",49,0,1
710589,484208,2015-03-17,"Passed House",96,0,4
712004,484285,2015-02-17,"Passed House",99,0,1
712053,484184,2015-03-17,"Passed Senate",50,0,0
712262,484513,2015-02-24,"Passed Senate",49,0,1
712262,484514,2015-03-10,"Passed House",87,12,1
712359,484485,2015-03-10,"Passed House",73,26,1
712376,484509,2015-02-17,"Passed House",99,0,1
712376,484510,2015-02-24,"Passed Senate",49,0,1
713594,484422,2015-02-10,"Passed Senate",26,24,0
713594,484423,2015-02-24,"Passed House",55,44,1
713594,484424,2015-06-05,"Passed Senate",46,4,0
713594,484425,2015-06-05,"Passed House",53,36,11
713629,484617,2015-02-10,"Passed Senate",26,24,0
713629,484618,2015-02-24,"Passed House",55,44,1
713629,484619,2015-06-05,"Passed Senate",45,5,0
713629,484620,2015-06-05,"Passed House",53,36,11
713640,484286,2015-02-24,"Passed House",99,0,1
713640,484287,2015-02-25,"Passed Senate",48,0,2
713677,484653,2015-02-17,"Passed House",99,0,1
713677,484654,2015-02-24,"Passed Senate",49,0,1
713700,484563,2015-03-12,"Passed Senate",32,16,2
713738,484280,2015-03-12,"Passed Senate",26,22,2
713774,484634,2015-02-10,"Passed Senate",50,0,0
713774,484635,2015-02-24,"Passed House",99,0,1
713792,484391,2015-02-10,"Passed Senate",26,24,0
713792,489528,2016-01-25,"Passed House",56,42,2
713792,523560,2016-03-23,"Passed Senate",46,4,0
713792,523561,2016-03-23,"Passed House",55,41,4
713850,484586,2015-03-09,"Passed Senate",48,1,1
713850,484587,2015-04-07,"Passed House",97,0,3
713885,484365,2015-03-10,"Passed Senate",26,24,0
713952,484349,2015-02-10,"Passed Senate",26,24,0
713952,489527,2016-01-25,"Passed House",55,43,2
713952,523542,2016-03-23,"Passed Senate",44,6,0
713952,523543,2016-03-23,"Passed House",55,41,4
713965,484271,2015-02-10,"Passed Senate",50,0,0
713965,484272,2015-06-02,"Passed House",72,18,10
713981,484471,2015-03-31,"Passed Senate",50,0,0
713981,484472,2015-04-07,"Passed House",97,0,3
713981,484473,2015-04-13,"Passed Senate",46,1,3
714961,484421,2015-03-10,"Passed Senate",50,0,0
716063,484412,2015-03-17,"Passed Senate",50,0,0
716122,484288,2015-03-24,"Passed House",100,0,0
716122,484289,2015-04-07,"Passed Senate",50,0,0
716281,484408,2015-03-10,"Passed House",60,39,1
718908,484195,2015-02-24,"Passed Senate",49,0,1
718945,484323,2015-03-10,"Passed Senate",50,0,0
718945,484324,2015-04-07,"Passed House",97,0,3
718945,484325,2015-04-08,"Passed Senate",48,0,2
718974,484314,2015-03-10,"Passed Senate",50,0,0
718974,484315,2015-03-24,"Passed House",100,0,0
719005,484201,2015-02-17,"Passed House",99,0,1
719005,484202,2015-02-24,"Passed Senate",49,0,1
719011,484627,2015-02-24,"Passed Senate",49,0,1
719011,484628,2015-04-07,"Passed House",96,0,4
719068,484526,2015-02-17,"Passed House",98,1,1
719068,484527,2015-03-23,"Passed Senate",48,0,2
719082,484226,2015-02-24,"Passed Senate",49,0,1
719082,484227,2015-04-07,"Passed House",97,0,3
719120,484539,2015-03-24,"Passed House",100,0,0
719120,484540,2015-04-07,"Passed Senate",37,13,0
719120,484541,2015-04-15,"Passed House",91,1,8
719130,484304,2015-03-17,"Passed Senate",48,2,0
719160,484467,2015-02-24,"Passed Senate",49,0,1
719167,484241,2015-03-18,"Passed Senate",50,0,0
719167,484242,2015-04-14,"Passed House",94,0,6
719178,484504,2015-02-17,"Passed House",58,40,2
721131,484273,2015-03-10,"Passed House",59,40,1
721131,484274,2015-04-09,"Passed Senate",48,0,2
721131,484275,2015-04-22,"Passed House",97,0,3
721131,484276,2015-04-27,"Passed Senate",49,0,1
721144,484319,2015-03-09,"Passed Senate",49,0,1
721144,484320,2015-03-12,"Passed House",95,0,5
721174,484345,2015-02-24,"Passed Senate",36,13,1
721229,484379,2015-03-25,"Passed House",97,0,3
721229,492093,2015-03-10,"Passed Senate",49,0,1
721234,484182,2015-03-12,"Passed Senate",48,0,2
721234,484183,2015-04-07,"Passed House",97,0,3
721493,484629,2015-03-24,"Passed House",97,3,0
721493,484630,2015-04-07,"Passed Senate",50,0,0
721493,484631,2015-04-15,"Passed House",91,1,8
721536,484212,2015-03-10,"Passed House",81,18,1
721536,508973,2016-02-29,"Passed Senate",49,0,0
721536,523953,2016-03-23,"Passed House",95,0,5
721559,484426,2015-03-10,"Passed Senate",48,2,0
721614,484597,2015-03-10,"Passed Senate",50,0,0
721614,484598,2015-04-07,"Passed House",97,0,3
723981,484348,2015-03-10,"Passed House",74,25,1
724050,484429,2015-03-12,"Passed Senate",48,0,2
724163,485397,2015-03-24,"Passed Senate",26,23,1
724193,484403,2015-03-10,"Passed Senate",32,17,1
724193,484404,2015-03-24,"Passed House",71,29,0
724193,484405,2015-03-25,"Passed Senate",28,22,0
726705,484454,2015-02-24,"Passed Senate",26,23,1
726712,484603,2015-03-10,"Passed House",99,0,1
726712,484604,2015-04-07,"Passed Senate",50,0,0
726715,484493,2015-03-10,"Passed House",99,0,1
726715,484494,2015-04-06,"Passed Senate",48,0,2
726735,484247,2015-03-10,"Passed House",59,40,1
726759,484369,2015-03-10,"Passed House",93,6,1
726759,484370,2015-03-12,"Passed Senate",48,0,2
726762,484310,2015-02-24,"Passed Senate",49,0,1
726781,484441,2015-03-10,"Passed House",86,13,1
727618,484322,2015-03-19,"Passed House",97,0,3
727620,484567,2015-03-10,"Passed House",99,0,1
727620,484568,2015-04-13,"Passed Senate",47,0,3
727662,484222,2015-03-19,"Passed House",95,1,4
727662,484223,2015-06-02,"Passed Senate",50,0,0
727704,484284,2015-03-10,"Passed House",80,19,1
727770,484355,2015-03-19,"Passed House",97,0,3
727781,484612,2015-02-24,"Passed Senate",28,21,1
727781,484613,2015-02-24,"Passed House",53,46,1
727793,484392,2015-03-10,"Passed House",57,42,1
727934,484239,2015-03-10,"Passed House",95,4,1
729045,484237,2015-02-24,"Passed Senate",27,22,1
729063,484213,2015-03-17,"Passed Senate",50,0,0
729098,484433,2015-03-17,"Passed Senate",50,0,0
729098,484434,2015-04-07,"Passed House",96,1,3
729102,484250,2015-02-24,"Passed Senate",26,23,1
729125,484245,2015-03-17,"Passed Senate",50,0,0
729224,484411,2015-03-17,"Passed Senate",49,1,0
729238,484363,2015-03-19,"Passed House",97,0,3
729294,484502,2015-03-09,"Passed Senate",49,0,1
729294,484503,2015-04-07,"Passed House",97,0,3
729310,484296,2015-03-17,"Passed House",96,0,4
729310,484297,2015-03-30,"Passed Senate",27,21,2
729310,484298,2015-04-20,"Passed Senate",48,0,2
729368,484385,2015-03-12,"Passed House",95,0,5
730253,484259,2015-03-09,"Passed Senate",48,1,1
730266,484353,2015-03-09,"Passed Senate",49,0,1
730279,484518,2015-03-09,"Passed Senate",49,0,1
730279,484519,2015-04-07,"Passed House",97,0,3
730297,484214,2015-03-10,"Passed House",57,42,1
730312,484277,2015-03-09,"Passed Senate",42,7,1
730362,484442,2015-03-12,"Passed Senate",48,0,2
730381,484206,2015-03-09,"Passed Senate",49,0,1
730394,484189,2015-03-17,"Passed Senate",50,0,0
730405,484588,2015-03-17,"Passed Senate",50,0,0
