bill_id,roll_call_id,date,description,yea,nay,nv
675872,414585,2015-03-23,"House Third Reading",51,17,0
675872,417747,2015-03-26,"Senate Third Reading",33,1,0
675872,448538,2015-05-18,"House Third Reading",49,21,0
675872,448539,2015-05-18,"Senate Third Reading",33,2,0
681812,384633,2015-01-20,"House Third Reading",69,0,0
685600,392462,2015-02-10,"House Third Reading",52,17,0
685600,400848,2015-02-25,"Senate Third Reading",27,7,0
685735,392449,2015-02-10,"House Third Reading",62,7,0
685735,400952,2015-02-25,"Senate Third Reading",34,0,0
685871,392427,2015-02-10,"House Third Reading",66,3,0
685871,400811,2015-02-25,"Senate Third Reading",34,0,0
686002,391659,2015-02-09,"House Third Reading",69,0,0
686002,400809,2015-02-25,"Senate Third Reading",34,0,0
686142,391576,2015-02-09,"House Third Reading",69,1,0
686142,400935,2015-02-25,"Senate Third Reading",34,0,0
686282,391606,2015-02-09,"House Third Reading",70,0,0
686282,400910,2015-02-25,"Senate Third Reading",34,0,0
688122,387789,2015-01-30,"House Third Reading",67,0,0
688122,398099,2015-02-19,"Senate Third Reading",33,0,0
688174,388384,2015-02-02,"House Third Reading",69,0,0
688174,394451,2015-02-12,"Senate Third Reading",33,0,0
688234,403518,2015-03-03,"Senate Third Reading",30,3,0
688234,410493,2015-03-13,"House Third Reading",58,7,0
688292,393602,2015-02-11,"House Third Reading",69,0,0
688292,401460,2015-02-25,"Senate Third Reading",31,2,0
688355,388445,2015-02-02,"House Third Reading",50,19,0
688412,388261,2015-02-02,"House Third Reading",68,1,0
688412,394397,2015-02-12,"Senate Third Reading",33,0,0
688475,388288,2015-02-02,"House Third Reading",61,8,0
688475,392504,2015-02-10,"Senate Third Reading",18,15,0
688537,392646,2015-02-10,"House Third Reading",69,0,0
688537,401362,2015-02-25,"Senate Third Reading",34,0,0
688598,388380,2015-02-02,"House Third Reading",64,5,0
688598,397005,2015-02-18,"Senate Third Reading",33,0,0
688657,394993,2015-02-13,"House Third Reading",60,7,0
688657,412245,2015-03-17,"Senate Third Reading",34,0,0
688657,416236,2015-03-25,"House Third Reading",69,0,0
688717,387967,2015-01-30,"House Third Reading",66,0,0
688717,396859,2015-02-18,"Senate Third Reading",33,0,0
688839,392668,2015-02-10,"House Third Reading",69,0,0
688839,401224,2015-02-25,"Senate Third Reading",33,1,0
688895,387828,2015-01-30,"House Third Reading",66,1,0
688895,396994,2015-02-18,"Senate Third Reading",33,0,0
688956,388032,2015-01-30,"House Third Reading",65,1,0
688956,397105,2015-02-18,"Senate Third Reading",33,0,0
689075,388037,2015-01-30,"House Third Reading",58,8,0
689075,412250,2015-03-17,"Senate Third Reading",34,0,0
689075,414554,2015-03-23,"House Third Reading",58,11,0
692167,386838,2015-01-28,"Senate Third Reading",34,0,0
692167,388780,2015-02-03,"House Third Reading",56,13,0
692287,388936,2015-02-03,"House Third Reading",69,0,0
692287,412320,2015-03-17,"Senate Third Reading",34,0,0
692409,387550,2015-01-29,"House Third Reading",65,5,0
692409,391756,2015-02-09,"Senate Third Reading",35,0,0
692527,386655,2015-01-28,"House Third Reading",69,0,0
692527,391825,2015-02-09,"Senate Third Reading",35,0,0
692647,386339,2015-01-27,"House Third Reading",68,1,0
692647,388525,2015-02-02,"Senate Third Reading",32,0,0
692884,394879,2015-02-13,"House Third Reading",67,0,0
692884,408836,2015-03-10,"Senate Third Reading",35,0,0
693004,386836,2015-01-28,"Senate Third Reading",33,1,0
693004,388856,2015-02-03,"House Third Reading",53,15,0
693120,399004,2015-02-20,"House Third Reading",65,0,0
693120,412976,2015-03-18,"Senate Third Reading",35,0,0
693243,387650,2015-01-29,"House Third Reading",61,9,0
693243,408835,2015-03-10,"Senate Third Reading",35,0,0
693243,411281,2015-03-16,"House Third Reading",64,0,0
693476,403954,2015-03-03,"Senate Third Reading",33,0,0
693476,410594,2015-03-13,"House Third Reading",64,0,0
694728,387949,2015-01-30,"House Third Reading",67,0,0
694728,397075,2015-02-18,"Senate Third Reading",33,0,0
694828,396187,2015-02-17,"House Third Reading",62,6,0
