bill_id,roll_call_id,date,description,yea,nay,nv
219606,64682,2011-04-06,"Third Reading in House",111,0,0
219681,77048,2011-05-05,"Motion in House",59,59,0
219681,103433,2011-04-14,"Motion in House",57,59,0
219688,43315,2011-03-03,"Third Reading in House",110,3,0
219706,103566,2011-04-14,"Motion in House",114,0,1
223747,38966,2011-02-10,"Third Reading in Senate",48,0,11
223747,39912,2011-02-17,"Third Reading in House",103,6,1
223747,79887,2011-05-13,"Motion in Senate",55,0,4
223751,41852,2011-02-24,"Third Reading in House",106,4,0
223757,63773,2011-03-31,"Third Reading in House",110,0,0
223757,69965,2011-04-15,"Third Reading in Senate",56,3,0
223763,79681,2011-05-13,"Third Reading in House",102,6,0
223763,86389,2011-05-30,"Third Reading in Senate",34,25,0
223772,59978,2011-03-31,"Third Reading in House",110,0,0
223772,85979,2011-05-30,"Third Reading in Senate",34,24,1
223793,41222,2011-02-22,"Third Reading in House",102,0,0
223801,65582,2011-04-12,"Third Reading in House",64,48,2
227840,65230,2011-04-12,"Third Reading in House",99,13,0
228480,64898,2011-03-30,"Third Reading in House",114,0,1
231979,73031,2011-04-13,"Third Reading in House",47,68,1
231999,62084,2011-04-05,"Third Reading in House",42,58,1
237667,68253,2011-04-15,"Third Reading in House",88,13,0
237673,41762,2011-02-24,"Third Reading in House",108,2,0
237673,79033,2011-05-12,"Third Reading in Senate",53,0,6
243398,41196,2011-02-24,"Third Reading in House",90,20,0
243398,85852,2011-05-29,"Third Reading in Senate",18,32,9
246982,63977,2011-03-30,"Third Reading in Senate",57,0,2
246982,76558,2011-05-04,"Third Reading in House",116,0,0
246982,85196,2011-05-27,"Concurrence in Senate",54,0,5
247084,63730,2011-04-07,"Third Reading in House",110,0,0
247145,68335,2011-04-15,"Third Reading in Senate",55,0,4
247145,78708,2011-05-11,"Third Reading in House",114,0,0
247299,64718,2011-04-08,"Third Reading in Senate",50,0,9
247411,59798,2011-03-30,"Third Reading in Senate",19,35,4
247453,59384,2011-03-31,"Third Reading in Senate",54,0,5
247497,68446,2011-04-15,"Third Reading in Senate",56,0,3
247497,103296,2011-11-09,"Third Reading in House",71,43,0
247497,103587,2011-11-29,"Concurrence in Senate",31,21,7
248859,79888,2011-05-12,"Third Reading in House",102,12,0
248859,86500,2011-05-30,"Third Reading in Senate",32,26,1
249030,85356,2011-05-27,"Third Reading in House",70,45,0
249306,213744,2012-11-28,"Third Reading in House",41,68,5
249395,65835,2011-04-12,"Third Reading in House",114,0,0
249433,63796,2011-04-07,"Motion in House",57,54,0
249433,63797,2011-04-07,"Motion in House",62,49,0
249433,63798,2011-04-07,"Motion in House",61,50,0
249433,63799,2011-04-07,"Motion in House",55,55,1
249500,69114,2011-04-12,"Third Reading in House",114,0,0
249538,68211,2011-04-15,"Third Reading in House",46,54,0
249717,84365,2011-05-25,"Third Reading in House",108,9,0
249872,103392,2011-10-27,"Motion in House",67,44,4
249872,214969,2012-12-04,"Third Reading in Senate",26,24,9
249930,77240,2011-05-05,"Third Reading in House",65,52,1
250027,69428,2011-04-15,"Third Reading in House",110,0,0
250027,85917,2011-05-29,"Third Reading in Senate",52,1,6
250119,68307,2011-04-14,"Third Reading in House",91,23,1
250119,198652,2012-05-24,"Third Reading in Senate",48,9,2
250476,77754,2011-05-06,"Third Reading in House",66,43,0
253437,44154,2011-03-09,"Third Reading in House",115,0,0
253503,58782,2011-03-30,"Third Reading in House",53,62,0
253584,43940,2011-03-09,"Third Reading in House",114,0,0
253704,43294,2011-03-03,"Third Reading in House",114,0,0
253704,200198,2012-05-31,"Third Reading in Senate",49,2,8
253987,64506,2011-04-07,"Third Reading in House",110,0,0
253987,84685,2011-05-26,"Third Reading in Senate",53,0,6
253987,85926,2011-05-29,"Concurrence in House",113,0,0
253987,103157,2011-10-25,"Motion in House",111,4,1
255393,60564,2011-03-30,"Third Reading in House",115,0,0
259644,43326,2011-03-03,"Third Reading in House",36,73,4
260467,179481,2012-03-28,"Third Reading in Senate",34,17,8
260467,200232,2012-05-31,"Motion in House",59,54,5
260467,200233,2012-05-31,"Motion in House",47,70,1
260467,200234,2012-05-31,"Motion in House",60,57,1
260467,200235,2012-05-31,"Third Reading in House",57,58,3
260522,64852,2011-03-31,"Third Reading in Senate",55,0,4
260549,68345,2011-04-13,"Third Reading in Senate",58,0,1
260573,179204,2012-03-28,"Third Reading in Senate",55,0,4
260589,72608,2011-04-15,"Third Reading in Senate",54,0,5
260637,213757,2012-11-28,"Third Reading in Senate",30,27,2
260691,64714,2011-03-31,"Third Reading in Senate",50,2,7
260698,179342,2012-03-28,"Third Reading in Senate",55,0,4
260752,60063,2011-03-31,"Third Reading in Senate",52,1,6
260839,74714,2011-03-30,"Third Reading in Senate",53,0,6
260839,85615,2011-05-28,"Third Reading in House",99,11,0
260841,66489,2011-04-13,"Third Reading in Senate",59,0,0
260879,60037,2011-03-30,"Third Reading in Senate",43,11,4
260905,75921,2011-05-03,"Third Reading in Senate",14,30,13
260920,75836,2011-05-03,"Third Reading in Senate",19,30,9
260929,68237,2011-04-15,"Third Reading in Senate",53,0,6
260951,60221,2011-03-31,"Third Reading in Senate",54,0,5
260957,82422,2011-05-19,"Third Reading in Senate",55,0,4
260957,85963,2011-05-30,"Third Reading in House",86,29,0
260993,77156,2011-05-03,"Third Reading in Senate",32,19,8
261028,85909,2011-05-29,"Third Reading in Senate",19,23,13
261061,214068,2012-11-29,"Third Reading in Senate",40,11,8
261061,217078,2013-01-08,"Third Reading in House",112,0,0
261159,67725,2011-04-15,"Third Reading in Senate",34,18,7
261186,195512,2012-05-10,"Third Reading in Senate",32,20,7
261248,58659,2011-03-29,"Third Reading in House",114,0,0
261267,179127,2012-03-28,"Third Reading in Senate",55,0,4
261274,42332,2011-03-01,"Third Reading in House",86,26,0
261374,180492,2012-03-29,"Third Reading in Senate",56,0,3
