bill_id,date,action
440874,2013-01-06,"Prefiled with Clerk by Rep. Lou Lang"
440874,2013-01-09,"First Reading"
440874,2013-01-09,"Referred to Rules Committee"
440874,2013-01-28,"Added Co-Sponsor Rep. Ann Williams"
440874,2013-02-08,"Added Chief Co-Sponsor Rep. Kelly M. Cassidy"
440874,2013-02-19,"Added Chief Co-Sponsor Rep. Emanuel Chris Welch"
440874,2013-02-20,"Added Chief Co-Sponsor Rep. Greg Harris"
440874,2013-02-26,"Added Chief Co-Sponsor Rep. Robyn Gabel"
440874,2013-02-26,"Chief Co-Sponsor Changed to Rep. Robyn Gabel"
440874,2013-02-27,"Assigned to Human Services Committee"
440874,2013-02-28,"House Committee Amendment No. 1 Filed with Clerk by Rep. Lou Lang"
440874,2013-02-28,"House Committee Amendment No. 1 Referred to Rules Committee"
440874,2013-02-28,"House Committee Amendment No. 1 Rules Refers to Human Services Committee"
440874,2013-03-01,"House Committee Amendment No. 2 Filed with Clerk by Rep. Kelly M. Cassidy"
440874,2013-03-01,"House Committee Amendment No. 2 Referred to Rules Committee"
440874,2013-03-04,"House Committee Amendment No. 2 Rules Refers to Human Services Committee"
440874,2013-03-05,"House Committee Amendment No. 3 Filed with Clerk by Rep. Lou Lang"
440874,2013-03-05,"House Committee Amendment No. 3 Referred to Rules Committee"
440874,2013-03-05,"House Committee Amendment No. 4 Filed with Clerk by Rep. Lou Lang"
440874,2013-03-05,"House Committee Amendment No. 4 Referred to Rules Committee"
440874,2013-03-05,"House Committee Amendment No. 3 Rules Refers to Human Services Committee"
440874,2013-03-05,"House Committee Amendment No. 4 Rules Refers to Human Services Committee"
440874,2013-03-06,"House Committee Amendment No. 1 Adopted in Human Services Committee; by Voice Vote"
440874,2013-03-06,"House Committee Amendment No. 2 Adopted in Human Services Committee; by Voice Vote"
440874,2013-03-06,"House Committee Amendment No. 3 Adopted in Human Services Committee; by Voice Vote"
440874,2013-03-06,"House Committee Amendment No. 4 Adopted in Human Services Committee; by Voice Vote"
440874,2013-03-06,"Do Pass as Amended / Short Debate Human Services Committee; 011-004-000"
440874,2013-03-06,"Placed on Calendar 2nd Reading - Short Debate"
440874,2013-03-07,"Second Reading - Short Debate"
440874,2013-03-07,"Placed on Calendar Order of 3rd Reading - Short Debate"
440874,2013-03-07,"Added Co-Sponsor Rep. Sara Feigenholtz"
440874,2013-03-14,"Added Co-Sponsor Rep. Deborah Mell"
440874,2013-03-15,"Removed Co-Sponsor Rep. Ann Williams"
440874,2013-03-15,"Added Co-Sponsor Rep. Ann Williams"
440874,2013-04-04,"Added Co-Sponsor Rep. Kenneth Dunkin"
440874,2013-04-08,"House Floor Amendment No. 5 Filed with Clerk by Rep. Lou Lang"
440874,2013-04-08,"House Floor Amendment No. 5 Referred to Rules Committee"
440874,2013-04-09,"House Floor Amendment No. 5 Recommends Be Adopted Rules Committee; 005-000-000"
440874,2013-04-10,"Recalled to Second Reading - Short Debate"
440874,2013-04-10,"House Floor Amendment No. 5 Adopted"
440874,2013-04-10,"Placed on Calendar Order of 3rd Reading - Short Debate"
440874,2013-04-17,"Third Reading - Short Debate - Passed 061-057-000"
