bill_id,date,action
347440,2012-01-09,"Authored by Representative Torr"
347440,2012-01-09,"Coauthored by Representative Bosma"
347440,2012-01-09,"First reading: referred to Committee on Employment, Labor and Pensions"
347440,2012-01-11,"Committee report: majority and minority reports offered"
347440,2012-01-11,"Minority report (Moseley) not substituted for majority report: voice vote"
347440,2012-01-11,"Minority report (Kersey) not substituted for majority report: Roll Call 12: yeas 38, nays 60"
347440,2012-01-11,"Minority report (C. Fry) not substituted for majority report: Roll Call 13: yeas 38, nays 60"
347440,2012-01-11,"Minority report (Niezgodski) not substituted for majority report: Roll Call 14: yeas 38, nays 60"
347440,2012-01-11,"Minority report (Bartlett) not substituted for majority report: Roll Call 15: yeas 36, nays 60"
347440,2012-01-11,"Committee report: do pass, adopted"
347440,2012-01-12,"House Rule 106.1 suspended"
347440,2012-01-12,"Representatives T. Brown, Burton, Culver, Davis, Ellspermann, Friend, R. Frye, Gutwein, Heaton, Heuer, Kubacki, Lutz, Leonard, Morris, Neese, Noe, Turner, Ubelhor, Wesco and Speedy added as coauthors"
347440,2012-01-13,"Representative Baird added as coauthor"
347440,2012-01-23,"Second reading: amended, ordered engrossed"
347440,2012-01-23,"Motion to strike out the enacting words (Pelath), failed; Roll Call 36: yeas 39, nays 59"
347440,2012-01-23,"Amendment 56 (Torr), prevailed; Roll Call 37: yeas 58, nays 40"
347440,2012-01-23,"Amendment 52 (Koch), prevailed; Roll Call 38: yeas 57, nays 41"
347440,2012-01-23,"Amendment 6 (Bauer), failed; Roll Call 39: yeas 39, nays 59"
347440,2012-01-23,"Amendment 4 (Bardon), failed; Roll Call 40: yeas 39, nays 59"
347440,2012-01-23,"Amendment 29 (Bardon), failed; Roll Call 41: yeas 39, nays 59"
347440,2012-01-23,"Amendment 48 (Moseley), failed; Roll Call 42: yeas 36, nays 58"
347440,2012-01-23,"Amendment 44 (DeLaney), failed; Roll Call 43: yeas 34, nays 63"
347440,2012-01-23,"Amendment 11 (C. Fry), failed; Roll Call 44: yeas 37, nays 58"
347440,2012-01-23,"Amendment 18 (Battles), failed; Roll Call 45: yeas 39, nays 59"
347440,2012-01-23,"Amendment 12 (C. Fry), failed; Roll Call 46: yeas 35, nays 59"
347440,2012-01-23,"Amendment 60 (Moses), failed; Roll Call 47: yeas 39, nays 59"
347440,2012-01-25,"Third reading: passed; Roll Call 57: yeas 54, nays 44"
347440,2012-01-25,"Referred to the Senate"
347440,2012-01-25,"Senate sponsor: Senator Yoder"
347440,2012-01-25,"Cosponsors: Senators Boots, Walker and Banks"
347440,2012-01-26,"First reading: referred to Committee on Pensions and Labor"
347440,2012-01-30,"Committee report: do pass, adopted"
347440,2012-01-31,"Second reading: ordered engrossed"
347440,2012-01-31,"Amendment 10 (Simpson), failed; Roll Call 100: yeas 15, nays 35"
347440,2012-01-31,"Amendment 7 (Simpson), failed; Roll Call 101: yeas 14, nays 36"
347440,2012-01-31,"Amendment 8 (Tallian), failed; Roll Call 102: yeas 14, nays 36"
347440,2012-02-01,"Senators Kruse, Long, Schneider and Smith added as cosponsors"
347440,2012-02-01,"Third reading: passed; Roll Call 161: yeas 28 and nays 22"
347440,2012-02-01,"Returned to the House without amendments"
347440,2012-02-01,"Senator Hershman added as cosponsor"
347440,2012-02-01,"Signed by the Speaker"
347440,2012-02-01,"Signed by the President Pro Tempore"
347440,2012-02-01,"Signed by the President of the Senate"
347440,2012-02-01,"Signed by the Governor"
347443,2012-01-09,"Authored by Representative Wolkins"
347443,2012-01-09,"Coauthored by Representative Dobis"
347443,2012-01-09,"First reading: referred to Committee on Select Committee on Government Reduction"
347443,2012-01-17,"Representative Koch added as coauthor"
347443,2012-01-23,"Committee report: amend do pass, adopted"
347443,2012-01-27,"Second reading: amended, ordered engrossed"
347443,2012-01-27,"Amendment 1 (Wolkins), prevailed; voice vote"
347443,2012-01-27,"Amendment 30 (V. Smith), withdrawn"
347443,2012-01-30,"Third reading: passed; Roll Call 123: yeas 97, nays 0"
347443,2012-01-30,"Referred to the Senate"
347443,2012-01-30,"Senate sponsors: Senators Lawson and Landske"
347443,2012-02-01,"First reading: referred to Committee on Public Policy"
347443,2012-02-16,"Committee report: amend do pass, adopted"
347443,2012-02-20,"Senator Taylor added as cosponsor"
347443,2012-02-28,"Second reading: amended, ordered engrossed"
347443,2012-02-28,"Amendment 2 (Lawson), prevailed; voice vote"
347443,2012-02-28,"Amendment 5 (Lawson), prevailed; voice vote"
347443,2012-02-28,"Amendment 4 (Gard), prevailed; voice vote"
347443,2012-02-29,"Third reading: passed; Roll Call 266: yeas 44 and nays 4"
347443,2012-02-29,"Returned to the House with amendments"
347443,2012-03-01,"House dissented from Senate amendments"
347443,2012-03-01,"House conferees appointed: Wolkins and Pierce"
347443,2012-03-01,"House advisors appointed: Koch, Noe and Dobis"
347443,2012-03-05,"Senate conferee appointed: Lawson and Tallian"
347443,2012-03-05,"Senate advisors appointed: Landske, Taylor and Gard"
347443,2012-03-09,"House reconsidered and concurred in Senate amendments; Roll Call 394: yeas 61, nays 36"
347443,2012-03-09,"Joint Rule 20 technical correction adopted by the Senate"
347443,2012-03-09,"Joint Rule 20 technical correction adopted by the House"
347443,2012-03-13,"Signed by the President Pro Tempore"
347443,2012-03-13,"Signed by the Speaker"
347443,2012-03-14,"Signed by the President of the Senate"
347443,2012-03-19,"Signed by the Governor"
347446,2012-01-09,"Authored by Representative Crouch"
347446,2012-01-09,"Coauthored by Representative Dobis"
347446,2012-01-09,"First reading: referred to Committee on Government and Regulatory Reform"
347446,2012-01-09,"Reassigned to Committee on Select Committee on Government Reduction"
347446,2012-01-17,"Representative Karickhoff added as coauthor"
347446,2012-01-23,"Committee report: amend do pass, adopted"
347446,2012-01-26,"Second reading: amended, ordered engrossed"
347446,2012-01-26,"Amendment 1 (Crouch), prevailed; voice vote"
347446,2012-01-26,"Amendment 2 (Pierce), prevailed; voice vote"
347446,2012-01-27,"Third reading: passed; Roll Call 83: yeas 92, nays 0"
347446,2012-01-27,"Referred to the Senate"
347446,2012-01-27,"Senate sponsor: Senator Holdman"
347446,2012-01-30,"Representative Klinker added as coauthor"
347446,2012-02-01,"First reading: referred to Committee on Public Policy"
347446,2012-02-14,"Committee report: do pass, adopted"
347446,2012-02-14,"Senator Alting added as second sponsor"
347446,2012-02-14,"Senator Becker added as third sponsor"
347446,2012-02-16,"Second reading: amended, ordered engrossed"
347446,2012-02-16,"Amendment 1 (Holdman), prevailed; voice vote"
347446,2012-02-20,"Senator Arnold added as cosponsor"
347446,2012-02-21,"Third reading: passed; Roll Call 214: yeas 49 and nays 0"
347446,2012-02-21,"Returned to the House with amendments"
347446,2012-03-01,"House dissented from Senate amendments"
347446,2012-03-01,"House conferees appointed: Crouch and Dobis"
347446,2012-03-01,"House advisors appointed: Mahan, Karickhoff and Pierce"
347446,2012-03-01,"Senate conferee appointed: Holdman and Arnold"
347446,2012-03-01,"Senate advisor appointed: Alting"
347446,2012-03-05,"Senator Gard added as advisor"
347446,2012-03-09,"Conference committee report 1 : filed in the House"
347446,2012-03-09,"Rules suspended"
347446,2012-03-09,"Conference committee report 1 : adopted by the House; Roll Call 411: yeas 74, nays 20"
347446,2012-03-10,"Senate Rule 86(a) suspended"
347446,2012-03-10,"Conference committee report 1 : adopted by the Senate; Roll Call 364: yeas 41, nays 9"
347446,2012-03-13,"Signed by the President Pro Tempore"
347446,2012-03-13,"Signed by the Speaker"
347446,2012-03-14,"Signed by the President of the Senate"
347446,2012-03-19,"Signed by the Governor"
347449,2012-01-09,"Authored by Representative Richardson"
347449,2012-01-09,"First reading: referred to Committee on Elections and Apportionment"
347449,2012-01-12,"Committee report: do pass, adopted"
347449,2012-01-12,"Representative Koch added as coauthor"
347449,2012-01-26,"Representative Bartlett added as coauthor"
347449,2012-01-27,"Second reading: amended, ordered engrossed"
347449,2012-01-27,"Amendment 11 (Richardson), prevailed; voice vote"
347449,2012-01-27,"Amendment 8 (Austin), ruled out of order"
347449,2012-01-27,"Amendment 5 (Grubb), withdrawn"
347449,2012-01-30,"Third reading: passed; Roll Call 124: yeas 96, nays 0"
347449,2012-01-30,"Referred to the Senate"
347449,2012-01-30,"Senate sponsors: Senators Landske and Lawson"
347449,2012-02-01,"First reading: referred to Committee on Elections"
347449,2012-02-13,"Committee report: amend do pass, adopted"
