bill_id,roll_call_id,date,description,yea,nay,nv
802039,485664,2016-01-20,"Senate - Committee Vote",9,0,0
802039,487765,2016-01-26,"Senate - Third reading",49,0,0
802039,493815,2016-02-10,"House - Committee Vote",12,0,0
802039,497648,2016-02-16,"House - Third reading",95,0,1
802039,504607,2016-02-23,"Senate - Senate concurred in House Amendments",48,0,2
802040,485832,2016-01-20,"Senate - Committee Vote",6,0,0
802040,487729,2016-01-26,"Senate - Third reading",49,0,0
802040,494388,2016-02-10,"House - Committee Vote",9,0,0
802040,497657,2016-02-16,"House - Third reading",95,0,1
802043,485703,2016-01-20,"Senate - Committee Vote",6,4,0
802043,489591,2016-02-01,"Senate - Third reading",26,24,0
802043,508373,2016-02-29,"House - Committee Vote",7,4,0
802043,511042,2016-03-02,"House - Amendment #7 (DeLaney) failed",28,68,1
802043,511043,2016-03-02,"House - Amendment #1 (Kersey) failed",28,68,1
802043,511044,2016-03-02,"House - Amendment #4 (Smith V) failed",32,64,1
802043,511045,2016-03-02,"House - Amendment #6 (Smith V) failed",27,68,2
802046,486684,2016-01-25,"Senate - Committee Vote",5,4,0
802046,489553,2016-02-01,"Senate - Third reading",33,17,0
802046,506637,2016-02-24,"House - Committee Vote",10,1,0
802046,509784,2016-03-01,"House - Amendment #4 (Kersey) failed",26,67,2
802046,511021,2016-03-02,"House - Third reading",63,31,1
802046,513973,2016-03-04,"Senate - Senate concurred in House Amendments",28,16,2
802052,485766,2016-01-20,"Senate - Committee Vote",9,0,0
802052,487745,2016-01-26,"Senate - Third reading",49,0,0
802075,484803,2016-01-13,"Senate - Committee Vote",8,0,0
802075,486384,2016-01-21,"Senate - Third reading",48,0,0
802075,504631,2016-02-23,"House - Committee Vote",11,0,0
802075,508954,2016-02-29,"House - Third reading",97,0,0
802075,511774,2016-03-02,"Senate - Senate concurred in House Amendments",49,0,1
802080,488165,2016-01-27,"Senate - Committee Vote",7,2,0
802080,490312,2016-02-02,"Senate - Third reading",49,0,1
802080,503086,2016-02-18,"House - Committee Vote",12,0,0
802080,507063,2016-02-25,"House Floor - ",65,28,3
802080,507064,2016-02-25,"House - Amendment #5 (Pelath) failed",35,58,3
802080,507065,2016-02-25,"House - Amendment #7 (Bartlett) prevailed",88,5,1
802080,509653,2016-03-01,"House - Third reading",94,0,1
802080,516614,2016-03-09,"House - Rules Suspended. Conference Committee Report 1",96,0,1
802080,517278,2016-03-10,"Senate - Conference Committee Report 1",50,0,0
802081,484939,2016-01-14,"Senate - Committee Vote",7,0,0
802081,487759,2016-01-26,"Senate - Third reading",49,0,0
802081,493811,2016-02-10,"House - Committee Vote",13,0,0
802081,498033,2016-02-16,"House - Third reading",94,0,2
802082,484807,2016-01-13,"Senate - Committee Vote",8,0,0
802082,486153,2016-01-21,"Senate - Third reading",18,30,0
802084,484798,2016-01-13,"Senate - Committee Vote",10,0,0
802084,486323,2016-01-21,"Senate - Third reading",43,5,0
802084,496659,2016-02-15,"House - Committee Vote",11,2,0
802084,503184,2016-02-22,"House - Third reading",72,24,1
