bill_number,bill_id,title
HB2001,450474,"Substitute HB 2001 by Committee on Veterans, Military and Homeland Security--Military service members; Kansas national guard educational assistance act."
HB2002,450475,"Substitute for HB 2002 by Committee on Federal and State Affairs -- Legislative post audit; financial and security audits."
HB2003,450476,"School districts; finance; amendments to funding formula."
HB2004,450477,"Retaining students from grade-level promotion if not proficient on the reading state assessment for grade three."
HB2005,450478,"State aid for capital improvements and capital outlay for school districts."
HB2006,450479,"Kansas rules and regulations filing act."
HB2007,450480,"Insurance Holding Company act."
HB2008,450481,"Amending the statute of limitations for prosecution of sexually violent offenses where the victime is under 18 years of age."
HB2009,450482,"Relating to restricted driving privileges in lieu of suspension."
HB2010,450483,"Business entities; restricting the use of an acquired entity's name by an acquiring entity."
HB2011,451743,"Senate Substitute for HB 2011 by Committee on Transportation -- Educational institution motorcycle license plates; transferability of certain plates."
HB2012,455658,"Legislative review of exceptions to disclosure of public records."
HB2013,455691,"Amending the crime of perjury."
HB2014,455723,"Senate Substitute for HB 2014 by Committee on Utilities - Repealing the renewable energy act."
HB2015,455757,"Domestic relations; relating to marital property."
HB2016,455791,"Relating to reassignment of judge of the district court positions."
HB2017,455823,"Substitute HB 2017 by Committee on Judiciary--Relating to appeals from municipal court."
HB2018,455857,"Credit card surcharge exemption for certain educational institutions."
HB2019,455890,"Court of appeals judges; appointment by the governor, confirmation by the senate."
HB2020,455921,"Court of appeals judges; direct partisan election."
HB2021,455956,"Authorizing the sale or exchange of Emporia State University property."
HB2022,458075,"Senate Substitute for HB 2022 by Committee on Commerce concerning employees -- relating to certain employee organizations; political activities; certain deductions from wages."
HB2023,458099,"Senate Substitute for HB 2023 by Committee on Commerce - enacting the public service benefits protection act."
HB2024,458124,"Substitute for HB 2024 by Committee on Commerce, Labor and Economic Development- Kansas roofing registration act."
HB2025,458152,"Establishing the Robert G. (Bob) Bethell joint committee on home and community based services and KanCare oversight."
HB2026,458180,"Requiring retailers to obtain identification from purchasers of pre-paid mobile communication devices."
HB2027,458208,"Substitute HB 2027 by Committee on Commerce, Labor and Economic Development- Contract negotiations for certain professional employees."
HB2028,458239,"Providing for venue in Shawnee County District Court in certain forfeiture proceedings"
HB2029,458268,"Relating to the HCBS I/DD waiver."
HB2030,458297,"Creating deer hunting permits for injured combat veterans."
HB2031,458327,"Distribution of sales and use tax revenue; funding streams to the state water plan fund."
HB2032,460995,"Relating to eligibility requirements for the Kansas program of medical assistance."
HB2033,461019,"Concerning the regulation of knives."
HB2034,461045,"Senate Substitute for HB 2034 by Committee on Judiciary - Repealing outdated provisions relating to the purchase of certain real estate by the department of corrections."
HB2035,461070,"Cities; experience requirements for plumbers, electricians and certain mechanical contractors."
HB2036,464721,"Uniform consumer credit code and payday loans."
HB2037,464746,"Senate Substitute for HB 2037 by Committee on Federal and State Affairs -- Secretary of administration; duties of director of accounts and reports transferred."
HB2038,464776,"Voter identification requirement."
HB2039,464805,"Fair elections act; secretary of state; prohibitions of contributions to and endorsement of other elected officials."
HB2040,464835,"Relating to certain addresses to the legislature."
HB2041,464860,"Criminal history record information; definition; municipal court reporting; district court reporting."
HB2042,464889,"Appraisal of property for taxation purposes; appeals; changes."
HB2043,464922,"Senate Substitute for HB 2043 by Committee on Judiciary - Duties, responsibilities and authority of the attorney general."
HB2044,464951,"Increasing the penalty for a person who distributes a controlled substance that causes great bodily harm or death."
HB2045,464979,"Imposing school attendance and minimum grade point average requirements upon certain drivers."
HB2046,465011,"Substitute for HB 2046 by Committee on Transportation – Concerning motor vehicles; relating to golf carts."
HB2047,465034,"Requiring municipalities to vote to increase property tax revenues over previous year; publication."
HB2048,465061,"Sales tax exemption for purchase by and on behalf of Jackson county fair association."
HB2049,468703,"Kansas department of agriculture; increasing certain fees; concerning sunsets on various program fees."
HB2050,468669,"Agriculture; agricultural chemical registration; pesticide business liability insurance; repeal of the Kansas agricultural liming materials act."
HB2051,468634,"Senate Substitute for Substitute for HB 2051 by Committee on Natural Resources -- Enacting the state sovereignty over non-migratory wildlife act."
HB2052,468599,"Senate Substitute for HB 2052 by Committee on Federal and State Affairs; concerning firearms; personal and family protection act; concealed handguns in public building; other changes; unlawful discharge of a firearm inside city."
HB2053,468563,"Amendments pertaining to the board of technical professions."
HB2054,468527,"Community defense act; sexually oriented businesses."
HB2055,468493,"Senate Substitute for HB 2055 by Committee on Federal and State Affairs -- Expanded lottery act; reducing investment and privilege fee, southeast Kansas gaming zone; racetrack gaming facilities authorization deleted; other changes."
HB2056,468459,"Substitute for HB 2056 - by Committee on Taxation - Permitted use of tax information in certain tax actions and proceedings; tax warrants."
HB2057,468426,"Property taxation, sale or abandonment of personal property before taxes paid, liens, appointment of interim appraisers, homesteads destroyed or substantially destroyed by natural disaster, certain agreements by board of county commissioners; privilege tax, deductions; income tax, credits, modification to Kansas adjusted gross income; liquified petroleum motor fuel law, rates of taxation."
HB2058,468386,"Senate Substitute for HB 2058 by Committee on Assessment and Taxation – Sales tax exemption for purchases for construction materials for Wichita children's home, the beacon, inc. and reaching out from within, inc."
HB2059,468352,"Income tax deductions and modifications and severance tax exemptions; basis of partner's interest and shareholder's stock; statutory clarification."
HB2060,468318,"Sales tax, food sales tax refund, excluding certain confined persons; Homestead property tax refund, excluding certain confined persons, computation of refund; earned income credit."
HB2061,468280,"Determination of Kansas adjusted gross income for certain subchapter S corporations."
HB2062,468245,"Fire districts; multiple counties; detachment procedures."
HB2063,468205,"Income tax credit for property taxes paid on homestead damaged by natural disaster."
HB2064,468174,"Law enforcement agency payment rate to health care providers for persons in custody."
HB2065,468139,"Senate substitute for HB 2065 by Committee on Judiciary - Relating to district magistrate judges; jurisdiction; appeals."
HB2066,468102,"Physical therapists; evaluation and treatment of patients."
HB2067,468068,"Board of nursing; assistant attorneys general."
HB2068,468035,"Kansas death with dignity act."
HB2069,467995,"Public policy; certain city ordinances and county resolutions declared void."
HB2070,467962,"Time limits for decisions by courts."
HB2071,467928,"Exchange of real estate by the university of Kansas and the Kansas university endowment association."
HB2072,467895,"Municipalities; solid waste collection; limitations."
HB2073,467859,"Streams, dams and obstructions; chief engineer, division of water resources duties; counties, authority."
HB2074,467823,"Cities and counties; solid waste disposal areas; restrictions."
HB2075,467787,"Cities; qualifications and rehabilitation of abandoned property."
HB2076,467752,"Hunting and fishing licenses; exemptions for disabled veterans."
HB2077,467717,"Senate Substitute for HB 2077 - by Committee on Federal and State Affairs concerning alcoholic beverages; club and drinking establishments; samples; employees; other."
HB2078,467686,"Authorizing certain licensing boards to accept education, training or experience completed in the military towards licensure in this state."
