bill_id,date,action
450474,2013-01-14,"House Prefiled for Introduction on Tuesday, December 11, 2012"
450474,2013-01-14,"House Introduced"
450474,2013-01-14,"House Referred to Committee on Veterans, Military and Homeland Security"
450474,2013-01-16,"House Hearing: Tuesday, January 22, 2013, 9:00 AM Room 152-S"
450474,2013-02-13,"House Committee Report recommending substitute bill be passed by"
450474,2013-02-18,"House Committee of the Whole - Committee Report be adopted recommending substitute bill be passed"
450474,2013-02-18,"House Committee of the Whole - Referred to Committee on Veterans, Military and Homeland Security"
450474,2014-05-30,"House Died in Committee"
450475,2013-01-14,"House Prefiled for Introduction on Tuesday, December 11, 2012"
450475,2013-01-14,"House Introduced"
450475,2013-01-14,"House Referred to Committee on Federal and State Affairs"
450475,2013-01-25,"House Hearing: Friday, February 01, 2013, 9:00 AM Room 346-S"
450475,2013-03-20,"House Committee Report recommending substitute bill be passed by"
450475,2013-03-25,"House Committee of the Whole - Passed over and retain a place on the calendar"
450475,2013-03-25,"House Committee of the Whole - Committee Report be adopted recommending substitute bill be passed"
450475,2013-03-25,"House Committee of the Whole - Substitute bill be passed"
450475,2013-03-26,"House Final Action - Substitute passed;  Yea: 118 Nay: 1"
450475,2013-03-26,"Senate Received and Introduced"
450475,2013-03-27,"Senate Referred to Committee on Federal and State Affairs"
450475,2014-01-23,"Senate Hearing: Tuesday, January 28, 2014, 10:30 AM Room 144-S"
450475,2014-02-07,"Senate Committee Report recommending bill be passed by"
450475,2014-03-25,"Senate Committee of the Whole - Motion to Amend - Offered by  Senator Ostmeyer"
450475,2014-03-25,"Senate Committee of the Whole - Amendment by  Senator Ostmeyer was adopted"
450475,2014-03-25,"Senate Committee of the Whole - Motion to Amend - Offered by  Senator Fitzgerald"
450475,2014-03-25,"Senate Committee of the Whole - Amendment by  Senator Fitzgerald was withdrawn"
450475,2014-03-25,"Senate Committee of the Whole - Substitute bill be passed as amended"
450475,2014-03-25,"Senate Emergency Final Action - Substitute passed as amended;  Yea: 38 Nay: 2"
450475,2014-04-01,"House Concurred with amendments;  Yea: 122 Nay: 1"
450475,2014-04-04,"House Enrolled and presented to Governor on Friday, April 04, 2014"
450475,2014-04-30,"House Approved by Governor on Thursday, 10 April 2014"
450476,2013-01-14,"House Prefiled for Introduction on Monday, January 07, 2013"
450476,2013-01-14,"House Introduced"
450476,2013-01-14,"House Referred to Committee on Education"
450476,2013-02-01,"House Withdrawn from  Committee on Education; Referred to Committee on Education Budget"
450476,2013-02-06,"House Hearing: Thursday, February 14, 2013, 3:30 PM Room 281-N"
450476,2013-02-28,"House Withdrawn from  Committee on Education Budget; Referred to Committee on Appropriations"
450476,2013-03-01,"House Withdrawn from  Committee on Appropriations; Rereferred to Committee on Education Budget"
450476,2013-03-08,"House Committee Report recommending bill be passed as amended by"
450476,2013-03-26,"House Committee of the Whole - Passed over and retain a place on the calendar"
450476,2014-05-30,"House Died on Calendar"
450477,2013-01-14,"House Prefiled for Introduction on Monday, January 07, 2013"
450477,2013-01-14,"House Introduced"
450477,2013-01-14,"House Referred to Committee on Education"
450477,2014-05-30,"House Died in Committee"
450478,2013-01-14,"House Prefiled for Introduction on Monday, January 07, 2013"
450478,2013-01-14,"House Introduced"
450478,2013-01-14,"House Referred to Committee on Education"
450478,2014-05-30,"House Died in Committee"
450479,2013-01-14,"House Prefiled for Introduction on Tuesday, January 08, 2013"
450479,2013-01-14,"House Introduced"
450479,2013-01-14,"House Referred to Committee on Judiciary"
450479,2013-01-17,"House Hearing: Thursday, January 24, 2013, 3:30 PM Room 112-N"
450479,2013-01-29,"House Committee Report recommending bill be passed and placed on Consent Calendar by"
450479,2013-02-04,"House Final Action - Passed;  Yea: 119 Nay: 0"
450479,2013-02-04,"Senate Received and Introduced"
450479,2013-02-05,"Senate Referred to Committee on Judiciary"
450479,2013-02-28,"Senate Hearing: Thursday, March 07, 2013, 10:30 AM Room 346-S"
450479,2013-03-07,"Senate Committee Report recommending bill be passed and placed on Consent Calendar by"
450479,2013-03-13,"Senate Consent Calendar Passed  Yea: 40 Nay: 0"
450479,2013-03-19,"House Enrolled and presented to Governor on Tuesday, March 19, 2013"
450479,2013-03-27,"House Approved by Governor on Thursday, 28 March 2013"
450480,2013-01-14,"House Prefiled for Introduction on Thursday, January 10, 2013"
450480,2013-01-14,"House Introduced"
450480,2013-01-14,"House Referred to Committee on Insurance"
450480,2013-01-30,"House Hearing: Monday, February 04, 2013, 3:30 PM Room 152-S"
450480,2013-02-08,"House Committee Report recommending bill be passed by"
450480,2013-02-27,"House Committee of the Whole - Be passed"
450480,2013-02-28,"House Final Action - Passed;  Yea: 104 Nay: 20"
450480,2013-02-28,"Senate Received and Introduced"
450480,2013-03-01,"Senate Referred to Committee on Financial Institutions and Insurance"
450480,2013-03-08,"Senate Hearing: Thursday, March 14, 2013, 9:30 AM Room 546-S"
