bill_id,date,action
28069,2010-11-04,"To: Interim Joint Committee on Judiciary"
28069,2010-01-05,"introduced in House"
28069,2010-01-05,"to Judiciary (H)"
28069,2010-01-06,"taken from committee"
28069,2010-01-06,"1st reading"
28069,2010-01-06,"recommitted to Judiciary (H)"
28069,2010-01-06,"posting waived"
28069,2010-01-07,"reported favorably, 2nd reading, to Rules with Committee Substitute, committee amendment (1-title)"
28069,2010-01-07,"floor amendment (1) filed to Committee Substitute"
28069,2010-01-08,"posted for passage in the Regular Orders of the Day for Tuesday, January 12, 2010"
28069,2010-01-11,"floor amendments (2) and (3) filed to Committee Substitute, floor amendment (4-title) filed"
28069,2010-01-12,"3rd reading, passed 97-0 with Committee Substitute, floor amendments (1) (2) (3) and (4-title)"
28069,2010-01-13,"received in Senate"
28069,2010-01-14,"to Judiciary (S)"
28069,2010-03-11,"reported favorably, 1st reading, to Calendar with Committee Substitute, committee amendment (1-title)"
28069,2010-03-11,"floor amendment (1) filed to Committee Substitute"
28069,2010-03-12,"2nd reading, to Rules"
28069,2010-03-16,"recommitted to Judiciary (S)"
28069,2010-03-16,"reported favorably, to Rules with Committee Substitute (2)"
28069,2010-03-16,"posted for passage in the Regular Orders of the Day for Wednesday, March 17, 2010"
28069,2010-03-17,"3rd reading"
28069,2010-03-17,"Committee Substitute (1) withdrawn"
28069,2010-03-17,"floor amendment (1) withdrawn"
28069,2010-03-17,"passed 38-0 with Committee Substitute (2), committee amendment (1-title)"
28069,2010-03-18,"received in House"
28069,2010-03-18,"to Rules (H)"
28069,2010-03-22,"posted for passage for concurrence in Senate Committee Substitute (2), committee amendment (1-title)"
28069,2010-03-23,"House refused to concur in Senate Committee Substitute (2), committee amendment (1-title)"
28069,2010-03-23,"received in Senate"
28069,2010-03-26,"posted for passage for receding from Senate Committee Substitute (2), committee amendment (1-title)"
28069,2010-03-26,"Senate refused to recede from Committee Substitute (2), committee amendment (1-title)"
28069,2010-03-26,"Conference Committee appointed in House and Senate"
28069,2010-03-29,"Conference Committee report filed in House and Senate"
