bill_number,bill_id,title
HB1,487624,"AN ACT relating to special purpose governmental entities, making an appropriation therefor, and declaring an emergency."
HB2,508777,"AN ACT relating to redistricting."
HB3,490868,"AN ACT relating to human trafficking and making an appropriation therefor."
HB5,490876,"AN ACT relating to the prompt payment of Medicaid claims and declaring an emergency."
HB6,487625,"AN ACT relating to economic development."
HB7,487626,"AN ACT authorizing bonds for postsecondary education capital projects, making an appropriation therefor, and declaring an emergency."
HB8,449942,"AN ACT relating to illegal drugs and declaring an emergency."
HB9,487627,"AN ACT relating to domestic violence."
HB10,449927,"AN ACT relating to tax credits for hiring legally blind or severely disabled individuals."
HB11,437627,"AN ACT relating to fire protection services."
HB12,437626,"AN ACT relating to legislative procedures for state fiscal measures."
HB13,437625,"AN ACT relating to foreign law."
HB14,437624,"AN ACT relating to school notification of persons authorized to contact or remove a child."
HB15,437623,"AN ACT relating to dogs."
HB16,437622,"AN ACT relating to sales and use tax holidays and declaring an emergency."
HB17,437621,"AN ACT relating to the angel investor tax credit."
HB18,437620,"AN ACT relating to the sale of alcoholic beverages on election days."
HB19,437619,"AN ACT relating to dextromethorphan abuse."
HB20,437618,"AN ACT relating to retirement."
HB21,437617,"AN ACT relating to retirement."
HB22,437616,"AN ACT relating to non-felony expungements."
HB23,437615,"AN ACT relating to abortions."
HB24,437614,"AN ACT relating to retirement."
HB25,437613,"AN ACT relating to crimes and punishments."
HB26,437611,"AN ACT relating to retirement benefits for legislators."
HB27,437610,"AN ACT relating to city-operated natural gas distribution systems."
HB28,437609,"AN ACT relating to shock probation."
HB29,437608,"AN ACT relating to information used in redistricting."
HB30,437607,"AN ACT relating to designating a surrogate on a living will directive."
HB31,437606,"AN ACT relating to public financing for judicial campaigns and making an appropriation therefor."
HB32,437605,"AN ACT relating to driving under the influence."
HB33,437604,"AN ACT relating to industrial hemp and making an appropriation therefor."
HB34,437603,"AN ACT relating to interlocal agreements."
HB35,437602,"AN ACT related to anti-bullying."
HB36,437601,"AN ACT relating to the provision of services by county interlocal agreements, making an appropriation therefor, and declaring an emergency."
HB37,437600,"AN ACT relating to property leased by the state."
HB38,437599,"AN ACT relating to coal severance revenues."
HB39,437598,"AN ACT relating to crimes and punishments."
HB40,437597,"AN ACT relating to utility franchises."
HB41,437595,"AN ACT relating to DNA."
HB42,437594,"AN ACT relating to Medicaid managed care and declaring an emergency."
HB43,437593,"AN ACT relating to state government."
HB44,437592,"AN ACT relating to healthy food choices in school cafeterias."
HB45,437591,"AN ACT relating to postsecondary financial aid for students with intellectual disabilities."
HB46,437590,"AN ACT relating to the Council on Postsecondary Education."
HB47,437589,"AN ACT relating to expungement."
HB48,437588,"AN ACT relating to the abolition of the death penalty."
HB49,437587,"AN ACT relating to the Kentucky Higher Education Student Loan Corporation educational loan program."
HB50,437586,"AN ACT relating to misdemeanor or violation expungement."
HB51,437585,"AN ACT relating to disaster relief funding."
HB52,437584,"AN ACT relating to the expansion of gaming and making an appropriation therefor."
HB53,437583,"AN ACT relating to consumer protection."
HB54,437582,"AN ACT relating to money transmitters."
HB55,437581,"AN ACT relating to the definition of ""American Indian."""
HB56,437579,"AN ACT designating the Kentucky Long Rifle as the official gun of the Commonwealth of Kentucky."
HB57,437578,"AN ACT relating to non-felony expungements."
HB58,437577,"AN ACT relating to problem, compulsive, or pathological gambling and making an appropriation therefor."
HB59,437576,"AN ACT relating to early high school graduation."
HB60,437575,"AN ACT relating to hunting coyotes."
HB61,437574,"AN ACT relating to the Judicial Retirement and Removal Commission."
HB62,437573,"AN ACT relating to the taxation of food sold through vending machines."
HB63,437572,"AN ACT relating to retirement."
HB64,437571,"AN ACT relating to police officers."
HB65,437570,"AN ACT relating to reporting of school safety incidents."
HB66,437569,"AN ACT relating to radon contractors."
HB67,437568,"AN ACT relating to recycling scrap metal."
HB68,437567,"AN ACT relating to elections."
HB69,437566,"AN ACT relating to domestic relations."
HB70,437565,"AN ACT proposing an amendment to Section 145 of the Constitution of Kentucky relating to persons entitled to vote."
HB71,437563,"AN ACT relating to dental examinations for Medicaid applicants."
HB72,437562,"AN ACT relating to criminal record expungement."
HB73,437561,"AN ACT relating to the protection of adults and making an appropriation therefor."
HB74,437560,"AN ACT relating to the substitution of opioids in pharmacies."
HB75,437559,"AN ACT relating to reemployment after retirement."
HB76,447693,"AN ACT relating to charter schools and making an appropriation therefor."
HB77,447694,"AN ACT relating to consumer protection."
HB78,447695,"AN ACT relating to court-ordered community-based outpatient treatment."
HB79,447697,"AN ACT relating to the prescription of naloxone."
HB80,447698,"AN ACT relating to purchases by enrollees in a home and community-based services waiver program."
HB81,447700,"AN ACT relating to harassing communications."
HB82,447701,"AN ACT relating to military service."
HB83,447702,"AN ACT relating to the distribution of open meetings and open records materials to local officials."
HB84,447704,"AN ACT relating to qualifications of school-based decision making council members and declaring an emergency."
HB85,447706,"AN ACT relating to residency of school-based decision making council members and declaring an emergency."
HB86,447708,"AN ACT relating to surface mining."
HB87,447709,"AN ACT relating to motor vehicle insurance."
HB88,447711,"AN ACT relating to postsecondary education tuition and fee waivers for families of veterans."
HB89,447712,"AN ACT relating to DNA."
HB90,447713,"AN ACT relating to retirement."
HB91,447714,"AN ACT relating to crimes and punishments."
HB92,447715,"AN ACT relating to preschool for children with disabilities."
HB93,447718,"AN ACT relating to outdoor warning siren systems."
HB94,447719,"AN ACT relating to trespass."
HB95,447721,"AN ACT relating to crimes and punishments."
HB96,447722,"AN ACT relating to transportation."
HB97,447724,"AN ACT relating to employment."
HB98,447725,"AN ACT relating to teen dating violence."
HB99,447726,"AN ACT relating to operator's licenses and personal identification cards."
HB100,447728,"AN ACT relating to auctioneers."
HB101,447729,"AN ACT relating to dogs."
HB102,447731,"AN ACT relating to unemployment insurance."
HB103,447732,"AN ACT relating to crimes and punishments."
HB104,447733,"AN ACT relating to art therapy."
HB105,447735,"AN ACT relating to the use of juries in competency hearings conducted in guardianship proceedings."
HB106,447736,"AN ACT relating to criminal sexual abuse."
HB107,447738,"AN ACT relating to sexual offenses."
HB108,447739,"AN ACT relating to landlords and tenants."
HB109,447741,"AN ACT relating to athletic trainers."
HB110,447742,"AN ACT relating to utility rate adjustment for fuel costs."
HB111,447743,"AN ACT relating to the economic and environmental sustainability of forest lands."
HB112,447745,"AN ACT relating to the promotion of organ and tissue donation."
HB113,447746,"AN ACT relating to motor vehicle insurance."
HB114,447748,"AN ACT relating to child welfare."
HB115,447749,"AN ACT relating to juvenile records."
HB116,447751,"AN ACT relating to status offenders."
HB117,448736,"AN ACT relating to teacher tenure."
HB118,448762,"AN ACT relating to the operation of motor vehicles."
HB119,449916,"AN ACT relating to public procurement."
HB120,448788,"AN ACT relating to real estate appraisal."
HB121,448813,"AN ACT relating to property taxes."
HB122,448839,"AN ACT relating to vehicle weight limits."
HB123,449900,"AN ACT relating to address confidentiality."
HB124,449890,"AN ACT relating to motor vehicles."
HB125,449875,"AN ACT relating to the operation of motor vehicles."
HB126,449862,"AN ACT relating to the Petroleum Tank Environmental Assurance Fund."
HB127,449845,"AN ACT relating to early fetal death certificates."
HB128,449831,"AN ACT relating to elk hunting permits."
HB129,449821,"AN ACT relating to tolls."
HB130,449805,"AN ACT relating to the Kentucky Aviation Economic Development Fund and making an appropriation therefor."
HB131,449792,"AN ACT relating to the enrollment of refugee or legal alien students in schools."
HB132,449778,"AN ACT relating to unborn children."
HB133,449765,"AN ACT relating to reorganization."
HB134,449752,"AN ACT relating to tax credits for environmental remediation."
HB135,449741,"AN ACT relating to school and student safety."
HB136,449724,"AN ACT relating to an insurer's use of credit scores for underwriting purposes."
HB137,449711,"AN ACT relating to users of the public roadway."
HB138,449698,"AN ACT creating the Kentucky Retirement Systems unfunded liability trust fund, and making an appropriation therefor."
HB139,449684,"AN ACT relating to revenue measures for financing the Kentucky Retirement Systems' unfunded liability."
HB140,449671,"AN ACT relating to revenue measures for financing the Kentucky Retirement Systems' unfunded liability."
HB141,449655,"AN ACT relating to tax credits for farmers."
HB142,487629,"AN ACT relating to taxation."
HB143,487630,"AN ACT relating to freedom of conscience in healthcare."
HB144,487631,"AN ACT relating to Medicaid reimbursement in schools and declaring an emergency."
HB145,487632,"AN ACT relating to civil actions."
HB146,487634,"AN ACT relating to drugs and medicines."
HB147,487635,"AN ACT proposing to amend and create sections of the Constitution of Kentucky relating to the office of Constable."
HB148,487636,"AN ACT relating to the Kentucky Wood Products Competitiveness Corporation."
HB149,487637,"AN ACT relating to the veterans' program trust fund."
HB150,487639,"AN ACT relating to fish and wildlife."
HB151,487640,"AN ACT relating to patient dumping."
HB152,487641,"AN ACT relating to apprenticeship."
HB153,487642,"AN ACT relating to barbers."
HB154,487643,"AN ACT relating to economic development and making an appropriation therefor."
HB155,487645,"AN ACT relating to the Special Needs Alternative Education and Welfare Program."
HB156,487646,"AN ACT relating to firearms, including ammunition and accessories for firearms."
HB157,487647,"AN ACT relating to local government procurement."
HB158,487649,"AN ACT relating to crimes and punishments."
HB159,487650,"AN ACT relating to crimes and punishments."
HB160,487651,"AN ACT reclassifying the City of Taylorsville."
HB161,487652,"AN ACT relating to the criminal justice system."
HB162,487654,"AN ACT relating to elevator inspections and licensure."
HB163,487655,"AN ACT relating to voluntary unification of counties."
HB164,487656,"AN ACT relating to proof of motor vehicle insurance."
HB165,487657,"AN ACT relating to rock quarries."
HB166,487658,"AN ACT relating to mental health records."
