bill_id,sponsor_id
437519,1238
437520,1238
437521,1238
437521,1246
437522,1226
437523,1238
437524,1238
437524,1246
437525,1238
437525,1246
437526,1238
437529,1216
437529,1224
437529,1226
437529,1236
437529,1237
437529,1244
437529,1248
437530,11094
437531,1236
437531,1238
437531,1242
437531,1249
437534,1216
437534,1224
437534,1249
437535,1226
437536,1238
437537,1238
437538,1226
437538,1249
437538,11092
437539,1249
437540,1216
437540,1220
437540,1224
437540,1242
437540,1249
437540,11096
437540,14927
437541,1229
437541,11095
437542,1218
437542,1226
437542,11095
437542,14434
437543,1216
437543,1224
437543,1238
437543,1242
437543,11096
437544,1242
437544,11092
437544,11095
437544,11096
437544,14434
437544,14927
437545,1220
437545,1224
437545,1242
437546,1226
437546,1238
437546,1246
437546,11093
437546,11095
437546,14434
437547,1143
437547,1168
437549,1118
437549,1119
437549,1122
437549,1125
437549,1126
437549,1127
437549,1129
437549,1130
437549,1131
437549,1136
437549,1137
437549,1138
437549,1139
437549,1140
437549,1141
437549,1143
437549,1146
437549,1147
437549,1148
437549,1150
437549,1151
437549,1152
437549,1154
437549,1155
437549,1156
437549,1159
437549,1160
437549,1162
437549,1164
437549,1165
437549,1166
437549,1168
437549,1169
437549,1170
437549,1171
437549,1172
437549,1174
437549,1175
437549,1179
437549,1180
437549,1181
437549,1182
437549,1184
437549,1185
437549,1186
437549,1187
437549,1188
437549,1189
437549,1190
437549,1191
437549,1192
437549,1196
437549,1198
437549,1199
437549,1202
437549,1203
437549,1204
437549,1205
437549,1206
437549,1208
437549,1209
437549,1213
437549,1214
437549,1215
437549,2373
437549,11081
437549,11083
437549,11084
437549,11085
437549,11086
437549,11088
437549,11089
437549,12028
437549,13784
437549,13885
437549,14421
437549,14422
437549,14423
437549,14424
437549,14425
437549,14426
437549,14427
437549,14428
437549,14429
437549,14430
437549,14431
437549,14432
437549,14433
437550,1150
437551,13885
437552,1154
437552,1199
437553,1167
437554,11085
437555,1199
437556,1154
437557,1190
437558,1169
437559,1182
437560,1175
437560,1212
437560,1213
437560,13784
437561,1125
437561,1189
437561,1190
437562,1127
437562,1194
437563,1154
437565,1125
437565,1135
437565,1147
437565,1150
437565,1152
437565,1153
437565,1160
437565,1162
437565,1169
437565,1171
437565,1181
437565,1187
437565,1190
437565,1194
437565,1209
437565,1212
437566,1153
437566,1165
437566,1205
437566,14422
437567,1188
437568,1199
437569,1148
437569,1188
437569,14431
437570,1181
437571,1122
437572,1130
437573,1188
437573,1201
437573,1208
437573,1212
437573,2373
437574,1177
437575,1191
437575,1192
437575,1199
437575,1215
437576,1174
437576,1175
437577,1143
437577,1152
437577,1190
437577,2373
437578,1160
437578,1214
437579,1171
437581,1171
437582,1204
437583,1177
437584,1152
437584,1160
437584,1163
437585,1185
437585,1189
437585,1198
437585,1213
437586,1181
437587,1139
437588,1147
437588,1148
437588,1169
437588,1171
437588,1181
437588,1190
437588,1209
437588,11083
437589,1122
437589,1135
437589,1148
437589,1152
437589,1153
437589,1159
437589,1160
437589,1169
437589,1175
437589,1181
437589,1194
437589,1208
437589,1212
437589,1214
437590,1190
437591,1189
437591,1190
437592,1147
437592,1189
437592,1190
437593,1190
437594,1131
437594,1177
437594,1199
437594,14428
437595,1122
437595,1162
437595,1187
437597,1196
437598,1162
437598,1163
437598,1175
437598,1187
437598,1189
437598,1196
437598,1199
437599,1131
437599,1199
437600,1139
437600,1191
437601,1171
437602,1136
437602,1143
437602,1152
437602,1162
437602,1169
437602,1172
437602,1202
437602,11089
437602,13784
437603,1188
437604,1148
437604,1189
437604,2373
437605,1155
437605,1175
437605,1189
437605,11085
437605,13784
437606,1147
437606,1152
437606,1162
437606,1169
437606,1209
437607,1138
437607,1174
437607,1179
437607,14422
437608,1181
437609,1136
437609,1143
437609,1155
437609,1163
437609,1189
437609,1192
437609,1202
437609,1215
437609,11083
437609,11085
437609,13784
437609,14425
437609,14428
437609,14429
437609,14430
437610,1204
437611,1143
437611,1148
437611,1175
437611,1182
437611,1188
437611,11081
437613,1162
437614,1136
437614,1141
437614,1143
437614,1148
437614,1175
437615,1136
437615,1143
437615,1146
437615,1148
437615,1168
437615,1175
437615,1213
437615,11081
437615,11085
437615,13784
437616,1214
437617,1143
437617,1148
437617,1175
437617,11085
437617,13784
437617,14432
437618,1141
437618,1143
437618,1148
437618,1175
437618,1179
437618,11081
437618,14432
437619,1199
437620,1194
437621,1139
437621,1143
437621,1147
437621,1164
437621,1166
437621,1175
437621,1194
437621,1212
437621,1213
437622,1131
437622,1199
437622,13784
437623,1163
437624,1127
437624,1143
437624,11085
437625,1175
437625,11085
437625,13784
437626,1143
437626,1175
437626,11085
437626,13784
437627,1148
437627,1189
447693,1174
447693,1175
447693,1179
447694,1174
447695,1125
447697,1125
447697,1147
447698,1125
447698,1174
447698,11083
447700,1189
447700,11083
447701,1143
447701,1175
447701,1214
447701,11085
447701,12028
447701,13784
447702,1152
447704,1152
447706,1152
447708,1125
447708,1135
447708,1147
447708,1152
447708,1162
447708,1169
447708,1171
447708,1181
447708,1189
447708,1209
447708,11089
447709,1136
447709,1154
447709,14431
447711,1130
447711,1131
447711,1199
447712,1162
447712,1169
447712,1171
447713,1143
447713,11089
447714,1181
447715,11085
447715,13784
447718,11085
447718,13784
447719,1125
447719,1162
447719,1169
447719,1209
447721,1139
447721,1162
447721,1189
447722,1139
447724,1125
447724,1162
447724,1209
447725,1162
447725,1171
447725,1187
447725,1192
447725,1199
447725,2373
447726,1162
447726,1189
447728,1167
447729,1168
447731,1177
447732,1191
447733,1169
447735,1162
447735,1208
447735,1212
447735,1214
447736,1162
447738,1162
447739,1162
447739,1171
447741,1162
447741,1172
447742,1151
447743,1177
447743,1179
447745,1136
447745,1154
447745,1165
447745,1170
447745,1189
447745,1214
447745,11089
447745,14421
447745,14431
447746,1136
447748,1136
447749,1123
447749,1162
447751,1123
447751,1136
447752,1218
447752,1221
447752,1223
447752,1230
447752,1239
447752,1241
447752,1246
447752,11090
447752,11093
447752,11094
447752,11095
447752,14434
447752,14435
447752,14645
447752,14647
447753,1223
447753,11092
447753,14434
447753,14926
447753,14927
447755,1225
447756,1220
447756,1242
447758,1238
447758,11093
447758,11095
447758,14434
447759,1218
447761,1220
447761,1224
447761,1242
447761,14927
447762,1242
447763,1242
447765,1220
447765,1224
447765,1242
447766,1218
447768,1221
447769,1221
447769,1224
447769,11095
447771,1249
447772,1226
447774,1221
447776,1221
447776,14434
447777,1221
447777,1246
447777,11093
447777,11095
447777,14434
447779,1221
447779,1246
447779,11093
447779,11095
447779,14434
447780,1220
447782,11092
447783,1226
447783,11095
448736,1201
448762,1138
448762,1141
448788,1160
448788,1212
448813,1141
448839,1170
448868,1118
448894,1219
448920,1216
448920,1220
448920,1224
448920,1226
448920,1236
448920,1249
448920,11092
448920,11095
448920,14434
448945,1218
448945,1220
448945,1236
448945,11092
448971,1218
448997,1220
448997,1224
448997,1232
449020,1246
449527,1221
449535,1220
449535,1221
449535,1224
449549,1236
449549,1248
449549,11093
449560,1220
449560,1221
449560,1224
449560,1236
449560,1239
449560,1242
449560,11096
449576,1216
449576,1220
449576,1224
449576,1226
449576,1238
449576,1239
449576,1242
449576,1246
449576,1249
449576,11096
449576,14927
449586,1238
449586,14434
449601,1236
449614,14435
449631,1241
449643,1171
449655,1122
449655,1126
449655,1129
449655,1139
449655,1141
449655,1143
449655,1150
449655,1152
449655,1165
449655,1170
449655,1172
449655,1180
449655,1189
449655,1202
449655,1203
449655,1204
449655,1206
449655,1212
449655,1214
449655,2373
449655,11085
449655,11088
449655,11089
449655,13784
449655,13885
449655,14425
449655,14426
449655,14427
449655,14431
449671,1189
449684,1189
449698,1189
449711,1143
449711,1147
449724,11086
449741,1131
449741,1139
449741,1154
449741,1156
449741,1170
449741,1198
449741,1203
449752,1160
449752,1166
449752,1174
449765,1152
449778,1143
449778,1146
449778,1155
449778,1175
449778,1213
449778,11085
449778,13784
449778,14421
449778,14427
449792,1138
449792,1172
449792,1187
449792,1202
449805,1138
449805,1187
449805,1202
449821,1122
449821,1162
449821,1169
449821,1171
449821,1181
449821,1189
449821,1194
449821,1209
449821,14424
449831,1130
449831,11084
449845,1126
449845,1127
449845,1141
449845,1143
449845,1146
449845,1155
449845,1166
449845,1175
449845,1179
449845,1191
449845,1192
449845,1206
449845,1213
449845,11081
449845,11083
449845,11085
449845,11086
449845,12028
449845,13885
449845,14421
449845,14422
449845,14423
449845,14427
449845,14428
449845,14430
449845,14431
449845,14432
449862,1202
449862,1214
449875,1130
449875,1138
449875,1165
449875,1187
449875,1214
449875,14431
449890,1143
449890,13885
449900,1125
449900,1169
449900,13784
449916,1129
449916,1163
449916,1170
449916,1172
449916,1177
449916,1181
449916,1189
449916,14424
449916,14425
449916,14426
449927,1126
449927,1165
449927,1212
449942,1141
449942,1205
455642,1131
455642,11084
455662,11084
455678,1168
455697,1203
455715,1118
455733,1118
455750,1118
455750,1119
455750,1122
455750,1123
455750,1125
455750,1126
455750,1127
455750,1129
455750,1130
455750,1131
455750,1133
455750,1134
455750,1135
455750,1136
455750,1137
455750,1138
455750,1139
455750,1140
455750,1141
455750,1143
455750,1146
455750,1147
455750,1148
455750,1150
455750,1151
455750,1152
455750,1153
455750,1154
455750,1155
455750,1156
455750,1159
455750,1160
455750,1162
455750,1163
455750,1164
455750,1165
455750,1166
455750,1167
455750,1168
455750,1169
455750,1170
455750,1171
455750,1172
455750,1174
455750,1175
455750,1177
455750,1179
455750,1180
455750,1181
455750,1182
455750,1184
455750,1185
455750,1186
455750,1187
455750,1188
455750,1189
455750,1190
455750,1191
455750,1192
455750,1194
455750,1196
455750,1198
455750,1199
455750,1201
455750,1202
455750,1203
455750,1204
455750,1205
455750,1206
455750,1207
455750,1208
455750,1209
455750,1212
455750,1213
455750,1214
455750,1215
455750,2373
455750,11081
455750,11083
455750,11084
455750,11085
455750,11086
455750,11088
455750,11089
455750,12028
455750,13784
455750,13885
455750,14421
455750,14422
455750,14423
455750,14424
455750,14425
455750,14426
455750,14427
455750,14428
455750,14429
455750,14430
455750,14431
455750,14432
455750,14433
455766,1139
455784,1139
455804,1139
455820,1139
455841,1139
455841,1156
455841,1212
455859,1139
455859,1152
455859,1170
455875,1143
455892,1143
455892,1212
455892,2373
455909,1118
455909,1119
455909,1122
455909,1125
455909,1126
455909,1127
455909,1129
455909,1130
455909,1131
455909,1136
455909,1137
455909,1138
455909,1139
455909,1140
455909,1141
455909,1143
455909,1146
455909,1147
455909,1148
455909,1150
455909,1151
455909,1152
455909,1154
455909,1155
455909,1156
455909,1159
455909,1160
455909,1162
455909,1165
455909,1166
455909,1168
455909,1169
455909,1170
455909,1171
455909,1172
455909,1174
455909,1175
455909,1179
455909,1180
455909,1181
455909,1182
455909,1184
455909,1185
455909,1186
455909,1187
455909,1188
455909,1189
455909,1190
455909,1191
455909,1192
455909,1198
455909,1199
455909,1202
455909,1203
455909,1204
455909,1205
455909,1206
455909,1208
455909,1209
455909,1212
455909,1213
455909,1214
455909,1215
455909,2373
455909,11081
455909,11084
455909,11085
455909,11086
455909,11088
455909,11089
455909,12028
455909,13784
455909,13885
455909,14421
455909,14422
455909,14423
455909,14424
455909,14425
455909,14426
455909,14427
455909,14428
455909,14429
455909,14430
455909,14431
455909,14432
455909,14433
455929,1139
455945,1162
455965,1171
455965,1181
455981,1237
456001,1238
456001,1243
456001,1246
456001,14434
456018,1243
456018,1244
456036,1244
456052,1244
456052,1246
456071,1244
456092,1224
456092,1226
456108,1232
456128,1248
456146,1249
456162,1238
456179,1238
456196,1238
456214,1216
456214,1218
456214,1219
456214,1220
456214,1221
456214,1222
456214,1223
456214,1224
456214,1225
456214,1226
456214,1228
456214,1229
456214,1230
456214,1232
456214,1233
456214,1236
456214,1237
456214,1238
456214,1239
456214,1241
456214,1242
456214,1243
456214,1244
456214,1246
456214,1248
456214,1249
456214,11090
456214,11092
456214,11093
456214,11094
456214,11095
456214,11096
456214,14434
456214,14435
456214,14645
456214,14647
456214,14926
456214,14927
456233,1216
456233,1218
456233,1219
456233,1220
456233,1221
456233,1222
456233,1223
456233,1224
456233,1225
456233,1226
456233,1228
456233,1229
456233,1230
456233,1232
456233,1233
456233,1236
456233,1237
456233,1238
456233,1239
456233,1241
456233,1242
456233,1243
456233,1244
456233,1246
456233,1248
456233,1249
456233,11090
456233,11092
456233,11093
456233,11094
456233,11095
456233,11096
456233,14434
456233,14435
456233,14645
456233,14647
456233,14926
456233,14927
456249,1232
456268,1228
456268,1248
456278,1216
456278,1218
456278,1219
456278,1220
456278,1221
456278,1222
456278,1223
456278,1224
456278,1225
456278,1226
456278,1228
456278,1229
456278,1230
456278,1232
456278,1233
456278,1236
456278,1237
456278,1238
456278,1239
456278,1241
456278,1242
456278,1243
456278,1244
456278,1246
456278,1248
456278,1249
456278,11090
456278,11092
456278,11093
456278,11094
456278,11095
456278,11096
456278,14434
456278,14435
456278,14645
456278,14647
456278,14926
456278,14927
487624,1118
487624,1126
487624,1127
487624,1129
487624,1131
487624,1134
487624,1143
487624,1150
487624,1153
487624,1154
487624,1156
487624,1159
487624,1160
487624,1163
487624,1165
487624,1167
487624,1169
487624,1170
487624,1171
487624,1172
487624,1177
487624,1182
487624,1186
487624,1188
487624,1189
487624,1192
487624,1199
487624,1203
487624,1204
487624,1212
487624,1213
