bill_id,date,action
415215,2011-04-13,"Introduced in the Senate; read by title. Rules suspended. Read second time by title and adopted by a vote of 36 yeas and 0 nays. Ordered sent to the House."
415215,2011-04-13,"Received in the House from the Senate."
415215,2011-04-13,"Read by title, rules suspended, concurred in."
415215,2011-04-13,"Received from the House without amendments."
415215,2011-04-13,"Enrolled. Signed by the President of the Senate."
415215,2011-04-13,"Signed by the Speaker of the House."
415215,2011-04-13,"Sent to the Secretary of State by the Secretary of the Senate on 04/14."
415219,2011-04-12,"Introduced in the Senate. Read by title and placed on the Calendar for a second reading."
415219,2011-04-12,"Rules suspended"
415219,2011-04-12,"Read by title and adopted by a vote of 35 yeas and 0 nays. Ordered sent to the House."
415219,2011-04-12,"Received in the House from the Senate."
415219,2011-04-12,"Read by title, rules suspended, concurred in."
415219,2011-04-13,"Received from the House without amendments."
415219,2011-04-13,"Enrolled. Signed by the President of the Senate."
415219,2011-04-13,"Signed by the Speaker of the House."
415219,2011-04-13,"Sent to the Secretary of State by the Secretary of the Senate on 04/14."
415226,2011-04-12,"Introduced in the Senate; read by title. Rules suspended. Read second time by title and adopted by a vote of 33 yeas and 0 nays. Ordered sent to the House."
415226,2011-04-12,"Received in the House from the Senate."
415226,2011-04-12,"Read by title, rules suspended, concurred in."
415226,2011-04-12,"Received from the House without amendments."
415226,2011-04-13,"Enrolled. Signed by the President of the Senate."
415226,2011-04-13,"Signed by the Speaker of the House."
415226,2011-04-13,"Sent to the Secretary of State by the Secretary of the Senate on 04/14."
415229,2011-04-12,"Introduced in the Senate; read by title. Rules suspended. Read second time by title and adopted by a vote of 33 yeas and 0 nays. Ordered sent to the House."
415229,2011-04-12,"Received in the House from the Senate."
415229,2011-04-12,"Read by title, rules suspended, concurred in."
415229,2011-04-12,"Received from the House without amendments."
415229,2011-04-13,"Enrolled. Signed by the President of the Senate."
415229,2011-04-13,"Signed by the Speaker of the House."
415229,2011-04-13,"Sent to the Secretary of State by the Secretary of the Senate on 04/14."
415232,2011-04-11,"Introduced in the Senate; read by title. Rules suspended. Read second time by title and adopted by a vote of 32 yeas and 0 nays. Ordered sent to the House."
415232,2011-04-12,"Received in the House from the Senate."
415232,2011-04-12,"Read by title, rules suspended, concurred in."
415232,2011-04-12,"Received from the House without amendments."
415232,2011-04-13,"Enrolled. Signed by the President of the Senate."
415232,2011-04-13,"Signed by the Speaker of the House."
415232,2011-04-13,"Sent to the Secretary of State by the Secretary of the Senate on 04/14."
415239,2011-04-11,"Introduced in the Senate; read by title. Rules suspended. Read second time by title and adopted by a vote of 33 yeas and 0 nays. Ordered sent to the House."
415239,2011-04-12,"Received in the House from the Senate."
415239,2011-04-12,"Read by title, rules suspended, concurred in."
415239,2011-04-12,"Received from the House without amendments."
415239,2011-04-13,"Enrolled. Signed by the President of the Senate."
415239,2011-04-13,"Signed by the Speaker of the House."
415239,2011-04-13,"Sent to the Secretary of State by the Secretary of the Senate on 04/14."
415246,2011-04-11,"Introduced in the Senate; read by title. Rules suspended. Read second time by title and adopted by a vote of 32 yeas and 0 nays. Ordered sent to the House."
415246,2011-04-12,"Received in the House from the Senate."
