sponsor_id,name
5215,"James Fannin"
5216,"Hunter Greene"
5217,"Jean Doerge"
5218,"Walt Leger"
5219,"Ledricka Thierry"
5221,"Patrick Williams"
5222,"Ernest Wooton"
5224,"Mickey Guillory"
5225,"Frank Hoffmann"
5226,"Jack Montoucet"
5227,"Anthony Ligi"
5228,"James Morris"
5229,"Kevin Pearson"
5230,"Scott Simon"
5231,"Damon Baldone"
5232,"Regina Barrow"
5233,"Henry Burns"
5234,"Timothy Burns"
5235,"Roy Burrell"
5236,"Thomas Carmody"
5237,"Billy Chandler"
5238,"Charles Chaney"
5239,"Patrick Connick"
5240,"George Cromer"
5241,"Gordon Dove"
5242,"Jerry Gisclair"
5243,"John Guinn"
5244,"Walker Hines"
5245,"Frank Howard"
5246,"Kay Katz"
5247,"Eddie Lambert"
5248,"Samuel Little"
5249,"Fred Mills"
5250,"Rickey Nowlin"
5251,"Rogers Pope"
5252,"M.J. Smiley"
5253,"Gary Smith"
5254,"Jane Smith"
5255,"Charmaine Marchand Stiaes"
5256,"Ricky Templet"
5257,"Jim Tucker"
5258,"Neil Abramson"
5259,"Rickey Hardy"
5260,"Charles Kleckley"
5262,"Patricia Smith"
5263,"Kirk Talbot"
5264,"Franklin Foil"
5265,"Nita Hutter"
5266,"Jeffery Arnold"
5267,"Robert Billiot"
5268,"Jared Brossett"
5269,"Herbert Dixon"
5270,"Juan LaFonta"
5271,"Karen St Germain"
5272,"Mack White"
5273,"John Anders"
5274,"Simone Champagne"
5275,"Jonathan Perry"
5276,"Christopher Roy"
5277,"Michael Danahay"
5278,"Brett Geymann"
5279,"Joseph Lopinto"
5280,"Cameron Henry"
5281,"John LaBruzzo"
5282,"Nicholas Lorusso"
5284,"Joseph Harrison"
5285,"Rosalind Jones"
5286,"Sam Jones"
5287,"Michael Jackson"
5288,"Thomas Willmott"
5289,"Nancy Landry"
5290,"Bernard LeBas"
5291,"Jerome Richard"
5292,"John Schroder"
5296,"Patrick Cortez"
5297,"James Armes"
5298,"John Edwards"
5299,"Taylor Barras"
5300,"Harold Ritchie"
5302,"Clifton Richardson"
5304,"Austin Badon"
5305,"Bobby Badon"
5306,"Hollis Downs"
5307,"Lowell Hazel"
5308,"Reed Henderson"
5309,"Dorothy Hill"
5310,"Girod Jackson"
5311,"Thomas McVea"
5312,"Nickie Monica"
5313,"Stephen Pugh"
5314,"Joel Robideaux"
5315,"Richard Gallot"
5317,"Richard Burford"
5318,"Stephen Carter"
5319,"Robert Johnson"
5320,"Major Thibaut"
5328,"Francis Thompson"
5329,"Barbara Norton"
5331,"Noble Ellington"
5332,"Erich Ponti"
5342,"Elton Aubert"
5343,"A.B. Franklin"
5356,"John Smith"
5357,"Joel Chaisson"
5358,"Daniel Martiny"
5359,"Edwin Murray"
5360,"A.G. Crowe"
5361,"Robert Adley"
5362,"D.A. Gautreaux"
5364,"Conrad Appel"
5367,"John Alario"
5368,"Robert Marionneaux"
5369,"Neil Riser"
5370,"B.L. Shaw"
5371,"Jean-Paul Morrell"
5373,"Gerald Long"
5374,"Ben Nevers"
5376,"Michael Walsworth"
5377,"William McPherson"
5379,"Karen Peterson"
5381,"Lee Amedee"
5382,"Sharon Broome"
5383,"Jack Donahue"
5385,"David Heitmeier"
5386,"Robert Kostelka"
5387,"Michael Michot"
5388,"Willie Mount"
5399,"Elbert Guillory"
5402,"Dan Morrish"
5403,"Norby Chabert"
5404,"Eric LaFleur"
5405,"Julie Quinn"
5413,"Dale Erdey"
5414,"Yvonne Dorsey-Welch"
5420,"Sherri Cheek"
5421,"Dan Claitor"
5441,"Lydia Jackson"
9524,"Dalton Honore"
9541,"Helena Moreno"
13041,"Cynthia Willard-Lewis"
13042,"Alan Seabaugh"
13044,"Wesley Bishop"
13045,"Mike Huval"
13075,"Bob Hensgens"
