bill_id,date,action
386696,2012-01-23,Prefiled.
386696,2012-01-23,"Under the rules, provisionally referred to the Committee on Administration of Criminal Justice."
386696,2012-01-30,"First appeared in the Interim Calendar on 1/30/2012."
386696,2012-03-12,"Read by title, under the rules, referred to the Committee on Administration of Criminal Justice."
386696,2012-04-25,"Reported favorably (14-0) (Regular)."
386696,2012-04-26,"Read by title, ordered engrossed, passed to 3rd reading - regular calendar."
386696,2012-04-26,"Scheduled for floor debate on 5/3/2012."
386696,2012-05-03,"Read third time by title, roll called on final passage, yeas 92, nays 0. Finally passed, title adopted, ordered to the Senate."
386696,2012-05-03,"Received in the Senate. Rules suspended. Read first time by title and placed on the Calendar for a second reading."
386696,2012-05-07,"Read second time by title and referred to the Committee on Judiciary C."
386696,2012-05-22,"Reported favorably. Rules suspended. Read by title and referred to the Legislative Bureau."
386696,2012-05-23,"Reported without Legislative Bureau amendments. Read by title and passed to third reading and final passage."
386696,2012-05-24,"Rules suspended. Read by title, passed by a vote of 36 yeas and 0 nays, and ordered returned to the House. Motion to reconsider tabled."
386696,2012-05-24,"Received from the Senate without amendments."
386696,2012-05-24,"Enrolled and signed by the Speaker of the House."
386696,2012-05-28,"Signed by the President of the Senate."
386696,2012-05-30,"Sent to the Governor for executive approval."
386696,2012-06-05,"Signed by the Governor. Becomes Act No. 478."
386696,2012-06-05,"Effective date: August 1, 2012."
386698,2012-01-23,Prefiled.
386698,2012-01-23,"Under the rules, provisionally referred to the Committee on Retirement."
386698,2012-01-30,"First appeared in the Interim Calendar on 1/30/2012."
386698,2012-03-12,"Read by title, under the rules, referred to the Committee on Retirement."
386698,2012-04-02,"Reported with amendments (10-0) (Regular)."
386698,2012-04-03,"Read by title, amended, ordered engrossed, passed to 3rd reading - regular calendar."
386698,2012-04-03,"Scheduled for floor debate on 4/9/2012."
386698,2012-04-09,"Read third time by title, roll called on final passage, yeas 94, nays 0. Finally passed, title adopted, ordered to the Senate."
386698,2012-04-09,"Received in the Senate. Rules suspended. Read first time by title and placed on the Calendar for a second reading."
386698,2012-04-10,"Read second time by title and referred to the Committee on Retirement."
386701,2012-01-23,Prefiled.
386701,2012-01-23,"Under the rules, provisionally referred to the Committee on Retirement."
386701,2012-01-30,"First appeared in the Interim Calendar on 1/30/2012."
386701,2012-03-12,"Read by title, under the rules, referred to the Committee on Retirement."
386707,2012-01-23,Prefiled.
386707,2012-01-23,"Under the rules, provisionally referred to the Committee on Retirement."
386707,2012-01-30,"First appeared in the Interim Calendar on 1/30/2012."
386707,2012-03-12,"Read by title, under the rules, referred to the Committee on Retirement."
386710,2012-01-24,Prefiled.
386710,2012-01-24,"Under the rules, provisionally referred to the Committee on Commerce."
386710,2012-01-30,"First appeared in the Interim Calendar on 1/30/2012."
386710,2012-03-12,"Read by title, under the rules, referred to the Committee on Commerce."
386710,2012-03-19,"Reported favorably (17-0) (Local and Consent)."
386710,2012-03-20,"Read by title, ordered engrossed, passed to 3rd reading - local and consent calendar."
386710,2012-03-22,"Scheduled for floor debate on 3/26/2012."
386710,2012-03-26,"Read third time by title, roll called on final passage, yeas 95, nays 0. Finally passed, title adopted, ordered to the Senate."
386710,2012-03-26,"Received in the Senate. Read first time by title and placed on the Calendar for a second reading."
386710,2012-03-27,"Read second time by title and referred to the Committee on Commerce, Consumer Protection and International Affairs."
386710,2012-04-25,"Reported favorably."
386710,2012-04-26,"Read by title and referred to the Legislative Bureau."
386710,2012-04-30,"Reported without Legislative Bureau amendments. Read by title and passed to third reading and final passage."
386710,2012-05-02,"Rules suspended. Read by title, passed by a vote of 35 yeas and 0 nays, and ordered returned to the House. Motion to reconsider tabled."
386710,2012-05-02,"Received from the Senate without amendments."
386710,2012-05-07,"Enrolled and signed by the Speaker of the House."
386710,2012-05-07,"Signed by the President of the Senate."
386710,2012-05-08,"Sent to the Governor for executive approval."
386710,2012-05-11,"Signed by the Governor. Becomes Act No. 38."
386710,2012-05-11,"Effective date: August 1, 2012."
386715,2012-01-24,Prefiled.
386715,2012-01-24,"Under the rules, provisionally referred to the Committee on Retirement."
386715,2012-01-30,"First appeared in the Interim Calendar on 1/30/2012."
386715,2012-03-12,"Read by title, under the rules, referred to the Committee on Retirement."
386715,2012-04-23,"Reported with amendments (12-0) (Regular). To be recommitted to the Committee on Civil Law and Procedure."
386715,2012-04-24,"Read by title, amended, ordered engrossed, recommitted to the Committee on Civil Law and Procedure."
386715,2012-05-01,"Reported with amendments (12-0) (Regular)."
386715,2012-05-02,"Read by title, amended, ordered reengrossed, passed to 3rd reading - regular calendar."
386715,2012-05-02,"Scheduled for floor debate on 5/8/2012."
386715,2012-05-08,"Read third time by title, roll called on final passage, yeas 101, nays 0. The bill, having received two-thirds vote of the elected members, was finally passed, title adopted, ordered to the Senate."
386715,2012-05-08,"Received in the Senate. Rules suspended. Read first time by title and placed on the Calendar for a second reading."
386715,2012-05-09,"Read second time by title and referred to the Committee on Retirement."
386715,2012-05-21,"Reported favorably. Rules suspended. Read by title and referred to the Legislative Bureau."
386715,2012-05-22,"Reported without Legislative Bureau amendments. Read by title and passed to third reading and final passage."
