bill_number,bill_id,title
HB1,531655,"Provides for the ordinary operating expenses of state government for Fiscal Year 2013-2014"
HB2,546462,"Provides for the comprehensive Capital Outlay budget"
HB3,546455,"Provides for the Omnibus Bond Act"
HB4,510446,"Creates the crime of unlawful storage of a firearm"
HB5,510447,"Prohibits the enforcement of federal restrictions regarding the ownership or possession of semi-automatic firearms"
HB6,510448,"Provides that the crime of carrying a firearm or dangerous weapon on school property shall not apply to off-duty law enforcement officers"
HB7,510449,"Provides a state and local sales and use tax exemption for certain items purchased by a nonprofit blood bank to be used in the collection of donated blood (OR -$100,000 GF RV See Note)"
HB8,510450,"Prohibits the release of information associated with concealed handgun permits or applications for such permits (EN SEE FISC NOTE GF EX See Note)"
HB9,510451,"Increases the jurisdictional amount in dispute in the City Court of Shreveport"
HB10,510452,"Adds certain hallucinogenic substances to the list of Schedule I controlled dangerous substances (EN INCREASE GF EX See Note)"
HB11,510453,"Appropriates funds for payment of judgment against DOTD in the matter of ""Joseph Cuff, et al v. State Farm Mutual Automobile Insurance Company, et al"" consolidated with ""Joseph Sansom, et al v. Lela M. George and State Farm Mutual Automobile Insurance Company, et al"""
HB12,510454,"Appropriates funds for payment of judgment against DOTD in the matter of ""Mohammad Akram v. Hilton Gauthier, Degeyter Trucking, Inc., and Canal Indemnity Company"""
HB13,510455,"Appropriates funds for payment of judgment in the matter of ""Daniel P. Johnson v. State of Louisiana, DOTD"""
HB14,510456,"Prohibits a former legislator from being appointed to or employed in any position in state government for a period of two years following the termination of his service as a legislator"
HB15,510457,"Adds certain compounds to the Schedule I classification of controlled dangerous substances (EN INCREASE GF EX See Note)"
HB16,510458,"Provides for transfer of certain state property in Rapides Parish to the city of Pineville"
HB17,510459,"Provides relative to permits for off-road equipment"
HB18,510460,"Provides relative to meetings of the Sulphur Industrial Development District"
HB19,510461,"Provides relative to records of the office of the governor"
HB20,510462,"Provides for a five-year Deferred Retirement Option Plan for certain members of the Firefighters' Retirement System (OR INCREASE APV)"
HB21,510463,"Provides with respect to reporting of mental health information regarding the purchase of firearms (OR +$808,000 GF EX See Note)"
HB22,510464,"Provides relative to the calculation of final average compensation in the Sheriffs' Pension and Relief Fund (EN DECREASE APV)"
HB23,510465,"Provides for an automobile allowance for the clerk of court of certain parishes (EN +$194,900 LF EX See Note)"
HB24,510466,"Provides for exemption from gasoline and special fuels taxes for school buses owned and operated by municipal and parish school boards (OR -$2,000,000 SD RV See Note)"
HB25,510467,"Provides for the conversion of unused sick and annual leave to retirement credit for members of the Firefighters' Retirement System (EG INCREASE APV)"
HB26,510468,"Appropriates funds for payment of judgment in the matter of ""Michael Higgins v. State of Louisiana, through DOTD, Office of Highways"""
HB27,510469,"Appropriates funds for payment of judgment in the matter of ""Cleotha Johnigan, Jr. v. State of La., through DOTD, and Town of St. Francisville"""
HB28,510470,"Appropriates funds for payment of judgment in the matter of ""Barbara Ann Thibodeaux Rando, et ux v. Troy D. Furr and State Farm Mutual Automobile Insurance Company, Progressive Security Insurance Company, and State of La. through DOTD"""
HB29,510471,"Appropriates funds for payment of judgment in the matter of ""Carolyn Goodwin v. the City of Donaldsonville, the State of La., through DOTD, and the parish of Ascension"""
HB30,510472,"Appropriates funds for payment of judgment against DOTD in the matter of ""Darren L. Hunt and Rachel G. Hunt, individually and on behalf of their minor children, Wyatt Hunt and Drew E. Hunt v. Mears Sand & Gravel, LLC, Bituminous Casualty Corp., Michael J. Domingue, First National Ins. Co. of America, and Double D Transport, LLC"""
HB31,510473,"Requires DOTD to present highway priority program information in a certain format and allows for deletions and substitutions of projects within proposed program"
HB32,510474,"Dedicates a portion of mineral income from False River to operations, management, and improvements including aquatic weed management in the lake (OR DECREASE GF RV See Note)"
HB33,511956,"Provides for continued payment of the unfunded accrued liability portion of employer contributions after participation ceases (OR INCREASE FC GF & LF EX)"
HB34,511962,"Provides for the transfers of accrued benefits of certain members of the La. State Employees' Retirement System and to Teachers' Retirement System of La. under certain conditions"
HB35,511970,"Provides for retirement eligibility of employees of state hospitals under certain conditions (OR +$13,851,000 APV)"
HB36,511976,"Provides relative to the transfer of service credit into the Sheriffs' Pension and Relief Fund (EN NO IMPACT APV)"
HB37,511981,"Requires promulgation of actuarial assumptions by the board of trustees for the Registrars of Voters Employees' Retirement System (EN NO IMPACT APV)"
HB38,511994,"Provides relative to employee contributions in the Registrars of Voters Employees' Retirement System (EN -$960,000 FC LF EX)"
HB39,511998,"Provides relative to retirement eligibility and benefits for new members of the La. Assessors' Retirement System (EN -$800,000 FC LF EX)"
HB40,512004,"Provides for the rate of judicial interest for delinquent payments owed to the Firefighters' Pension and Relief Fund in the city of New Orleans (OR INCREASE FC LF EX)"
HB41,512012,"Provides relative to the board of trustees of the Firefighters' Pension and Relief Fund in the city of New Orleans (EN DECREASE APV)"
HB42,512019,"Provides for a final average compensation for members of the Firefighters' Pension and Relief Fund in the city of New Orleans (EN DECREASE APV)"
HB43,512024,"Provides relative to the payment of unfunded accrued liability associated with privatized jobs in local public school systems (EG NO IMPACT APV)"
